DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
01-Jan-1996,0,0,0,1000,,
02-Jan-1996,0,0,0,995.84,66050,0.68
03-Jan-1996,0,0,0,986.97,50000,0.29
04-Jan-1996,0,0,0,980.39,81600,0.78
05-Jan-1996,0,0,0,984.08,83400,0.51
08-Jan-1996,0,0,0,972.78,300600,2.96
09-Jan-1996,0,0,0,949.17,99700,0.51
10-Jan-1996,0,0,0,952.29,49250,0.35
11-Jan-1996,0,0,0,949.48,111050,1.33
12-Jan-1996,0,0,0,959.11,38450,0.25
15-Jan-1996,0,0,0,957.44,52500,0.35
16-Jan-1996,0,0,0,944.73,49150,0.3
17-Jan-1996,0,0,0,935.05,64450,0.39
18-Jan-1996,0,0,0,922.37,85300,0.55
19-Jan-1996,0,0,0,902.49,122200,0.86
22-Jan-1996,0,0,0,893.81,53550,0.34
23-Jan-1996,0,0,0,892.74,61850,0.33
24-Jan-1996,0,0,0,884.79,95300,0.54
25-Jan-1996,0,0,0,891.42,281200,3.42
29-Jan-1996,0,0,0,894.85,205500,2.37
30-Jan-1996,0,0,0,917.39,109050,0.91
31-Jan-1996,0,0,0,922.44,144600,1.34
01-Feb-1996,0,0,0,939.36,152250,1.19
02-Feb-1996,0,0,0,961.86,235000,2.63
05-Feb-1996,0,0,0,999.62,161400,1.46
06-Feb-1996,0,0,0,994.22,217350,1.49
07-Feb-1996,0,0,0,975.94,151700,0.88
08-Feb-1996,0,0,0,992.35,158650,1.28
09-Feb-1996,0,0,0,1033.26,204350,2.04
12-Feb-1996,0,0,0,1073.56,173900,1.22
13-Feb-1996,0,0,0,1080.16,166500,1.66
14-Feb-1996,0,0,0,1099.4,213900,1.6
15-Feb-1996,0,0,0,1113.23,297250,2.77
16-Feb-1996,0,0,0,1107.51,214700,2.17
19-Feb-1996,0,0,0,1125.2,224000,2.06
20-Feb-1996,0,0,0,1121.45,201750,1.7
22-Feb-1996,0,0,0,1121.4,333950,3.49
23-Feb-1996,0,0,0,1107.31,249000,2.51
26-Feb-1996,0,0,0,1084.44,249500,2.45
27-Feb-1996,0,0,0,1068.81,196700,1.77
28-Feb-1996,0,0,0,1056.24,213750,1.89
29-Feb-1996,0,0,0,1023.85,210100,2.18
01-Mar-1996,0,0,0,1017.57,231400,1.99
04-Mar-1996,0,0,0,1018.99,67350,0.48
06-Mar-1996,0,0,0,1015.26,148750,1.3
07-Mar-1996,0,0,0,1024.8,139050,1.18
08-Mar-1996,0,0,0,1024.21,106200,0.88
11-Mar-1996,0,0,0,1006.47,134100,0.95
12-Mar-1996,0,0,0,998.24,133500,0.97
13-Mar-1996,0,0,0,1001.62,67400,0.51
14-Mar-1996,0,0,0,1005,127500,0.97
15-Mar-1996,0,0,0,996.5,153650,1.22
18-Mar-1996,0,0,0,993.52,53100,0.38
19-Mar-1996,0,0,0,986.86,57700,0.42
21-Mar-1996,0,0,0,986.35,76450,0.55
22-Mar-1996,0,0,0,977.8,72900,0.57
25-Mar-1996,0,0,0,980.94,57300,0.38
26-Mar-1996,0,0,0,972.13,49400,0.26
27-Mar-1996,0,0,0,978.94,59600,0.38
29-Mar-1996,0,0,0,1012.78,159950,1.24
02-Apr-1996,0,0,0,1012.29,172250,0.72
03-Apr-1996,0,0,0,1021.3,131200,0.51
04-Apr-1996,0,0,0,1009.8,124650,0.42
05-Apr-1996,0,0,0,1015.1,49650,0.27
08-Apr-1996,0,0,0,1026.38,114350,0.53
09-Apr-1996,0,0,0,1027.09,375300,1.86
10-Apr-1996,0,0,0,1029.5,262250,1.28
11-Apr-1996,0,0,0,1023.86,107550,0.62
12-Apr-1996,0,0,0,1026.3,125000,0.59
15-Apr-1996,0,0,0,1042.21,97150,0.88
16-Apr-1996,0,0,0,1049.25,100750,0.76
17-Apr-1996,0,0,0,1078.6,252100,3.45
18-Apr-1996,0,0,0,1109.38,247200,2.61
22-Apr-1996,0,0,0,1124.62,309450,2.88
23-Apr-1996,0,0,0,1118.22,161700,1.42
24-Apr-1996,0,0,0,1157.31,195850,1.72
25-Apr-1996,0,0,0,1165.04,217850,2.07
26-Apr-1996,0,0,0,1140.7,135450,1.19
30-Apr-1996,0,0,0,1144.16,118700,0.77
02-May-1996,0,0,0,1158.28,102050,0.69
03-May-1996,0,0,0,1150.86,74900,0.64
06-May-1996,0,0,0,1140.52,66500,0.45
08-May-1996,0,0,0,1155.74,65100,0.8
09-May-1996,0,0,0,1144.73,54850,0.68
10-May-1996,0,0,0,1117.15,106200,1.26
13-May-1996,0,0,0,1120.99,51200,0.4
14-May-1996,0,0,0,1125.22,147350,1.57
15-May-1996,0,0,0,1117.16,57750,0.41
16-May-1996,0,0,0,1136.88,64000,0.42
17-May-1996,0,0,0,1123.62,57200,0.54
20-May-1996,0,0,0,1104.32,62650,0.47
21-May-1996,0,0,0,1078.76,68250,0.54
22-May-1996,0,0,0,1072.9,61500,0.53
23-May-1996,0,0,0,1071.97,56400,0.44
24-May-1996,0,0,0,1073.3,60350,0.6
27-May-1996,0,0,0,1062.32,38100,0.29
28-May-1996,0,0,0,1032.83,55650,0.38
29-May-1996,0,0,0,1066.42,44700,0.4
30-May-1996,0,0,0,1067.78,46400,0.39
31-May-1996,0,0,0,1068.8,132550,1.63
03-Jun-1996,0,0,0,1082.33,55500,0.35
04-Jun-1996,0,0,0,1084.7,60200,0.47
05-Jun-1996,0,0,0,1090.43,112250,1.27
06-Jun-1996,0,0,0,1109.42,67750,0.56
07-Jun-1996,0,0,0,1106.36,151400,2.2
10-Jun-1996,0,0,0,1119.15,67100,0.72
11-Jun-1996,0,0,0,1124.13,171550,1.13
12-Jun-1996,0,0,0,1140.05,92200,0.66
13-Jun-1996,0,0,0,1147.97,121000,0.71
14-Jun-1996,0,0,0,1158.98,204000,1.12
17-Jun-1996,0,0,0,1188.94,293850,2.34
