DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
12-Jul-2011,,,,3795.9,36832864,1077.73
13-Jul-2011,,,,3837.31,26967174,805.31
14-Jul-2011,,,,3868.91,29769692,901.84
15-Jul-2011,,,,3831.68,18883114,530.14
18-Jul-2011,,,,3854.3,22637597,592.88
19-Jul-2011,,,,3884.52,19215501,595.2
20-Jul-2011,,,,3845.38,16740986,507.9
21-Jul-2011,,,,3824.44,12832785,373.39
22-Jul-2011,,,,3863.09,24191896,677.31
25-Jul-2011,,,,3902.45,21955899,597.55
26-Jul-2011,,,,3863.45,20883957,678.93
27-Jul-2011,,,,3880.4,26540217,868.03
28-Jul-2011,,,,3793.06,33402279,1143.81
29-Jul-2011,,,,3718.06,31957816,973.53
01-Aug-2011,,,,3680.52,37045773,1379.45
02-Aug-2011,,,,3629.35,29741393,976.33
03-Aug-2011,,,,3629.26,31698965,1120.02
04-Aug-2011,,,,3578.49,31145047,991.49
05-Aug-2011,,,,3486.23,54887979,1343.43
08-Aug-2011,,,,3361.35,48504566,1289.07
09-Aug-2011,,,,3264.2,63730457,1514.03
10-Aug-2011,,,,3316.85,51615067,1241.74
11-Aug-2011,,,,3317.65,28012515,781.51
12-Aug-2011,,,,3278.38,34372214,927.3
16-Aug-2011,,,,3217.85,30543324,775.02
17-Aug-2011,,,,3241.47,26921500,768.99
18-Aug-2011,,,,3150.91,27068761,708.53
19-Aug-2011,,,,3141.73,38058560,962.29
22-Aug-2011,,,,3202.63,31241259,753.91
23-Aug-2011,,,,3220.54,27261078,725.43
24-Aug-2011,,,,3144.2,35328426,948.89
25-Aug-2011,,,,3083.89,43272998,1225.83
26-Aug-2011,,,,2972.57,34643302,981.58
29-Aug-2011,,,,3107.26,37584593,983.15
30-Aug-2011,,,,3226.05,52719760,1310.52
02-Sep-2011,,,,3325.26,50476211,1370.81
05-Sep-2011,,,,3321.34,34329214,967.87
06-Sep-2011,,,,3354.07,38168961,1036.01
07-Sep-2011,,,,3423.46,40414753,1027.64
08-Sep-2011,,,,3391.13,34162184,798.5
09-Sep-2011,,,,3275.68,32858401,822.12
12-Sep-2011,,,,3161.12,30359912,835.39
13-Sep-2011,,,,3168.43,28343101,726.9
14-Sep-2011,,,,3222.02,32503425,823.28
15-Sep-2011,,,,3236.51,32594426,861.43
16-Sep-2011,,,,3242.84,44262773,1052.11
19-Sep-2011,,,,3207.6,20430759,487.14
20-Sep-2011,,,,3268.89,26203213,670.39
21-Sep-2011,,,,3261.8,30509062,756.48
22-Sep-2011,,,,3126.02,35590210,947.71
23-Sep-2011,,,,3056.74,41846578,979.72
26-Sep-2011,,,,2977.55,45281823,1029.01
27-Sep-2011,,,,3052.08,37700048,1014.39
28-Sep-2011,,,,2996.5,31351371,767.82
29-Sep-2011,,,,3006.06,36307494,918
30-Sep-2011,,,,2921.39,52448999,1448.18
03-Oct-2011,2877.75,2877.75,2798.5,2804.7,44481268,1159.29
04-Oct-2011,2789,2835.4,2726.6,2760.45,44854372,1047.38
05-Oct-2011,2782.1,2808.3,2738.85,2745.3,52547557,1037.74
07-Oct-2011,2832.5,2895.8,2832.5,2889.55,51353782,1131.81
10-Oct-2011,2886.45,2951.9,2876.35,2943.7,53634854,1231.39
11-Oct-2011,2975.45,2999.2,2949.5,2972.85,50649690,1153.58
12-Oct-2011,2985.95,3046.05,2972.8,3037.75,45338758,1120.01
13-Oct-2011,3050.75,3051,2996.5,3013.95,40668023,1012.7
14-Oct-2011,2987.1,2998.3,2943.4,2987.9,44775685,1127.16
17-Oct-2011,3005.85,3011.1,2958.85,2983.75,32030741,738.3
18-Oct-2011,2934.75,2948.2,2909.75,2941.1,36507440,922.44
19-Oct-2011,2974.6,2997.15,2971,2988.7,27176294,663.42
20-Oct-2011,2955.8,2978.6,2919.65,2972.05,28866092,759.39
21-Oct-2011,2984.4,2991.25,2924.15,2932.85,25074601,628.36
24-Oct-2011,2976.05,2995.65,2925.95,2942.95,29282263,654.98
25-Oct-2011,2962,3014.6,2938.85,3004.8,45334630,997.02
26-Oct-2011,3020.7,3031.4,3014.7,3020.6,8243583,182.06
28-Oct-2011,3126,3256.45,3126,3220.05,80504838,1930.53
31-Oct-2011,3214.95,3214.95,3148.9,3157.15,35364930,865.85
01-Nov-2011,3130,3132.4,3082.5,3112.65,31191069,678.08
02-Nov-2011,3070.35,3129.35,3059.75,3105.2,26277246,649.14
03-Nov-2011,3095,3107.05,3052.85,3096.35,36451039,812.69
04-Nov-2011,3135.7,3172.45,3134,3145.85,39621566,1037.3
08-Nov-2011,3165.55,3172.5,3127.7,3148.75,21167273,560.92
09-Nov-2011,3160.1,3174.8,3052.2,3062.8,31232043,813.84
11-Nov-2011,3025.55,3025.55,2967.6,2989.7,36762080,898.76
14-Nov-2011,3019.5,3028.15,2914.25,2922.55,28401065,745.26
15-Nov-2011,2920.45,2944.15,2852.4,2866.4,29917611,795.37
16-Nov-2011,2861.6,2910,2809.2,2868.45,37887407,941.19
17-Nov-2011,2871.4,2879.5,2793.05,2806.3,37646924,842.2
18-Nov-2011,2784.8,2784.8,2728.5,2768.9,45381575,1048.79
21-Nov-2011,2748.05,2749.15,2661.5,2671.85,33603910,691.32
22-Nov-2011,2717.05,2746.85,2679.75,2711.35,36433275,867.28
23-Nov-2011,2691.55,2691.55,2621.25,2659,31014047,690.03
24-Nov-2011,2656.65,2675.1,2599.3,2667.4,46238652,957.01
25-Nov-2011,2648.8,2662.15,2606.4,2615.2,35168987,728.34
28-Nov-2011,2653.1,2754.35,2653.1,2745.2,39058422,852.34
29-Nov-2011,2761.8,2764.8,2696.9,2706.8,39580990,829.67
30-Nov-2011,2689.55,2722.45,2663.8,2710.3,65074804,999.76
01-Dec-2011,2814.2,2867.65,2798.9,2818.9,52206277,1072.11
02-Dec-2011,2816.9,2907.55,2790.65,2894.05,43811829,991.17
05-Dec-2011,2884.65,2894.1,2850.75,2865.3,34789577,745
07-Dec-2011,2871.95,2900.9,2862,2877.3,45430780,950.97
08-Dec-2011,2859.8,2862.7,2776.3,2786.85,44876467,843.71
09-Dec-2011,2732.85,2798.4,2709.6,2762.55,45023155,855.5
12-Dec-2011,2790.6,2794.45,2643.5,2652.05,45651939,838.5
13-Dec-2011,2631.9,2730.85,2618.8,2710.05,51108346,914.35
14-Dec-2011,2702,2720.6,2645.95,2652.15,38283506,755.1
15-Dec-2011,2616.05,2660.35,2581.55,2652.35,43548979,877.59
16-Dec-2011,2662.35,2690,2571.2,2580.3,45571129,863.67
19-Dec-2011,2561.5,2566.45,2517.65,2562.3,35604951,683.52
20-Dec-2011,2578.8,2582,2462.5,2470.6,40356611,817.74
21-Dec-2011,2531.3,2542.1,2491.7,2535.25,41240920,935.92
22-Dec-2011,2511.75,2556.1,2481.35,2545.15,39988842,899.21
23-Dec-2011,2565.9,2582.1,2516.25,2529.2,35093868,752.11
26-Dec-2011,2542.35,2570.6,2537.7,2563.8,23246349,499.49
27-Dec-2011,2561.75,2582.1,2512.5,2525.65,21405365,467.73
28-Dec-2011,2521.15,2529.7,2459.75,2478.9,31313835,712.79
29-Dec-2011,2463.95,2498.85,2446.35,2486.25,46404559,978.62
30-Dec-2011,2492,2507.85,2452.65,2464.6,29413500,600.48
02-Jan-2012,2478.1,2501.05,2439.25,2495.1,32003664,737.24
03-Jan-2012,2519.05,2624.65,2519.05,2618.65,47115158,1123.16
04-Jan-2012,2629.35,2647,2603.85,2626.65,43608826,972.29
05-Jan-2012,2624.95,2651.7,2591.15,2610.1,34997858,828.74
06-Jan-2012,2587.7,2629,2542.05,2601.95,33156824,745.11
07-Jan-2012,2601.4,2604.65,2596.1,2603.05,2633760,55.04
09-Jan-2012,2601.4,2617.05,2549.95,2603.9,30001748,700.87
10-Jan-2012,2618.05,2696.15,2618.05,2686.35,44357674,1031.98
11-Jan-2012,2700.7,2755.5,2689.6,2748.5,54813520,1141.65
12-Jan-2012,2747.95,2795.75,2735.4,2780.95,38232912,882.12
13-Jan-2012,2796.8,2914.3,2796.8,2872.3,66406516,1696.15
16-Jan-2012,2854.75,2904.65,2831.3,2882.4,37362172,919.98
17-Jan-2012,2900.85,3015.45,2900.85,2984.9,58722288,1382.94
18-Jan-2012,2995.5,2995.5,2896.1,2927.05,43598420,1159.73
19-Jan-2012,2959.9,3013.7,2959.9,3006.85,51165322,1156.63
20-Jan-2012,3023.7,3027.6,2973.5,3002.45,45308090,1162.36
23-Jan-2012,2998.7,3005.55,2926.45,2936.15,36424429,802.28
24-Jan-2012,2934.75,3004.85,2918.75,2985.6,44880893,1073.96
25-Jan-2012,3005.85,3050.05,3000.8,3042.35,52965942,1231.38
27-Jan-2012,3078,3119.25,3077.15,3101.65,58079677,1230.2
30-Jan-2012,3082.35,3082.35,2993.3,3008.3,40070299,1010.57
31-Jan-2012,3026.3,3089.9,2982.1,3073.8,53189150,1274.65
01-Feb-2012,3078.1,3172.15,3057.8,3164.65,68183262,1690.29
02-Feb-2012,3191.6,3232.6,3172.15,3215.3,72794301,1624.78
03-Feb-2012,3215.65,3215.65,3159.65,3179.25,45565213,1064.18
06-Feb-2012,3219.45,3250.05,3190.85,3222.85,51780095,1287.85
07-Feb-2012,3267.3,3267.3,3158.05,3171.55,40543492,1112.1
08-Feb-2012,3182.9,3254.3,3165.85,3222.95,53007419,1395.62
09-Feb-2012,3201.2,3291.55,3175.4,3286.9,83169301,1980.91
10-Feb-2012,3246.2,3346.35,3246.2,3310.5,66695674,2050.69
13-Feb-2012,3318,3382.5,3273.2,3346.85,50656495,1291.48
14-Feb-2012,3341.6,3383.25,3340.4,3358.45,45858228,1193.98
15-Feb-2012,3384.05,3437.3,3384.05,3429.35,64425127,1486.09
16-Feb-2012,3410.9,3413.45,3346.7,3367.5,71394162,1887.22
17-Feb-2012,3406.55,3455.5,3355.8,3369.4,83265896,1996.83
21-Feb-2012,3380.95,3444.35,3377.55,3398.45,61269074,1420.98
22-Feb-2012,3411.45,3431.1,3236.4,3248.4,70260601,1500.71
23-Feb-2012,3246.15,3256,3180.9,3211.7,85201436,1702.36
24-Feb-2012,3225.8,3269.65,3211,3247.1,71368850,1483.53
27-Feb-2012,3266.8,3266.8,3071.15,3083.2,81695984,1675.69
28-Feb-2012,3098.95,3198.6,3098.95,3189.4,54046772,1204.77
29-Feb-2012,3224.4,3261.25,3170.3,3236.65,52124271,1250.61
01-Mar-2012,3222.85,3235.5,3175.3,3205.7,44156235,1069.7
02-Mar-2012,3228.35,3257.25,3194.9,3210.15,40608480,938.42
