DATE,OPEN,HIGH,LOW,CLOSE,SHARES TRADED,TURNOVER (INR CR)
01-Jan-2001,,,,1000,,
02-Jan-2001,,,,973.1,,
03-Jan-2001,,,,974.49,,
04-Jan-2001,,,,966.84,,
05-Jan-2001,,,,986.32,,
08-Jan-2001,,,,984.7,,
09-Jan-2001,,,,987.07,,
10-Jan-2001,,,,984.94,,
11-Jan-2001,,,,983.14,,
12-Jan-2001,,,,966.52,,
15-Jan-2001,,,,972.39,,
16-Jan-2001,,,,965.4,,
17-Jan-2001,,,,964.76,,
18-Jan-2001,,,,965.19,,
19-Jan-2001,,,,964.77,,
22-Jan-2001,,,,982.81,,
23-Jan-2001,,,,971.96,,
24-Jan-2001,,,,979.61,,
25-Jan-2001,,,,966.45,,
29-Jan-2001,,,,943.66,,
30-Jan-2001,,,,973.52,,
31-Jan-2001,,,,986.97,,
01-Feb-2001,,,,981.14,,
02-Feb-2001,,,,997.31,,
05-Feb-2001,,,,1000.43,,
06-Feb-2001,,,,1002.35,,
07-Feb-2001,,,,1009.97,,
08-Feb-2001,,,,1007.45,,
09-Feb-2001,,,,1020.43,,
12-Feb-2001,,,,1033.97,,
13-Feb-2001,,,,1025.21,,
14-Feb-2001,,,,1022.08,,
15-Feb-2001,,,,1020.29,,
16-Feb-2001,,,,1007.43,,
19-Feb-2001,,,,1002.75,,
20-Feb-2001,,,,998.69,,
21-Feb-2001,,,,993.2,,
22-Feb-2001,,,,988.08,,
23-Feb-2001,,,,970.31,,
26-Feb-2001,,,,971.22,,
27-Feb-2001,,,,976.13,,
28-Feb-2001,,,,981.72,,
01-Mar-2001,,,,1012.89,,
02-Mar-2001,,,,994.07,,
05-Mar-2001,,,,986.25,,
07-Mar-2001,,,,975.23,,
08-Mar-2001,,,,964.22,,
09-Mar-2001,,,,946.16,,
12-Mar-2001,,,,906.09,,
13-Mar-2001,,,,863.86,,
14-Mar-2001,,,,879.62,,
15-Mar-2001,,,,916.25,,
16-Mar-2001,,,,900.32,,
19-Mar-2001,,,,892.12,,
20-Mar-2001,,,,893.83,,
21-Mar-2001,,,,907.6,,
22-Mar-2001,,,,912.08,,
23-Mar-2001,,,,887.73,,
26-Mar-2001,,,,876.29,,
27-Mar-2001,,,,889.59,,
28-Mar-2001,,,,916.5,,
29-Mar-2001,,,,899.18,,
30-Mar-2001,,,,874.9,,
02-Apr-2001,,,,836.34,,
03-Apr-2001,,,,858.13,,
04-Apr-2001,,,,852.07,,
06-Apr-2001,,,,817.11,,
09-Apr-2001,,,,809.91,,
10-Apr-2001,,,,799.53,,
11-Apr-2001,,,,763.5,,
12-Apr-2001,,,,749.71,,
16-Apr-2001,,,,749.18,,
17-Apr-2001,,,,774.39,,
18-Apr-2001,,,,813.03,,
19-Apr-2001,,,,844.61,,
20-Apr-2001,,,,862.2,,
23-Apr-2001,,,,852.24,,
24-Apr-2001,,,,862.42,,
25-Apr-2001,,,,854.55,,
26-Apr-2001,,,,848.3,,
27-Apr-2001,,,,830.92,,
30-Apr-2001,,,,844.92,,
02-May-2001,,,,841.39,,
03-May-2001,,,,824.66,,
04-May-2001,,,,840.25,,
07-May-2001,,,,841.08,,
08-May-2001,,,,843.78,,
09-May-2001,,,,854.21,,
10-May-2001,,,,852.93,,
11-May-2001,,,,839.7,,
14-May-2001,,,,846.84,,
15-May-2001,,,,836.52,,
16-May-2001,,,,856.8,,
17-May-2001,,,,862.6,,
18-May-2001,,,,861.76,,
21-May-2001,,,,856.14,,
22-May-2001,,,,875.12,,
23-May-2001,,,,876.54,,
24-May-2001,,,,867.44,,
25-May-2001,,,,853.62,,
28-May-2001,,,,865.28,,
29-May-2001,,,,871.45,,
30-May-2001,,,,876.03,,
31-May-2001,,,,878.83,,
01-Jun-2001,,,,873.52,,
04-Jun-2001,,,,870.82,,
05-Jun-2001,,,,855.01,,
06-Jun-2001,,,,857.87,,
07-Jun-2001,,,,848.95,,
08-Jun-2001,,,,850.02,,
11-Jun-2001,,,,861.37,,
12-Jun-2001,,,,863.35,,
13-Jun-2001,,,,863.17,,
14-Jun-2001,,,,859.33,,
15-Jun-2001,,,,842.08,,
18-Jun-2001,,,,833.55,,
