"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY 200","29 Dec 2023","23.89","3.92","1.21"
"NIFTY 200","28 Dec 2023","23.90","3.92","1.20"
"NIFTY 200","27 Dec 2023","23.77","3.90","1.21"
"NIFTY 200","26 Dec 2023","23.58","3.87","1.21"
"NIFTY 200","22 Dec 2023","23.46","3.85","1.22"
"NIFTY 200","21 Dec 2023","23.33","3.83","1.22"
"NIFTY 200","20 Dec 2023","23.15","3.80","1.23"
"NIFTY 200","19 Dec 2023","23.60","3.87","1.21"
"NIFTY 200","18 Dec 2023","23.57","3.87","1.21"
"NIFTY 200","15 Dec 2023","23.58","3.87","1.21"
"NIFTY 200","14 Dec 2023","23.36","3.83","1.22"
"NIFTY 200","13 Dec 2023","23.07","3.78","1.24"
"NIFTY 200","12 Dec 2023","23.00","3.77","1.24"
"NIFTY 200","11 Dec 2023","23.11","3.79","1.22"
"NIFTY 200","08 Dec 2023","23.03","3.78","1.22"
"NIFTY 200","07 Dec 2023","23.01","3.78","1.22"
"NIFTY 200","06 Dec 2023","22.99","3.77","1.23"
"NIFTY 200","05 Dec 2023","22.87","3.75","1.23"
"NIFTY 200","04 Dec 2023","22.67","3.72","1.24"
"NIFTY 200","01 Dec 2023","22.24","3.65","1.27"
"NIFTY 200","30 Nov 2023","22.08","3.62","1.28"
"NIFTY 200","29 Nov 2023","22.00","3.61","1.28"
"NIFTY 200","28 Nov 2023","21.79","3.57","1.31"
"NIFTY 200","24 Nov 2023","21.65","3.55","1.32"
"NIFTY 200","23 Nov 2023","21.66","3.55","1.32"
"NIFTY 200","22 Nov 2023","21.66","3.55","1.32"
"NIFTY 200","21 Nov 2023","21.63","3.55","1.32"
"NIFTY 200","20 Nov 2023","21.57","3.54","1.30"
"NIFTY 200","17 Nov 2023","21.61","3.54","1.30"
"NIFTY 200","16 Nov 2023","21.60","3.54","1.30"
"NIFTY 200","15 Nov 2023","21.51","3.53","1.29"
"NIFTY 200","13 Nov 2023","21.44","3.49","1.35"
"NIFTY 200","12 Nov 2023","21.56","3.50","1.34"
"NIFTY 200","10 Nov 2023","21.44","3.48","1.35"
"NIFTY 200","09 Nov 2023","21.38","3.47","1.33"
"NIFTY 200","08 Nov 2023","21.47","3.48","1.33"
"NIFTY 200","07 Nov 2023","21.52","3.47","1.34"
"NIFTY 200","06 Nov 2023","21.54","3.46","1.34"
"NIFTY 200","03 Nov 2023","21.52","3.43","1.35"
"NIFTY 200","02 Nov 2023","21.39","3.40","1.35"
"NIFTY 200","01 Nov 2023","21.24","3.36","1.34"
"NIFTY 200","31 Oct 2023","21.32","3.38","1.34"
"NIFTY 200","30 Oct 2023","21.69","3.38","1.34"
"NIFTY 200","27 Oct 2023","21.70","3.37","1.35"
"NIFTY 200","26 Oct 2023","21.44","3.33","1.42"
"NIFTY 200","25 Oct 2023","21.73","3.37","1.40"
"NIFTY 200","23 Oct 2023","22.13","3.40","1.33"
"NIFTY 200","20 Oct 2023","22.51","3.46","1.31"
"NIFTY 200","19 Oct 2023","22.64","3.48","1.29"
"NIFTY 200","18 Oct 2023","22.74","3.48","1.29"
"NIFTY 200","17 Oct 2023","23.20","3.51","1.28"
"NIFTY 200","16 Oct 2023","23.11","3.50","1.29"
"NIFTY 200","13 Oct 2023","23.13","3.50","1.29"
"NIFTY 200","12 Oct 2023","23.18","3.50","1.29"
"NIFTY 200","11 Oct 2023","23.19","3.51","1.29"
"NIFTY 200","10 Oct 2023","23.05","3.48","1.30"
"NIFTY 200","09 Oct 2023","22.81","3.45","1.31"
"NIFTY 200","06 Oct 2023","23.02","3.48","1.30"
"NIFTY 200","05 Oct 2023","22.89","3.46","1.31"
"NIFTY 200","04 Oct 2023","22.79","3.44","1.31"
"NIFTY 200","03 Oct 2023","22.95","3.47","1.30"
"NIFTY 200","29 Sep 2023","23.03","3.48","1.30"
"NIFTY 200","28 Sep 2023","22.79","4.16","1.33"
"NIFTY 200","27 Sep 2023","23.04","4.20","1.31"
"NIFTY 200","26 Sep 2023","22.96","4.21","1.32"
"NIFTY 200","25 Sep 2023","22.97","4.21","1.32"
"NIFTY 200","22 Sep 2023","22.95","4.20","1.32"
"NIFTY 200","21 Sep 2023","23.02","4.22","1.32"
"NIFTY 200","20 Sep 2023","23.20","4.25","1.31"
"NIFTY 200","18 Sep 2023","23.44","4.29","1.30"
"NIFTY 200","15 Sep 2023","23.50","4.30","1.29"
"NIFTY 200","14 Sep 2023","23.41","4.30","1.31"
"NIFTY 200","13 Sep 2023","23.32","4.28","1.31"
"NIFTY 200","12 Sep 2023","23.24","4.27","1.31"
"NIFTY 200","11 Sep 2023","23.42","4.31","1.30"
"NIFTY 200","08 Sep 2023","23.20","4.28","1.32"
"NIFTY 200","07 Sep 2023","23.07","4.25","1.32"
"NIFTY 200","06 Sep 2023","23.09","4.26","1.32"
"NIFTY 200","05 Sep 2023","23.04","4.28","1.32"
"NIFTY 200","04 Sep 2023","22.96","4.27","1.33"
"NIFTY 200","01 Sep 2023","22.83","4.24","1.34"
"NIFTY 200","31 Aug 2023","22.62","4.21","1.35"
"NIFTY 200","30 Aug 2023","22.73","4.23","1.34"
"NIFTY 200","29 Aug 2023","22.68","4.22","1.34"
"NIFTY 200","28 Aug 2023","22.63","4.23","1.35"
"NIFTY 200","25 Aug 2023","22.57","4.23","1.35"
"NIFTY 200","24 Aug 2023","22.74","4.26","1.34"
"NIFTY 200","23 Aug 2023","22.77","4.33","1.34"
"NIFTY 200","22 Aug 2023","22.72","4.32","1.34"
"NIFTY 200","21 Aug 2023","22.92","4.41","1.35"
"NIFTY 200","18 Aug 2023","22.80","4.39","1.35"
"NIFTY 200","17 Aug 2023","22.86","4.40","1.36"
"NIFTY 200","16 Aug 2023","22.96","4.42","1.36"
"NIFTY 200","14 Aug 2023","23.06","4.43","1.36"
"NIFTY 200","11 Aug 2023","23.09","4.43","1.35"
"NIFTY 200","10 Aug 2023","23.22","4.46","1.34"
"NIFTY 200","09 Aug 2023","23.24","4.48","1.35"
"NIFTY 200","08 Aug 2023","23.18","4.46","1.30"
"NIFTY 200","07 Aug 2023","23.30","4.47","1.32"
"NIFTY 200","04 Aug 2023","23.25","4.46","1.33"
"NIFTY 200","03 Aug 2023","23.47","4.42","1.34"
"NIFTY 200","02 Aug 2023","23.61","4.45","1.32"
"NIFTY 200","01 Aug 2023","23.85","4.54","1.28"
"NIFTY 200","31 Jul 2023","24.08","4.54","1.29"
"NIFTY 200","28 Jul 2023","24.02","4.51","1.30"
"NIFTY 200","27 Jul 2023","24.73","4.51","1.28"
"NIFTY 200","26 Jul 2023","24.82","4.53","1.27"
