"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY AUTO","31 Dec 2019","24.35","3.65","1.34"
"NIFTY AUTO","30 Dec 2019","24.58","3.69","1.32"
"NIFTY AUTO","27 Dec 2019","24.23","3.63","1.34"
"NIFTY AUTO","26 Dec 2019","24.00","3.60","1.36"
"NIFTY AUTO","24 Dec 2019","24.07","3.61","1.35"
"NIFTY AUTO","23 Dec 2019","24.15","3.62","1.35"
"NIFTY AUTO","20 Dec 2019","24.01","3.60","1.36"
"NIFTY AUTO","19 Dec 2019","24.11","3.62","1.35"
"NIFTY AUTO","18 Dec 2019","23.86","3.58","1.36"
"NIFTY AUTO","17 Dec 2019","23.74","3.56","1.37"
"NIFTY AUTO","16 Dec 2019","23.59","3.54","1.38"
"NIFTY AUTO","13 Dec 2019","23.69","3.57","1.37"
"NIFTY AUTO","12 Dec 2019","23.31","3.52","1.39"
"NIFTY AUTO","11 Dec 2019","23.01","3.47","1.41"
"NIFTY AUTO","10 Dec 2019","22.90","3.46","1.41"
"NIFTY AUTO","09 Dec 2019","23.08","3.48","1.40"
"NIFTY AUTO","06 Dec 2019","22.91","3.46","1.41"
"NIFTY AUTO","05 Dec 2019","23.31","3.52","1.39"
"NIFTY AUTO","04 Dec 2019","23.47","3.54","1.38"
"NIFTY AUTO","03 Dec 2019","23.38","3.53","1.38"
"NIFTY AUTO","02 Dec 2019","23.52","3.55","1.38"
"NIFTY AUTO","29 Nov 2019","23.73","3.58","1.36"
"NIFTY AUTO","28 Nov 2019","24.01","3.62","1.35"
"NIFTY AUTO","27 Nov 2019","24.08","3.63","1.34"
"NIFTY AUTO","26 Nov 2019","23.78","3.59","1.36"
"NIFTY AUTO","25 Nov 2019","24.00","3.62","1.35"
"NIFTY AUTO","22 Nov 2019","23.58","3.56","1.37"
"NIFTY AUTO","21 Nov 2019","23.50","3.55","1.38"
"NIFTY AUTO","20 Nov 2019","23.73","3.58","1.36"
"NIFTY AUTO","19 Nov 2019","23.67","3.57","1.37"
"NIFTY AUTO","18 Nov 2019","23.83","3.60","1.36"
"NIFTY AUTO","15 Nov 2019","23.93","3.61","1.35"
"NIFTY AUTO","14 Nov 2019","24.04","3.63","1.35"
"NIFTY AUTO","13 Nov 2019","23.92","3.61","1.35"
"NIFTY AUTO","11 Nov 2019","23.16","3.61","1.35"
"NIFTY AUTO","08 Nov 2019","23.19","3.62","1.35"
"NIFTY AUTO","07 Nov 2019","23.39","3.65","1.34"
"NIFTY AUTO","06 Nov 2019","23.44","3.66","1.33"
"NIFTY AUTO","05 Nov 2019","23.43","3.66","1.34"
"NIFTY AUTO","04 Nov 2019","22.52","3.67","1.33"
"NIFTY AUTO","01 Nov 2019","22.83","3.72","1.31"
"NIFTY AUTO","31 Oct 2019","22.53","3.74","1.30"
"NIFTY AUTO","30 Oct 2019","22.48","3.73","1.31"
"NIFTY AUTO","29 Oct 2019","22.53","3.74","1.30"
"NIFTY AUTO","27 Oct 2019","21.61","3.59","1.36"
"NIFTY AUTO","25 Oct 2019","21.30","3.54","1.38"
"NIFTY AUTO","24 Oct 2019","21.37","3.55","1.38"
"NIFTY AUTO","23 Oct 2019","21.43","3.56","1.37"
"NIFTY AUTO","22 Oct 2019","21.16","3.52","1.39"
"NIFTY AUTO","18 Oct 2019","21.24","3.53","1.38"
"NIFTY AUTO","17 Oct 2019","21.10","3.51","1.39"
"NIFTY AUTO","16 Oct 2019","20.46","3.40","1.44"
"NIFTY AUTO","15 Oct 2019","20.50","3.41","1.43"
"NIFTY AUTO","14 Oct 2019","20.05","3.33","1.47"
"NIFTY AUTO","11 Oct 2019","19.73","3.28","1.49"
"NIFTY AUTO","10 Oct 2019","19.63","3.26","1.50"
"NIFTY AUTO","09 Oct 2019","19.90","3.30","1.48"
"NIFTY AUTO","07 Oct 2019","19.61","3.26","1.50"
"NIFTY AUTO","04 Oct 2019","19.75","3.28","1.49"
"NIFTY AUTO","03 Oct 2019","19.98","3.32","1.47"
"NIFTY AUTO","01 Oct 2019","19.90","3.31","1.48"
"NIFTY AUTO","30 Sep 2019","19.98","3.32","1.47"
"NIFTY AUTO","27 Sep 2019","20.14","3.35","1.46"
"NIFTY AUTO","26 Sep 2019","20.48","3.40","1.44"
"NIFTY AUTO","25 Sep 2019","19.98","3.32","1.48"
"NIFTY AUTO","24 Sep 2019","21.88","3.45","1.42"
"NIFTY AUTO","23 Sep 2019","21.96","3.46","1.41"
"NIFTY AUTO","20 Sep 2019","21.41","3.38","1.45"
"NIFTY AUTO","19 Sep 2019","19.48","3.07","1.59"
"NIFTY AUTO","18 Sep 2019","19.73","3.11","1.57"
"NIFTY AUTO","17 Sep 2019","19.76","3.12","1.57"
"NIFTY AUTO","16 Sep 2019","20.55","3.24","1.51"
"NIFTY AUTO","13 Sep 2019","20.72","3.27","1.50"
"NIFTY AUTO","12 Sep 2019","20.50","3.23","1.51"
"NIFTY AUTO","11 Sep 2019","20.89","3.30","1.48"
"NIFTY AUTO","09 Sep 2019","20.17","3.18","1.54"
"NIFTY AUTO","06 Sep 2019","19.99","3.15","1.55"
"NIFTY AUTO","05 Sep 2019","19.48","3.07","1.59"
"NIFTY AUTO","04 Sep 2019","19.09","3.01","1.63"
"NIFTY AUTO","03 Sep 2019","19.39","3.06","1.60"
"NIFTY AUTO","30 Aug 2019","19.70","3.11","1.57"
"NIFTY AUTO","29 Aug 2019","19.59","3.15","1.56"
"NIFTY AUTO","28 Aug 2019","19.73","3.17","1.55"
"NIFTY AUTO","27 Aug 2019","20.11","3.23","1.52"
"NIFTY AUTO","26 Aug 2019","19.74","3.17","1.55"
"NIFTY AUTO","23 Aug 2019","19.64","3.16","1.55"
"NIFTY AUTO","22 Aug 2019","19.34","3.11","1.58"
"NIFTY AUTO","21 Aug 2019","19.68","3.16","1.55"
"NIFTY AUTO","20 Aug 2019","19.79","3.18","1.54"
"NIFTY AUTO","19 Aug 2019","19.56","3.14","1.56"
"NIFTY AUTO","16 Aug 2019","19.67","3.16","1.55"
"NIFTY AUTO","14 Aug 2019","19.45","3.12","1.57"
"NIFTY AUTO","13 Aug 2019","19.23","3.10","1.58"
"NIFTY AUTO","09 Aug 2019","20.02","3.22","1.52"
"NIFTY AUTO","08 Aug 2019","19.63","3.16","1.55"
"NIFTY AUTO","07 Aug 2019","19.05","3.07","1.60"
"NIFTY AUTO","06 Aug 2019","19.47","3.13","1.56"
"NIFTY AUTO","05 Aug 2019","19.20","3.09","1.59"
"NIFTY AUTO","02 Aug 2019","19.38","3.13","1.57"
"NIFTY AUTO","01 Aug 2019","19.16","3.10","1.58"
"NIFTY AUTO","31 Jul 2019","19.25","3.09","1.59"
"NIFTY AUTO","30 Jul 2019","19.01","3.11","1.60"
"NIFTY AUTO","29 Jul 2019","19.40","3.18","1.57"
"NIFTY AUTO","26 Jul 2019","19.84","3.30","1.51"
"NIFTY AUTO","25 Jul 2019","19.43","3.23","1.55"
"NIFTY AUTO","24 Jul 2019","19.50","3.24","1.54"
"NIFTY AUTO","23 Jul 2019","19.89","3.30","1.51"
"NIFTY AUTO","22 Jul 2019","20.00","3.32","1.50"
"NIFTY AUTO","19 Jul 2019","19.94","3.31","1.51"
"NIFTY AUTO","18 Jul 2019","20.63","3.42","1.46"
"NIFTY AUTO","17 Jul 2019","21.21","3.52","1.42"
"NIFTY AUTO","16 Jul 2019","21.43","3.56","1.40"
"NIFTY AUTO","15 Jul 2019","21.28","3.53","1.41"
"NIFTY AUTO","12 Jul 2019","21.22","3.52","1.42"
"NIFTY AUTO","11 Jul 2019","21.21","3.74","1.30"
"NIFTY AUTO","10 Jul 2019","20.83","3.67","1.32"
"NIFTY AUTO","09 Jul 2019","21.05","3.71","1.31"
"NIFTY AUTO","08 Jul 2019","21.05","3.71","1.31"
"NIFTY AUTO","05 Jul 2019","21.76","3.84","1.26"
"NIFTY AUTO","04 Jul 2019","22.40","3.95","1.23"
"NIFTY AUTO","03 Jul 2019","22.29","3.93","1.23"
"NIFTY AUTO","02 Jul 2019","22.31","3.93","1.23"
"NIFTY AUTO","01 Jul 2019","22.26","3.93","1.24"
"NIFTY AUTO","28 Jun 2019","21.98","3.88","1.25"
"NIFTY AUTO","27 Jun 2019","22.11","3.91","1.24"
"NIFTY AUTO","26 Jun 2019","21.87","3.87","1.26"
"NIFTY AUTO","25 Jun 2019","21.85","3.86","1.26"
"NIFTY AUTO","24 Jun 2019","21.72","3.84","1.27"
"NIFTY AUTO","21 Jun 2019","21.81","3.86","1.26"
"NIFTY AUTO","20 Jun 2019","22.08","3.91","1.25"
"NIFTY AUTO","19 Jun 2019","21.55","3.81","1.28"
"NIFTY AUTO","18 Jun 2019","21.79","3.85","1.26"
"NIFTY AUTO","17 Jun 2019","21.89","3.87","1.26"
"NIFTY AUTO","14 Jun 2019","22.27","3.94","1.23"
"NIFTY AUTO","13 Jun 2019","22.50","3.98","1.22"
"NIFTY AUTO","12 Jun 2019","22.59","3.99","1.22"
"NIFTY AUTO","11 Jun 2019","22.85","4.04","1.20"
"NIFTY AUTO","10 Jun 2019","22.78","4.03","1.21"
"NIFTY AUTO","07 Jun 2019","22.71","4.02","1.21"
"NIFTY AUTO","06 Jun 2019","22.81","4.03","1.21"
"NIFTY AUTO","04 Jun 2019","23.01","4.07","1.19"
"NIFTY AUTO","03 Jun 2019","23.09","4.08","1.19"
"NIFTY AUTO","31 May 2019","22.67","4.01","1.21"
"NIFTY AUTO","30 May 2019","22.82","4.04","1.20"
"NIFTY AUTO","29 May 2019","22.95","4.06","1.20"
"NIFTY AUTO","28 May 2019","23.27","4.12","1.18"
"NIFTY AUTO","27 May 2019","23.45","4.15","1.17"
"NIFTY AUTO","24 May 2019","23.39","4.15","1.17"
"NIFTY AUTO","23 May 2019","22.71","4.03","1.21"
"NIFTY AUTO","22 May 2019","22.80","4.04","1.20"
"NIFTY AUTO","21 May 2019","22.69","4.02","1.21"
"NIFTY AUTO","20 May 2019","23.43","4.13","1.18"
"NIFTY AUTO","17 May 2019","22.64","3.96","1.23"
"NIFTY AUTO","16 May 2019","22.09","3.87","1.26"
"NIFTY AUTO","15 May 2019","22.00","3.85","1.26"
"NIFTY AUTO","14 May 2019","22.28","3.90","1.25"
"NIFTY AUTO","13 May 2019","22.23","3.89","1.25"
"NIFTY AUTO","10 May 2019","22.82","3.97","1.23"
"NIFTY AUTO","09 May 2019","22.81","3.97","1.22"
"NIFTY AUTO","08 May 2019","22.79","3.97","1.23"
"NIFTY AUTO","07 May 2019","23.10","4.02","1.21"
"NIFTY AUTO","06 May 2019","23.06","4.05","1.20"
"NIFTY AUTO","03 May 2019","23.38","4.11","1.18"
"NIFTY AUTO","02 May 2019","23.24","4.09","1.19"
"NIFTY AUTO","30 Apr 2019","23.29","4.09","1.19"
"NIFTY AUTO","26 Apr 2019","23.69","4.16","1.17"
"NIFTY AUTO","25 Apr 2019","23.95","4.21","1.15"
"NIFTY AUTO","24 Apr 2019","24.11","4.24","1.15"
"NIFTY AUTO","23 Apr 2019","24.22","4.26","1.14"
"NIFTY AUTO","22 Apr 2019","24.58","4.32","1.13"
"NIFTY AUTO","18 Apr 2019","25.02","4.40","1.11"
"NIFTY AUTO","16 Apr 2019","25.05","4.40","1.10"
"NIFTY AUTO","15 Apr 2019","24.85","4.37","1.11"
"NIFTY AUTO","12 Apr 2019","24.48","4.30","1.13"
"NIFTY AUTO","11 Apr 2019","24.24","4.26","1.14"
"NIFTY AUTO","10 Apr 2019","24.11","4.24","1.15"
"NIFTY AUTO","09 Apr 2019","24.05","4.23","1.15"
"NIFTY AUTO","08 Apr 2019","23.78","4.18","1.16"
"NIFTY AUTO","05 Apr 2019","23.89","4.20","1.16"
"NIFTY AUTO","04 Apr 2019","23.81","4.19","1.16"
"NIFTY AUTO","03 Apr 2019","23.65","4.16","1.17"
"NIFTY AUTO","02 Apr 2019","23.72","4.17","1.17"
"NIFTY AUTO","01 Apr 2019","23.47","4.13","1.18"
"NIFTY AUTO","29 Mar 2019","23.25","4.09","1.19"
"NIFTY AUTO","28 Mar 2019","23.13","3.96","1.19"
"NIFTY AUTO","27 Mar 2019","23.08","3.95","1.19"
"NIFTY AUTO","26 Mar 2019","23.28","3.99","1.18"
"NIFTY AUTO","25 Mar 2019","23.15","3.96","1.19"
"NIFTY AUTO","22 Mar 2019","23.42","4.01","1.17"
"NIFTY AUTO","20 Mar 2019","23.73","4.06","1.16"
