"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY BANK","12 Jun 2026","14.29","1.85",".92"
"NIFTY BANK","11 Jun 2026","13.91","1.8",".95"
"NIFTY BANK","10 Jun 2026","13.89","1.79",".95"
"NIFTY BANK","09 Jun 2026","13.91","1.8",".95"
"NIFTY BANK","08 Jun 2026","13.63","1.76",".97"
"NIFTY BANK","05 Jun 2026","13.74","1.77","1.1"
"NIFTY BANK","04 Jun 2026","13.71","1.79","1.1"
"NIFTY BANK","03 Jun 2026","13.68","1.79","1.11"
"NIFTY BANK","02 Jun 2026","13.56","1.77","1.12"
"NIFTY BANK","01 Jun 2026","13.54","1.8","1.12"
"NIFTY BANK","29 May 2026","13.69","1.85","1.1"
"NIFTY BANK","27 May 2026","13.85","1.87","1.09"
"NIFTY BANK","26 May 2026","13.91","1.88","1.09"
"NIFTY BANK","25 May 2026","13.96","1.89","1.08"
"NIFTY BANK","22 May 2026","13.65","1.84","1.11"
"NIFTY BANK","21 May 2026","13.49","1.82","1.12"
"NIFTY BANK","20 May 2026","13.52","1.83","1.12"
"NIFTY BANK","19 May 2026","13.48","1.82","1.12"
"NIFTY BANK","18 May 2026","13.52","1.83","1.12"
"NIFTY BANK","15 May 2026","13.56","1.83","1.26"
"NIFTY BANK","14 May 2026","13.66","1.85","1.09"
"NIFTY BANK","13 May 2026","13.49","1.82","1.1"
"NIFTY BANK","12 May 2026","13.52","1.83","1.1"
"NIFTY BANK","11 May 2026","13.71","1.86","1.08"
"NIFTY BANK","08 May 2026","13.96","1.89","1.06"
"NIFTY BANK","07 May 2026","14.14","1.91","1.05"
"NIFTY BANK","06 May 2026","14.16","1.91","1.05"
"NIFTY BANK","05 May 2026","13.79","1.86","1.08"
"NIFTY BANK","04 May 2026","13.88","1.87","1.07"
"NIFTY BANK","30 Apr 2026","13.95","1.87","1.07"
"NIFTY BANK","29 Apr 2026","14.08","1.89","1.06"
"NIFTY BANK","28 Apr 2026","14.09","1.89","1.06"
"NIFTY BANK","27 Apr 2026","14.81","1.92","1.05"
"NIFTY BANK","24 Apr 2026","14.79","1.91","1.05"
"NIFTY BANK","23 Apr 2026","14.85","1.92","1.05"
"NIFTY BANK","22 Apr 2026","15.06","1.95","1.03"
"NIFTY BANK","21 Apr 2026","15.13","1.96","1.03"
"NIFTY BANK","20 Apr 2026","15.06","1.93","1.04"
"NIFTY BANK","17 Apr 2026","15.05","1.93","1.04"
"NIFTY BANK","16 Apr 2026","14.93","1.91","1.05"
"NIFTY BANK","15 Apr 2026","14.98","1.92","1.05"
"NIFTY BANK","13 Apr 2026","14.8","1.9","1.06"
"NIFTY BANK","10 Apr 2026","14.88","1.91","1.05"
"NIFTY BANK","09 Apr 2026","14.59","1.87","1.07"
"NIFTY BANK","08 Apr 2026","14.82","1.9","1.06"
"NIFTY BANK","07 Apr 2026","14.03","1.8","1.12"
"NIFTY BANK","06 Apr 2026","14","1.79","1.12"
"NIFTY BANK","02 Apr 2026","13.72","1.76","1.14"
"NIFTY BANK","01 Apr 2026","13.69","1.75","1.14"
"NIFTY BANK","30 Mar 2026","13.38","1.71","1.17"
"NIFTY BANK","27 Mar 2026","14","1.83","1.12"
"NIFTY BANK","25 Mar 2026","14.39","1.88","1.09"
"NIFTY BANK","24 Mar 2026","14.09","1.84","1.11"
"NIFTY BANK","23 Mar 2026","13.78","1.8","1.14"
"NIFTY BANK","20 Mar 2026","14.31","1.87","1.1"
"NIFTY BANK","19 Mar 2026","14.32","1.87","1.1"
"NIFTY BANK","18 Mar 2026","14.82","1.93","1.06"
"NIFTY BANK","17 Mar 2026","14.7","1.92","1.07"
"NIFTY BANK","16 Mar 2026","14.58","1.9","1.08"
"NIFTY BANK","13 Mar 2026","14.4","1.88","1.09"
"NIFTY BANK","12 Mar 2026","14.76","1.92","1.06"
"NIFTY BANK","11 Mar 2026","14.93","1.95","1.05"
"NIFTY BANK","10 Mar 2026","15.26","1.99","1.03"
"NIFTY BANK","09 Mar 2026","15.01","1.96","1.05"
"NIFTY BANK","06 Mar 2026","15.48","2.02","1.01"
"NIFTY BANK","05 Mar 2026","15.82","2.06",".99"
"NIFTY BANK","04 Mar 2026","15.74","2.05","1"
"NIFTY BANK","02 Mar 2026","16.03","2.09",".98"
"NIFTY BANK","27 Feb 2026","16.21","2.11",".97"
"NIFTY BANK","26 Feb 2026","16.47","2.19",".96"
"NIFTY BANK","25 Feb 2026","16.43","2.18",".96"
