"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY CHEMICALS","12 Jun 2026","46.87","4.33",".6"
"NIFTY CHEMICALS","11 Jun 2026","46","4.21",".65"
"NIFTY CHEMICALS","10 Jun 2026","46.59","4.27",".64"
"NIFTY CHEMICALS","09 Jun 2026","46.53","4.26",".59"
"NIFTY CHEMICALS","08 Jun 2026","45.84","4.2",".6"
"NIFTY CHEMICALS","05 Jun 2026","46.66","4.27",".59"
"NIFTY CHEMICALS","04 Jun 2026","46.54","4.26",".59"
"NIFTY CHEMICALS","03 Jun 2026","46.57","4.27",".59"
"NIFTY CHEMICALS","02 Jun 2026","46.53","4.26",".59"
"NIFTY CHEMICALS","01 Jun 2026","46.58","4.24",".6"
"NIFTY CHEMICALS","29 May 2026","47.09","4.29",".59"
"NIFTY CHEMICALS","27 May 2026","47.64","4.36",".58"
"NIFTY CHEMICALS","26 May 2026","47.7","4.36",".58"
"NIFTY CHEMICALS","25 May 2026","47.51","4.35",".58"
"NIFTY CHEMICALS","22 May 2026","46.79","4.28",".59"
"NIFTY CHEMICALS","21 May 2026","46.42","4.28",".59"
"NIFTY CHEMICALS","20 May 2026","46.21","4.26",".59"
"NIFTY CHEMICALS","19 May 2026","46.46","4.31",".59"
"NIFTY CHEMICALS","18 May 2026","46.43","4.26",".6"
"NIFTY CHEMICALS","15 May 2026","46.86","4.3",".59"
"NIFTY CHEMICALS","14 May 2026","46.8","4.3",".59"
"NIFTY CHEMICALS","13 May 2026","46.22","4.25",".6"
"NIFTY CHEMICALS","12 May 2026","46.08","4.23",".6"
"NIFTY CHEMICALS","11 May 2026","48.12","4.34",".59"
"NIFTY CHEMICALS","08 May 2026","47.62","4.37",".58"
"NIFTY CHEMICALS","07 May 2026","47.53","4.36",".58"
"NIFTY CHEMICALS","06 May 2026","47.51","4.35",".58"
"NIFTY CHEMICALS","05 May 2026","39.95","4.24",".6"
"NIFTY CHEMICALS","04 May 2026","39.86","4.23",".6"
"NIFTY CHEMICALS","30 Apr 2026","39.82","4.2",".6"
"NIFTY CHEMICALS","29 Apr 2026","39.82","4.2",".6"
"NIFTY CHEMICALS","28 Apr 2026","39.6","4.18",".61"
"NIFTY CHEMICALS","27 Apr 2026","39.57","4.15",".61"
"NIFTY CHEMICALS","24 Apr 2026","39.24","4.11",".62"
"NIFTY CHEMICALS","23 Apr 2026","39.62","4.15",".61"
"NIFTY CHEMICALS","22 Apr 2026","39.52","4.14",".61"
"NIFTY CHEMICALS","21 Apr 2026","39.14","4.1",".62"
"NIFTY CHEMICALS","20 Apr 2026","38.98","4.08",".62"
"NIFTY CHEMICALS","17 Apr 2026","39.25","4.11",".62"
"NIFTY CHEMICALS","16 Apr 2026","38.92","4.07",".62"
"NIFTY CHEMICALS","15 Apr 2026","38.82","4.06",".62"
"NIFTY CHEMICALS","13 Apr 2026","38.04","3.98",".64"
"NIFTY CHEMICALS","10 Apr 2026","38.15","3.99",".64"
