"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY CONSUMER DURABLES","31 Dec 2021","72.97","14.98","0.35"
"NIFTY CONSUMER DURABLES","30 Dec 2021","72.72","14.96","0.35"
"NIFTY CONSUMER DURABLES","29 Dec 2021","72.19","14.85","0.35"
"NIFTY CONSUMER DURABLES","28 Dec 2021","72.15","14.84","0.35"
"NIFTY CONSUMER DURABLES","27 Dec 2021","71.17","14.64","0.36"
"NIFTY CONSUMER DURABLES","24 Dec 2021","70.82","14.57","0.36"
"NIFTY CONSUMER DURABLES","23 Dec 2021","71.23","14.65","0.36"
"NIFTY CONSUMER DURABLES","22 Dec 2021","70.48","14.50","0.36"
"NIFTY CONSUMER DURABLES","21 Dec 2021","70.11","14.42","0.37"
"NIFTY CONSUMER DURABLES","20 Dec 2021","68.69","14.13","0.37"
"NIFTY CONSUMER DURABLES","17 Dec 2021","70.26","14.48","0.37"
"NIFTY CONSUMER DURABLES","16 Dec 2021","71.88","14.81","0.36"
"NIFTY CONSUMER DURABLES","15 Dec 2021","71.62","14.76","0.36"
"NIFTY CONSUMER DURABLES","14 Dec 2021","71.93","14.82","0.35"
"NIFTY CONSUMER DURABLES","13 Dec 2021","72.33","14.90","0.35"
"NIFTY CONSUMER DURABLES","10 Dec 2021","72.47","14.93","0.35"
"NIFTY CONSUMER DURABLES","09 Dec 2021","72.63","14.97","0.35"
"NIFTY CONSUMER DURABLES","08 Dec 2021","72.91","15.02","0.35"
"NIFTY CONSUMER DURABLES","07 Dec 2021","72.32","14.90","0.35"
"NIFTY CONSUMER DURABLES","06 Dec 2021","70.95","14.62","0.36"
"NIFTY CONSUMER DURABLES","03 Dec 2021","71.84","14.80","0.35"
"NIFTY CONSUMER DURABLES","02 Dec 2021","72.03","14.84","0.35"
"NIFTY CONSUMER DURABLES","01 Dec 2021","71.43","14.72","0.35"
"NIFTY CONSUMER DURABLES","30 Nov 2021","71.74","14.78","0.35"
"NIFTY CONSUMER DURABLES","29 Nov 2021","70.17","14.46","0.36"
"NIFTY CONSUMER DURABLES","26 Nov 2021","70.04","14.43","0.36"
"NIFTY CONSUMER DURABLES","25 Nov 2021","72.66","14.97","0.35"
"NIFTY CONSUMER DURABLES","24 Nov 2021","72.20","14.88","0.35"
"NIFTY CONSUMER DURABLES","23 Nov 2021","72.54","14.95","0.35"
"NIFTY CONSUMER DURABLES","22 Nov 2021","72.24","14.89","0.35"
"NIFTY CONSUMER DURABLES","18 Nov 2021","75.49","15.34","0.34"
"NIFTY CONSUMER DURABLES","17 Nov 2021","76.11","15.46","0.34"
"NIFTY CONSUMER DURABLES","16 Nov 2021","76.63","15.57","0.34"
"NIFTY CONSUMER DURABLES","15 Nov 2021","76.98","15.64","0.34"
"NIFTY CONSUMER DURABLES","12 Nov 2021","76.49","15.54","0.34"
"NIFTY CONSUMER DURABLES","11 Nov 2021","76.01","15.44","0.34"
"NIFTY CONSUMER DURABLES","10 Nov 2021","75.81","15.40","0.34"
"NIFTY CONSUMER DURABLES","09 Nov 2021","76.21","15.48","0.34"
"NIFTY CONSUMER DURABLES","08 Nov 2021","77.16","15.51","0.34"
"NIFTY CONSUMER DURABLES","04 Nov 2021","75.60","15.20","0.35"
"NIFTY CONSUMER DURABLES","03 Nov 2021","75.00","15.08","0.35"
"NIFTY CONSUMER DURABLES","02 Nov 2021","76.82","15.17","0.41"
"NIFTY CONSUMER DURABLES","01 Nov 2021","76.67","15.03","0.39"
"NIFTY CONSUMER DURABLES","29 Oct 2021","75.58","14.76","0.40"
"NIFTY CONSUMER DURABLES","28 Oct 2021","80.41","14.72","0.40"
"NIFTY CONSUMER DURABLES","27 Oct 2021","81.77","14.97","0.39"
"NIFTY CONSUMER DURABLES","26 Oct 2021","81.69","14.95","0.36"
"NIFTY CONSUMER DURABLES","25 Oct 2021","80.59","14.61","0.37"
"NIFTY CONSUMER DURABLES","22 Oct 2021","81.70","14.81","0.37"
"NIFTY CONSUMER DURABLES","21 Oct 2021","81.51","14.82","0.37"
"NIFTY CONSUMER DURABLES","20 Oct 2021","82.98","15.09","0.36"
"NIFTY CONSUMER DURABLES","19 Oct 2021","85.46","15.54","0.35"
"NIFTY CONSUMER DURABLES","18 Oct 2021","87.60","15.93","0.34"
"NIFTY CONSUMER DURABLES","14 Oct 2021","87.07","15.83","0.34"
"NIFTY CONSUMER DURABLES","13 Oct 2021","86.15","15.66","0.35"
"NIFTY CONSUMER DURABLES","12 Oct 2021","85.44","15.53","0.35"
"NIFTY CONSUMER DURABLES","11 Oct 2021","83.22","15.13","0.36"
"NIFTY CONSUMER DURABLES","08 Oct 2021","82.48","15.00","0.36"
"NIFTY CONSUMER DURABLES","07 Oct 2021","82.43","14.99","0.36"
"NIFTY CONSUMER DURABLES","06 Oct 2021","78.30","14.24","0.38"
"NIFTY CONSUMER DURABLES","05 Oct 2021","79.34","14.43","0.38"
"NIFTY CONSUMER DURABLES","04 Oct 2021","78.77","14.32","0.38"
"NIFTY CONSUMER DURABLES","01 Oct 2021","78.47","14.27","0.38"
"NIFTY CONSUMER DURABLES","30 Sep 2021","77.88","14.16","0.39"
"NIFTY CONSUMER DURABLES","29 Sep 2021","77.32","14.05","0.39"
"NIFTY CONSUMER DURABLES","28 Sep 2021","77.23","14.04","0.39"
"NIFTY CONSUMER DURABLES","27 Sep 2021","77.17","14.03","0.39"
"NIFTY CONSUMER DURABLES","24 Sep 2021","77.47","14.08","0.39"
"NIFTY CONSUMER DURABLES","23 Sep 2021","77.93","14.31","0.38"
"NIFTY CONSUMER DURABLES","22 Sep 2021","76.78","14.10","0.39"
"NIFTY CONSUMER DURABLES","21 Sep 2021","76.55","14.06","0.39"
"NIFTY CONSUMER DURABLES","20 Sep 2021","76.69","14.08","0.39"
"NIFTY CONSUMER DURABLES","17 Sep 2021","77.93","14.31","0.38"
"NIFTY CONSUMER DURABLES","16 Sep 2021","78.26","14.37","0.38"
"NIFTY CONSUMER DURABLES","15 Sep 2021","78.34","14.39","0.38"
"NIFTY CONSUMER DURABLES","14 Sep 2021","77.57","14.25","0.39"
"NIFTY CONSUMER DURABLES","13 Sep 2021","76.91","14.13","0.39"
"NIFTY CONSUMER DURABLES","09 Sep 2021","77.03","14.15","0.39"
"NIFTY CONSUMER DURABLES","08 Sep 2021","76.94","14.13","0.39"
"NIFTY CONSUMER DURABLES","07 Sep 2021","76.41","14.03","0.39"
"NIFTY CONSUMER DURABLES","06 Sep 2021","75.65","13.89","0.40"
"NIFTY CONSUMER DURABLES","03 Sep 2021","75.09","13.79","0.40"
"NIFTY CONSUMER DURABLES","02 Sep 2021","74.32","13.65","0.40"
"NIFTY CONSUMER DURABLES","01 Sep 2021","73.11","13.43","0.41"
"NIFTY CONSUMER DURABLES","31 Aug 2021","71.69","13.33","0.42"
"NIFTY CONSUMER DURABLES","30 Aug 2021","70.79","13.16","0.42"
"NIFTY CONSUMER DURABLES","27 Aug 2021","69.50","12.92","0.43"
"NIFTY CONSUMER DURABLES","26 Aug 2021","69.04","12.84","0.43"
"NIFTY CONSUMER DURABLES","25 Aug 2021","68.62","12.76","0.44"
"NIFTY CONSUMER DURABLES","24 Aug 2021","69.66","12.95","0.43"
"NIFTY CONSUMER DURABLES","23 Aug 2021","69.61","12.94","0.43"
"NIFTY CONSUMER DURABLES","20 Aug 2021","69.87","12.99","0.43"
"NIFTY CONSUMER DURABLES","18 Aug 2021","70.34","13.08","0.42"
"NIFTY CONSUMER DURABLES","17 Aug 2021","71.18","13.01","0.43"
"NIFTY CONSUMER DURABLES","16 Aug 2021","70.72","13.35","0.42"
