"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY ENERGY","12 Jun 2026","14.61","2.39","1.9"
"NIFTY ENERGY","11 Jun 2026","14.39","2.36","1.9"
"NIFTY ENERGY","10 Jun 2026","14.5","2.37","1.88"
"NIFTY ENERGY","09 Jun 2026","14.8","2.42","1.85"
"NIFTY ENERGY","08 Jun 2026","14.78","2.42","1.85"
"NIFTY ENERGY","05 Jun 2026","15.02","2.47","1.83"
"NIFTY ENERGY","04 Jun 2026","15.06","2.47","1.78"
"NIFTY ENERGY","03 Jun 2026","14.96","2.49","1.79"
"NIFTY ENERGY","02 Jun 2026","14.96","2.48","1.79"
"NIFTY ENERGY","01 Jun 2026","14.99","2.49","1.78"
"NIFTY ENERGY","29 May 2026","15.54","2.53","1.76"
"NIFTY ENERGY","27 May 2026","15.79","2.57","1.73"
"NIFTY ENERGY","26 May 2026","15.52","2.52","1.76"
"NIFTY ENERGY","25 May 2026","15.39","2.51","1.77"
"NIFTY ENERGY","22 May 2026","15.26","2.49","1.78"
"NIFTY ENERGY","21 May 2026","15.28","2.49","1.78"
"NIFTY ENERGY","20 May 2026","15.42","2.48","1.79"
"NIFTY ENERGY","19 May 2026","15.19","2.45","1.81"
"NIFTY ENERGY","18 May 2026","15.2","2.44","1.82"
"NIFTY ENERGY","15 May 2026","15.32","2.46","1.8"
"NIFTY ENERGY","14 May 2026","15.6","2.48","1.79"
"NIFTY ENERGY","13 May 2026","15.5","2.46","1.8"
"NIFTY ENERGY","12 May 2026","15.39","2.44","1.82"
"NIFTY ENERGY","11 May 2026","16.37","2.58","1.69"
"NIFTY ENERGY","08 May 2026","16.68","2.63","1.66"
"NIFTY ENERGY","07 May 2026","16.83","2.65","1.64"
"NIFTY ENERGY","06 May 2026","16.69","2.63","1.66"
"NIFTY ENERGY","05 May 2026","16.86","2.64","1.65"
"NIFTY ENERGY","04 May 2026","16.85","2.64","1.65"
"NIFTY ENERGY","30 Apr 2026","16.8","2.62","1.67"
"NIFTY ENERGY","29 Apr 2026","16.88","2.64","1.65"
"NIFTY ENERGY","28 Apr 2026","16.89","2.64","1.65"
"NIFTY ENERGY","27 Apr 2026","16.79","2.61","1.67"
"NIFTY ENERGY","24 Apr 2026","16.54","2.57","1.7"
"NIFTY ENERGY","23 Apr 2026","16.58","2.57","1.69"
"NIFTY ENERGY","22 Apr 2026","16.54","2.57","1.7"
"NIFTY ENERGY","21 Apr 2026","16.31","2.53","1.72"
"NIFTY ENERGY","20 Apr 2026","16.24","2.52","1.73"
"NIFTY ENERGY","17 Apr 2026","16.12","2.5","1.74"
"NIFTY ENERGY","16 Apr 2026","15.83","2.46","1.77"
"NIFTY ENERGY","15 Apr 2026","15.75","2.45","1.78"
"NIFTY ENERGY","13 Apr 2026","15.42","2.4","1.82"
"NIFTY ENERGY","10 Apr 2026","15.41","2.4","1.82"
"NIFTY ENERGY","09 Apr 2026","15.24","2.37","1.84"
"NIFTY ENERGY","08 Apr 2026","15.12","2.35","1.85"
"NIFTY ENERGY","07 Apr 2026","14.75","2.3","1.9"
"NIFTY ENERGY","06 Apr 2026","14.67","2.28","1.91"
"NIFTY ENERGY","02 Apr 2026","14.63","2.28","1.92"
"NIFTY ENERGY","01 Apr 2026","14.67","2.28","1.91"
"NIFTY ENERGY","30 Mar 2026","14.45","2.25","1.94"
"NIFTY ENERGY","27 Mar 2026","14.78","2.28","1.93"
"NIFTY ENERGY","25 Mar 2026","14.92","2.31","1.91"
"NIFTY ENERGY","24 Mar 2026","14.72","2.27","1.94"
"NIFTY ENERGY","23 Mar 2026","14.62","2.26","1.95"
"NIFTY ENERGY","20 Mar 2026","15.07","2.33","1.9"
"NIFTY ENERGY","19 Mar 2026","14.96","2.31","1.91"
"NIFTY ENERGY","18 Mar 2026","15.17","2.34","1.89"
"NIFTY ENERGY","17 Mar 2026","15.1","2.33","1.91"
"NIFTY ENERGY","16 Mar 2026","14.98","2.31","1.92"
"NIFTY ENERGY","13 Mar 2026","15.14","2.34","1.9"
"NIFTY ENERGY","12 Mar 2026","15.46","2.39","1.86"
"NIFTY ENERGY","11 Mar 2026","15.17","2.34","1.88"
"NIFTY ENERGY","10 Mar 2026","15.13","2.34","1.88"
"NIFTY ENERGY","09 Mar 2026","14.97","2.31","1.9"
"NIFTY ENERGY","06 Mar 2026","15.24","2.35","1.87"
