"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY FINANCIAL SERVICES EX-BANK","29 May 2026","22.26","4.28",".74"
"NIFTY FINANCIAL SERVICES EX-BANK","27 May 2026","22.72","4.37",".71"
"NIFTY FINANCIAL SERVICES EX-BANK","26 May 2026","22.87","4.4",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","25 May 2026","22.96","4.41",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","22 May 2026","22.53","4.33",".73"
"NIFTY FINANCIAL SERVICES EX-BANK","21 May 2026","22.4","4.3",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","20 May 2026","22.53","4.33",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","19 May 2026","22.48","4.32",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","18 May 2026","22.47","4.29",".73"
"NIFTY FINANCIAL SERVICES EX-BANK","15 May 2026","22.55","4.29",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","14 May 2026","22.64","4.31",".72"
"NIFTY FINANCIAL SERVICES EX-BANK","13 May 2026","22.27","4.24",".75"
"NIFTY FINANCIAL SERVICES EX-BANK","12 May 2026","22.23","4.23",".75"
"NIFTY FINANCIAL SERVICES EX-BANK","11 May 2026","22.93","4.37",".73"
"NIFTY FINANCIAL SERVICES EX-BANK","08 May 2026","23.44","4.43",".74"
"NIFTY FINANCIAL SERVICES EX-BANK","07 May 2026","23.75","4.46",".73"
"NIFTY FINANCIAL SERVICES EX-BANK","06 May 2026","23.56","4.43",".74"
"NIFTY FINANCIAL SERVICES EX-BANK","05 May 2026","23.06","4.33",".76"
"NIFTY FINANCIAL SERVICES EX-BANK","04 May 2026","22.91","4.3",".76"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Apr 2026","22.89","4.25",".77"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Apr 2026","22.52","4.2",".78"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Apr 2026","22.5","4.19",".79"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Apr 2026","22.72","4.19",".79"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Apr 2026","22.61","4.17",".8"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Apr 2026","22.75","4.2",".79"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Apr 2026","22.99","4.24",".78"
