"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY FINANCIAL SERVICES","12 Jun 2026","16.7","2.71",".84"
"NIFTY FINANCIAL SERVICES","11 Jun 2026","16.19","2.63",".87"
"NIFTY FINANCIAL SERVICES","10 Jun 2026","16.23","2.63",".87"
"NIFTY FINANCIAL SERVICES","09 Jun 2026","16.19","2.63",".87"
"NIFTY FINANCIAL SERVICES","08 Jun 2026","15.97","2.59",".88"
"NIFTY FINANCIAL SERVICES","05 Jun 2026","16.13","2.62",".88"
"NIFTY FINANCIAL SERVICES","04 Jun 2026","16.11","2.61",".88"
"NIFTY FINANCIAL SERVICES","03 Jun 2026","16.06","2.61",".88"
"NIFTY FINANCIAL SERVICES","02 Jun 2026","16","2.6",".88"
"NIFTY FINANCIAL SERVICES","01 Jun 2026","16.1","2.61",".88"
"NIFTY FINANCIAL SERVICES","29 May 2026","16.32","2.72",".9"
"NIFTY FINANCIAL SERVICES","27 May 2026","16.58","2.77",".89"
"NIFTY FINANCIAL SERVICES","26 May 2026","16.69","2.78",".88"
"NIFTY FINANCIAL SERVICES","25 May 2026","16.8","2.8",".87"
"NIFTY FINANCIAL SERVICES","22 May 2026","16.43","2.74",".89"
"NIFTY FINANCIAL SERVICES","21 May 2026","16.25","2.71",".9"
"NIFTY FINANCIAL SERVICES","20 May 2026","16.28","2.72",".9"
"NIFTY FINANCIAL SERVICES","19 May 2026","16.27","2.72",".9"
"NIFTY FINANCIAL SERVICES","18 May 2026","16.36","2.72",".9"
"NIFTY FINANCIAL SERVICES","15 May 2026","16.37","2.72","1.04"
"NIFTY FINANCIAL SERVICES","14 May 2026","16.45","2.74",".88"
"NIFTY FINANCIAL SERVICES","13 May 2026","16.22","2.7",".9"
"NIFTY FINANCIAL SERVICES","12 May 2026","16.23","2.7",".9"
"NIFTY FINANCIAL SERVICES","11 May 2026","16.57","2.76",".88"
"NIFTY FINANCIAL SERVICES","08 May 2026","16.83","2.79",".88"
"NIFTY FINANCIAL SERVICES","07 May 2026","17.11","2.84",".86"
"NIFTY FINANCIAL SERVICES","06 May 2026","17.08","2.83",".87"
"NIFTY FINANCIAL SERVICES","05 May 2026","16.64","2.76",".89"
"NIFTY FINANCIAL SERVICES","04 May 2026","16.7","2.77",".89"
"NIFTY FINANCIAL SERVICES","30 Apr 2026","16.71","2.76",".89"
"NIFTY FINANCIAL SERVICES","29 Apr 2026","16.7","2.76",".89"
"NIFTY FINANCIAL SERVICES","28 Apr 2026","16.73","2.76",".89"
"NIFTY FINANCIAL SERVICES","27 Apr 2026","16.94","2.79",".88"
"NIFTY FINANCIAL SERVICES","24 Apr 2026","16.92","2.79",".89"
"NIFTY FINANCIAL SERVICES","23 Apr 2026","16.99","2.8",".89"
"NIFTY FINANCIAL SERVICES","22 Apr 2026","17.24","2.84",".87"
"NIFTY FINANCIAL SERVICES","21 Apr 2026","17.38","2.86",".87"
"NIFTY FINANCIAL SERVICES","20 Apr 2026","17.31","2.83",".88"
"NIFTY FINANCIAL SERVICES","17 Apr 2026","17.3","2.83",".88"
"NIFTY FINANCIAL SERVICES","16 Apr 2026","17.19","2.81",".87"
"NIFTY FINANCIAL SERVICES","15 Apr 2026","17.25","2.82",".87"
"NIFTY FINANCIAL SERVICES","13 Apr 2026","16.99","2.78",".88"
"NIFTY FINANCIAL SERVICES","10 Apr 2026","17.1","2.79",".88"
"NIFTY FINANCIAL SERVICES","09 Apr 2026","16.76","2.74",".9"
"NIFTY FINANCIAL SERVICES","08 Apr 2026","17","2.78",".88"
"NIFTY FINANCIAL SERVICES","07 Apr 2026","16.11","2.63",".93"
"NIFTY FINANCIAL SERVICES","06 Apr 2026","16.05","2.62",".94"
"NIFTY FINANCIAL SERVICES","02 Apr 2026","15.69","2.56",".96"
"NIFTY FINANCIAL SERVICES","01 Apr 2026","15.65","2.56",".96"
"NIFTY FINANCIAL SERVICES","30 Mar 2026","15.35","2.51",".98"
"NIFTY FINANCIAL SERVICES","27 Mar 2026","15.57","2.57",".94"
"NIFTY FINANCIAL SERVICES","25 Mar 2026","16","2.64",".93"
"NIFTY FINANCIAL SERVICES","24 Mar 2026","15.64","2.58",".96"
"NIFTY FINANCIAL SERVICES","23 Mar 2026","15.3","2.52",".98"
"NIFTY FINANCIAL SERVICES","20 Mar 2026","15.83","2.61",".93"
"NIFTY FINANCIAL SERVICES","19 Mar 2026","15.94","2.63",".91"
"NIFTY FINANCIAL SERVICES","18 Mar 2026","16.56","2.73",".89"
"NIFTY FINANCIAL SERVICES","17 Mar 2026","16.43","2.71",".9"
"NIFTY FINANCIAL SERVICES","16 Mar 2026","16.3","2.69",".91"
"NIFTY FINANCIAL SERVICES","13 Mar 2026","16.05","2.65",".92"
"NIFTY FINANCIAL SERVICES","12 Mar 2026","16.39","2.7",".9"
"NIFTY FINANCIAL SERVICES","11 Mar 2026","16.55","2.73",".89"
"NIFTY FINANCIAL SERVICES","10 Mar 2026","16.95","2.8",".87"
"NIFTY FINANCIAL SERVICES","09 Mar 2026","16.63","2.74",".88"
"NIFTY FINANCIAL SERVICES","06 Mar 2026","17.02","2.81",".87"
"NIFTY FINANCIAL SERVICES","05 Mar 2026","17.39","2.87",".85"
"NIFTY FINANCIAL SERVICES","04 Mar 2026","17.26","2.85",".85"
"NIFTY FINANCIAL SERVICES","02 Mar 2026","17.6","2.9",".84"
"NIFTY FINANCIAL SERVICES","27 Feb 2026","17.8","2.94",".84"
"NIFTY FINANCIAL SERVICES","26 Feb 2026","18.08","2.98",".83"
"NIFTY FINANCIAL SERVICES","25 Feb 2026","18.1","2.99",".83"
"NIFTY FINANCIAL SERVICES","24 Feb 2026","18.07","2.98",".83"
"NIFTY FINANCIAL SERVICES","23 Feb 2026","18.17","3",".83"
"NIFTY FINANCIAL SERVICES","20 Feb 2026","18.02","2.97",".83"
