"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY HEALTHCARE","30 Dec 2022","35.40","4.64","0.72"
"NIFTY HEALTHCARE","29 Dec 2022","35.53","4.66","0.72"
"NIFTY HEALTHCARE","28 Dec 2022","35.58","4.67","0.72"
"NIFTY HEALTHCARE","27 Dec 2022","35.80","4.69","0.72"
"NIFTY HEALTHCARE","26 Dec 2022","35.79","4.69","0.72"
"NIFTY HEALTHCARE","23 Dec 2022","36.10","4.73","0.71"
"NIFTY HEALTHCARE","22 Dec 2022","36.44","4.78","0.71"
"NIFTY HEALTHCARE","21 Dec 2022","36.51","4.79","0.70"
"NIFTY HEALTHCARE","20 Dec 2022","35.56","4.66","0.72"
"NIFTY HEALTHCARE","19 Dec 2022","35.65","4.68","0.72"
"NIFTY HEALTHCARE","16 Dec 2022","35.58","4.67","0.72"
"NIFTY HEALTHCARE","15 Dec 2022","36.12","4.74","0.71"
"NIFTY HEALTHCARE","14 Dec 2022","36.33","4.76","0.71"
"NIFTY HEALTHCARE","13 Dec 2022","36.11","4.74","0.71"
"NIFTY HEALTHCARE","12 Dec 2022","36.09","4.73","0.71"
"NIFTY HEALTHCARE","09 Dec 2022","36.09","4.73","0.71"
"NIFTY HEALTHCARE","08 Dec 2022","35.99","4.72","0.71"
"NIFTY HEALTHCARE","07 Dec 2022","36.37","4.77","0.71"
"NIFTY HEALTHCARE","06 Dec 2022","36.65","4.81","0.70"
"NIFTY HEALTHCARE","05 Dec 2022","36.89","4.84","0.70"
"NIFTY HEALTHCARE","02 Dec 2022","37.05","4.86","0.69"
"NIFTY HEALTHCARE","01 Dec 2022","37.08","4.86","0.69"
"NIFTY HEALTHCARE","30 Nov 2022","37.10","4.87","0.69"
"NIFTY HEALTHCARE","29 Nov 2022","36.94","4.84","0.70"
"NIFTY HEALTHCARE","28 Nov 2022","36.71","4.81","0.70"
"NIFTY HEALTHCARE","25 Nov 2022","36.70","4.81","0.70"
"NIFTY HEALTHCARE","24 Nov 2022","36.54","4.79","0.70"
"NIFTY HEALTHCARE","23 Nov 2022","36.36","4.77","0.71"
"NIFTY HEALTHCARE","22 Nov 2022","36.13","4.74","0.71"
"NIFTY HEALTHCARE","21 Nov 2022","35.98","4.72","0.71"
"NIFTY HEALTHCARE","18 Nov 2022","36.11","4.74","0.71"
"NIFTY HEALTHCARE","17 Nov 2022","36.26","4.77","0.71"
"NIFTY HEALTHCARE","16 Nov 2022","36.46","4.79","0.72"
"NIFTY HEALTHCARE","15 Nov 2022","36.75","4.82","0.71"
"NIFTY HEALTHCARE","14 Nov 2022","35.91","4.81","0.72"
"NIFTY HEALTHCARE","11 Nov 2022","39.11","4.80","0.72"
"NIFTY HEALTHCARE","10 Nov 2022","38.83","4.77","0.72"
"NIFTY HEALTHCARE","09 Nov 2022","39.16","4.81","0.72"
"NIFTY HEALTHCARE","07 Nov 2022","39.47","4.87","0.71"
"NIFTY HEALTHCARE","04 Nov 2022","40.17","4.93","0.70"
"NIFTY HEALTHCARE","03 Nov 2022","40.59","4.98","0.69"
"NIFTY HEALTHCARE","02 Nov 2022","40.58","4.98","0.69"
"NIFTY HEALTHCARE","01 Nov 2022","40.75","4.97","0.69"
"NIFTY HEALTHCARE","31 Oct 2022","40.27","4.88","0.70"
"NIFTY HEALTHCARE","28 Oct 2022","39.83","4.83","0.71"
"NIFTY HEALTHCARE","27 Oct 2022","40.14","4.87","0.70"
"NIFTY HEALTHCARE","25 Oct 2022","39.80","4.83","0.71"
"NIFTY HEALTHCARE","24 Oct 2022","39.80","4.81","0.71"
"NIFTY HEALTHCARE","21 Oct 2022","39.58","4.78","0.71"
"NIFTY HEALTHCARE","20 Oct 2022","39.80","4.81","0.71"
"NIFTY HEALTHCARE","19 Oct 2022","39.69","4.79","0.71"
"NIFTY HEALTHCARE","18 Oct 2022","39.59","4.78","0.71"
"NIFTY HEALTHCARE","17 Oct 2022","39.42","4.76","0.72"
"NIFTY HEALTHCARE","14 Oct 2022","39.34","4.75","0.72"
"NIFTY HEALTHCARE","13 Oct 2022","39.08","4.72","0.72"
"NIFTY HEALTHCARE","12 Oct 2022","39.00","4.71","0.73"
"NIFTY HEALTHCARE","11 Oct 2022","38.93","4.70","0.73"
"NIFTY HEALTHCARE","10 Oct 2022","39.56","4.77","0.72"
"NIFTY HEALTHCARE","07 Oct 2022","39.91","4.82","0.71"
"NIFTY HEALTHCARE","06 Oct 2022","40.07","4.84","0.71"
"NIFTY HEALTHCARE","04 Oct 2022","40.18","4.85","0.70"
"NIFTY HEALTHCARE","03 Oct 2022","39.84","4.81","0.71"
"NIFTY HEALTHCARE","30 Sep 2022","39.51","4.77","0.72"
"NIFTY HEALTHCARE","29 Sep 2022","39.55","4.80","0.75"
"NIFTY HEALTHCARE","28 Sep 2022","39.01","4.74","0.76"
"NIFTY HEALTHCARE","27 Sep 2022","38.67","4.70","0.77"
"NIFTY HEALTHCARE","26 Sep 2022","38.35","4.66","0.78"
"NIFTY HEALTHCARE","23 Sep 2022","38.75","4.71","0.77"
"NIFTY HEALTHCARE","22 Sep 2022","38.89","4.72","0.76"
"NIFTY HEALTHCARE","21 Sep 2022","38.74","4.71","0.77"
"NIFTY HEALTHCARE","20 Sep 2022","39.15","4.75","0.76"
"NIFTY HEALTHCARE","19 Sep 2022","37.85","4.60","0.79"
"NIFTY HEALTHCARE","16 Sep 2022","37.77","4.59","0.78"
"NIFTY HEALTHCARE","15 Sep 2022","38.29","4.65","0.77"
"NIFTY HEALTHCARE","14 Sep 2022","38.81","4.71","0.76"
"NIFTY HEALTHCARE","13 Sep 2022","39.04","4.74","0.75"
"NIFTY HEALTHCARE","12 Sep 2022","39.02","4.74","0.75"
"NIFTY HEALTHCARE","09 Sep 2022","38.92","4.73","0.75"
"NIFTY HEALTHCARE","08 Sep 2022","38.87","4.72","0.75"
"NIFTY HEALTHCARE","07 Sep 2022","38.80","4.71","0.76"
"NIFTY HEALTHCARE","06 Sep 2022","38.52","4.68","0.76"
"NIFTY HEALTHCARE","05 Sep 2022","38.31","4.65","0.77"
"NIFTY HEALTHCARE","02 Sep 2022","38.18","4.64","0.77"
"NIFTY HEALTHCARE","01 Sep 2022","38.33","4.65","0.77"
"NIFTY HEALTHCARE","30 Aug 2022","38.85","4.72","0.75"
"NIFTY HEALTHCARE","29 Aug 2022","38.38","4.74","0.76"
"NIFTY HEALTHCARE","26 Aug 2022","38.43","4.74","0.77"
"NIFTY HEALTHCARE","25 Aug 2022","38.40","4.74","0.77"
"NIFTY HEALTHCARE","24 Aug 2022","38.56","4.76","0.77"
"NIFTY HEALTHCARE","23 Aug 2022","38.56","4.76","0.77"
"NIFTY HEALTHCARE","22 Aug 2022","38.22","4.72","0.82"
"NIFTY HEALTHCARE","19 Aug 2022","38.87","4.80","0.81"
"NIFTY HEALTHCARE","18 Aug 2022","39.39","4.86","0.73"
"NIFTY HEALTHCARE","17 Aug 2022","39.55","4.98","0.70"
"NIFTY HEALTHCARE","16 Aug 2022","39.71","4.98","0.76"
"NIFTY HEALTHCARE","12 Aug 2022","38.67","4.95","0.76"
"NIFTY HEALTHCARE","11 Aug 2022","38.66","5.10","0.75"
"NIFTY HEALTHCARE","10 Aug 2022","38.56","5.15","0.68"
"NIFTY HEALTHCARE","08 Aug 2022","37.76","5.13","0.75"
"NIFTY HEALTHCARE","05 Aug 2022","36.74","5.12","0.69"
"NIFTY HEALTHCARE","04 Aug 2022","36.83","5.14","0.68"
