"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA DEFENCE","29 Dec 2023","45.95","11.31","0.58"
"NIFTY INDIA DEFENCE","28 Dec 2023","45.00","11.07","0.59"
"NIFTY INDIA DEFENCE","27 Dec 2023","45.02","11.08","0.59"
"NIFTY INDIA DEFENCE","26 Dec 2023","45.06","11.09","0.59"
"NIFTY INDIA DEFENCE","22 Dec 2023","43.41","10.68","0.61"
"NIFTY INDIA DEFENCE","21 Dec 2023","43.07","10.60","0.62"
"NIFTY INDIA DEFENCE","20 Dec 2023","42.23","10.39","0.63"
"NIFTY INDIA DEFENCE","19 Dec 2023","43.97","10.82","0.60"
"NIFTY INDIA DEFENCE","18 Dec 2023","44.03","10.83","0.60"
"NIFTY INDIA DEFENCE","15 Dec 2023","43.27","10.65","0.61"
"NIFTY INDIA DEFENCE","14 Dec 2023","42.90","10.56","0.62"
"NIFTY INDIA DEFENCE","13 Dec 2023","42.57","10.48","0.62"
"NIFTY INDIA DEFENCE","12 Dec 2023","42.28","10.40","0.63"
"NIFTY INDIA DEFENCE","11 Dec 2023","42.68","10.50","0.62"
"NIFTY INDIA DEFENCE","08 Dec 2023","41.81","10.29","0.63"
"NIFTY INDIA DEFENCE","07 Dec 2023","41.81","10.29","0.63"
"NIFTY INDIA DEFENCE","06 Dec 2023","41.78","10.28","0.63"
"NIFTY INDIA DEFENCE","05 Dec 2023","40.14","9.88","0.66"
"NIFTY INDIA DEFENCE","04 Dec 2023","40.26","9.91","0.66"
"NIFTY INDIA DEFENCE","01 Dec 2023","39.65","9.76","0.67"
"NIFTY INDIA DEFENCE","30 Nov 2023","39.28","9.67","0.68"
"NIFTY INDIA DEFENCE","29 Nov 2023","38.86","9.56","0.68"
"NIFTY INDIA DEFENCE","28 Nov 2023","38.76","9.54","0.68"
"NIFTY INDIA DEFENCE","24 Nov 2023","38.76","9.54","0.68"
"NIFTY INDIA DEFENCE","23 Nov 2023","37.99","9.35","0.70"
"NIFTY INDIA DEFENCE","22 Nov 2023","37.72","9.28","0.70"
"NIFTY INDIA DEFENCE","21 Nov 2023","38.38","9.44","0.69"
"NIFTY INDIA DEFENCE","20 Nov 2023","38.39","9.45","0.75"
"NIFTY INDIA DEFENCE","17 Nov 2023","38.76","9.54","0.75"
"NIFTY INDIA DEFENCE","16 Nov 2023","37.97","9.34","0.77"
"NIFTY INDIA DEFENCE","15 Nov 2023","37.71","9.25","0.78"
"NIFTY INDIA DEFENCE","13 Nov 2023","37.17","9.08","0.79"
"NIFTY INDIA DEFENCE","12 Nov 2023","37.02","9.06","0.79"
"NIFTY INDIA DEFENCE","10 Nov 2023","36.59","8.95","0.80"
"NIFTY INDIA DEFENCE","09 Nov 2023","36.86","8.95","0.80"
"NIFTY INDIA DEFENCE","08 Nov 2023","37.34","9.01","0.80"
"NIFTY INDIA DEFENCE","07 Nov 2023","37.05","8.94","0.80"
"NIFTY INDIA DEFENCE","06 Nov 2023","36.46","8.71","0.82"
"NIFTY INDIA DEFENCE","03 Nov 2023","36.07","8.59","0.84"
"NIFTY INDIA DEFENCE","02 Nov 2023","35.43","8.18","0.85"
"NIFTY INDIA DEFENCE","01 Nov 2023","35.35","8.16","0.85"
"NIFTY INDIA DEFENCE","31 Oct 2023","35.49","8.18","0.85"
"NIFTY INDIA DEFENCE","30 Oct 2023","35.73","8.13","0.86"
"NIFTY INDIA DEFENCE","27 Oct 2023","36.11","8.22","0.85"
"NIFTY INDIA DEFENCE","26 Oct 2023","35.25","8.02","0.87"
"NIFTY INDIA DEFENCE","25 Oct 2023","34.85","7.93","0.88"
"NIFTY INDIA DEFENCE","23 Oct 2023","35.72","8.13","0.86"
"NIFTY INDIA DEFENCE","20 Oct 2023","36.96","8.41","0.83"
"NIFTY INDIA DEFENCE","19 Oct 2023","37.36","8.50","0.82"
"NIFTY INDIA DEFENCE","18 Oct 2023","37.43","8.52","0.82"
"NIFTY INDIA DEFENCE","17 Oct 2023","37.51","8.54","0.82"
"NIFTY INDIA DEFENCE","16 Oct 2023","37.40","8.51","0.82"
"NIFTY INDIA DEFENCE","13 Oct 2023","37.45","8.52","0.82"
"NIFTY INDIA DEFENCE","12 Oct 2023","37.48","8.53","0.82"
"NIFTY INDIA DEFENCE","11 Oct 2023","37.66","8.57","0.81"
"NIFTY INDIA DEFENCE","10 Oct 2023","37.46","8.53","0.82"
"NIFTY INDIA DEFENCE","09 Oct 2023","36.68","8.35","0.83"
"NIFTY INDIA DEFENCE","06 Oct 2023","37.38","8.51","0.82"
"NIFTY INDIA DEFENCE","05 Oct 2023","37.15","8.46","0.82"
"NIFTY INDIA DEFENCE","04 Oct 2023","36.72","8.36","0.83"
"NIFTY INDIA DEFENCE","03 Oct 2023","37.29","8.49","0.82"
"NIFTY INDIA DEFENCE","29 Sep 2023","36.95","8.41","0.83"
"NIFTY INDIA DEFENCE","28 Sep 2023","37.35","7.54","0.82"
"NIFTY INDIA DEFENCE","27 Sep 2023","37.76","7.62","0.81"
"NIFTY INDIA DEFENCE","26 Sep 2023","37.84","7.82","0.81"
"NIFTY INDIA DEFENCE","25 Sep 2023","36.97","7.64","0.83"
"NIFTY INDIA DEFENCE","22 Sep 2023","37.18","7.68","0.83"
"NIFTY INDIA DEFENCE","21 Sep 2023","37.42","7.73","0.81"
"NIFTY INDIA DEFENCE","20 Sep 2023","37.86","7.82","0.81"
"NIFTY INDIA DEFENCE","18 Sep 2023","38.09","7.87","0.78"
"NIFTY INDIA DEFENCE","15 Sep 2023","38.11","7.87","0.79"
"NIFTY INDIA DEFENCE","14 Sep 2023","37.67","7.78","0.80"
"NIFTY INDIA DEFENCE","13 Sep 2023","37.40","7.72","0.80"
"NIFTY INDIA DEFENCE","12 Sep 2023","37.34","7.71","0.80"
"NIFTY INDIA DEFENCE","11 Sep 2023","39.89","8.24","0.75"
"NIFTY INDIA DEFENCE","08 Sep 2023","39.58","8.17","0.76"
"NIFTY INDIA DEFENCE","07 Sep 2023","38.86","8.03","0.77"
"NIFTY INDIA DEFENCE","06 Sep 2023","37.71","7.79","0.79"
"NIFTY INDIA DEFENCE","05 Sep 2023","38.09","7.87","0.79"
"NIFTY INDIA DEFENCE","04 Sep 2023","38.14","7.88","0.79"
"NIFTY INDIA DEFENCE","01 Sep 2023","37.97","7.84","0.79"
"NIFTY INDIA DEFENCE","31 Aug 2023","37.29","7.75","0.80"
"NIFTY INDIA DEFENCE","30 Aug 2023","37.03","7.69","0.81"
"NIFTY INDIA DEFENCE","29 Aug 2023","36.88","7.66","0.81"
"NIFTY INDIA DEFENCE","28 Aug 2023","36.95","7.88","0.82"
"NIFTY INDIA DEFENCE","25 Aug 2023","36.43","7.96","0.83"
"NIFTY INDIA DEFENCE","24 Aug 2023","36.63","8.01","0.83"
"NIFTY INDIA DEFENCE","23 Aug 2023","36.53","8.04","0.76"
"NIFTY INDIA DEFENCE","22 Aug 2023","35.92","7.90","0.75"
"NIFTY INDIA DEFENCE","21 Aug 2023","35.42","8.18","0.77"
"NIFTY INDIA DEFENCE","18 Aug 2023","35.09","8.10","0.82"
"NIFTY INDIA DEFENCE","17 Aug 2023","35.65","8.23","0.81"
"NIFTY INDIA DEFENCE","16 Aug 2023","35.32","8.21","0.72"
"NIFTY INDIA DEFENCE","14 Aug 2023","35.32","7.97","0.75"
"NIFTY INDIA DEFENCE","11 Aug 2023","34.78","7.85","0.76"
"NIFTY INDIA DEFENCE","10 Aug 2023","34.99","7.89","0.77"
"NIFTY INDIA DEFENCE","09 Aug 2023","35.10","7.90","0.77"
"NIFTY INDIA DEFENCE","08 Aug 2023","34.63","7.79","0.78"
"NIFTY INDIA DEFENCE","07 Aug 2023","34.53","7.76","0.86"
"NIFTY INDIA DEFENCE","04 Aug 2023","34.65","7.77","0.86"
"NIFTY INDIA DEFENCE","03 Aug 2023","34.49","7.73","0.86"
"NIFTY INDIA DEFENCE","02 Aug 2023","34.52","7.74","0.86"
"NIFTY INDIA DEFENCE","01 Aug 2023","35.23","7.90","0.83"
"NIFTY INDIA DEFENCE","31 Jul 2023","35.41","7.94","0.82"
"NIFTY INDIA DEFENCE","28 Jul 2023","35.73","7.91","0.83"
"NIFTY INDIA DEFENCE","27 Jul 2023","35.23","7.80","0.84"
"NIFTY INDIA DEFENCE","26 Jul 2023","35.19","7.79","0.84"
"NIFTY INDIA DEFENCE","25 Jul 2023","35.08","7.77","0.84"
"NIFTY INDIA DEFENCE","24 Jul 2023","35.20","7.89","0.84"
"NIFTY INDIA DEFENCE","21 Jul 2023","34.99","7.85","0.84"
"NIFTY INDIA DEFENCE","20 Jul 2023","34.95","7.84","0.84"
"NIFTY INDIA DEFENCE","19 Jul 2023","34.68","7.78","0.85"
"NIFTY INDIA DEFENCE","18 Jul 2023","34.72","7.79","0.85"
"NIFTY INDIA DEFENCE","17 Jul 2023","34.67","7.78","0.85"
"NIFTY INDIA DEFENCE","14 Jul 2023","34.43","7.72","0.86"
"NIFTY INDIA DEFENCE","13 Jul 2023","34.67","7.78","0.85"
"NIFTY INDIA DEFENCE","12 Jul 2023","34.67","7.77","0.85"
"NIFTY INDIA DEFENCE","11 Jul 2023","34.35","7.70","0.86"
"NIFTY INDIA DEFENCE","10 Jul 2023","32.85","7.37","0.90"
"NIFTY INDIA DEFENCE","07 Jul 2023","32.82","7.36","0.90"
"NIFTY INDIA DEFENCE","06 Jul 2023","32.87","7.37","0.90"
"NIFTY INDIA DEFENCE","05 Jul 2023","32.71","7.34","0.90"
"NIFTY INDIA DEFENCE","04 Jul 2023","32.60","7.31","0.91"
"NIFTY INDIA DEFENCE","03 Jul 2023","32.89","7.38","0.90"
"NIFTY INDIA DEFENCE","30 Jun 2023","32.91","7.38","0.90"
"NIFTY INDIA DEFENCE","28 Jun 2023","32.31","7.25","0.92"
"NIFTY INDIA DEFENCE","27 Jun 2023","32.01","7.18","0.93"
"NIFTY INDIA DEFENCE","26 Jun 2023","32.21","7.23","0.92"
"NIFTY INDIA DEFENCE","23 Jun 2023","31.80","7.14","0.93"
"NIFTY INDIA DEFENCE","22 Jun 2023","32.82","7.37","0.90"
"NIFTY INDIA DEFENCE","21 Jun 2023","33.05","7.42","0.90"
"NIFTY INDIA DEFENCE","20 Jun 2023","33.31","7.48","0.89"
"NIFTY INDIA DEFENCE","19 Jun 2023","33.19","7.45","0.89"
"NIFTY INDIA DEFENCE","16 Jun 2023","32.73","7.35","0.91"
"NIFTY INDIA DEFENCE","15 Jun 2023","31.73","7.12","0.94"
"NIFTY INDIA DEFENCE","14 Jun 2023","31.55","7.08","0.94"
"NIFTY INDIA DEFENCE","13 Jun 2023","31.51","7.07","0.94"
"NIFTY INDIA DEFENCE","12 Jun 2023","31.62","7.10","0.94"
"NIFTY INDIA DEFENCE","09 Jun 2023","31.66","7.11","0.94"
"NIFTY INDIA DEFENCE","08 Jun 2023","31.09","6.98","0.92"
"NIFTY INDIA DEFENCE","07 Jun 2023","31.14","6.99","0.92"
"NIFTY INDIA DEFENCE","06 Jun 2023","31.06","6.97","0.92"
"NIFTY INDIA DEFENCE","05 Jun 2023","30.38","6.82","0.94"
"NIFTY INDIA DEFENCE","02 Jun 2023","29.36","6.59","0.98"
"NIFTY INDIA DEFENCE","01 Jun 2023","28.93","6.49","0.99"
"NIFTY INDIA DEFENCE","31 May 2023","29.30","6.49","0.99"
"NIFTY INDIA DEFENCE","30 May 2023","28.95","6.41","1.00"
"NIFTY INDIA DEFENCE","29 May 2023","28.75","6.36","1.01"
"NIFTY INDIA DEFENCE","26 May 2023","28.08","6.32","1.05"
"NIFTY INDIA DEFENCE","25 May 2023","27.95","6.29","1.06"
