"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA DIGITAL","30 Dec 2022","150.85","9.39","1.35"
"NIFTY INDIA DIGITAL","29 Dec 2022","176.70","9.10","1.47"
"NIFTY INDIA DIGITAL","28 Dec 2022","176.06","9.07","1.47"
"NIFTY INDIA DIGITAL","27 Dec 2022","176.19","9.07","1.47"
"NIFTY INDIA DIGITAL","26 Dec 2022","174.17","8.97","1.49"
"NIFTY INDIA DIGITAL","23 Dec 2022","170.82","8.80","1.52"
"NIFTY INDIA DIGITAL","22 Dec 2022","176.94","9.11","1.47"
"NIFTY INDIA DIGITAL","21 Dec 2022","178.25","9.18","1.46"
"NIFTY INDIA DIGITAL","20 Dec 2022","179.84","9.26","1.44"
"NIFTY INDIA DIGITAL","19 Dec 2022","180.23","9.28","1.44"
"NIFTY INDIA DIGITAL","16 Dec 2022","179.61","9.25","1.45"
"NIFTY INDIA DIGITAL","15 Dec 2022","181.62","9.35","1.43"
"NIFTY INDIA DIGITAL","14 Dec 2022","185.43","9.55","1.40"
"NIFTY INDIA DIGITAL","13 Dec 2022","183.90","9.47","1.41"
"NIFTY INDIA DIGITAL","12 Dec 2022","181.94","9.37","1.43"
"NIFTY INDIA DIGITAL","09 Dec 2022","182.00","9.37","1.43"
"NIFTY INDIA DIGITAL","08 Dec 2022","185.07","9.53","1.40"
"NIFTY INDIA DIGITAL","07 Dec 2022","184.82","9.52","1.40"
"NIFTY INDIA DIGITAL","06 Dec 2022","186.46","9.60","1.39"
"NIFTY INDIA DIGITAL","05 Dec 2022","188.97","9.73","1.37"
"NIFTY INDIA DIGITAL","02 Dec 2022","190.46","9.81","1.36"
"NIFTY INDIA DIGITAL","01 Dec 2022","189.10","9.74","1.37"
"NIFTY INDIA DIGITAL","30 Nov 2022","186.51","9.61","1.39"
"NIFTY INDIA DIGITAL","29 Nov 2022","185.05","9.53","1.40"
"NIFTY INDIA DIGITAL","28 Nov 2022","185.37","9.55","1.40"
"NIFTY INDIA DIGITAL","25 Nov 2022","185.34","9.55","1.40"
"NIFTY INDIA DIGITAL","24 Nov 2022","183.71","9.46","1.41"
"NIFTY INDIA DIGITAL","23 Nov 2022","180.99","9.32","1.43"
"NIFTY INDIA DIGITAL","22 Nov 2022","181.82","9.36","1.43"
"NIFTY INDIA DIGITAL","21 Nov 2022","182.14","9.38","1.43"
"NIFTY INDIA DIGITAL","18 Nov 2022","184.17","9.49","1.41"
"NIFTY INDIA DIGITAL","17 Nov 2022","184.28","9.49","1.39"
"NIFTY INDIA DIGITAL","16 Nov 2022","186.57","9.61","1.37"
"NIFTY INDIA DIGITAL","15 Nov 2022","190.24","9.65","1.37"
"NIFTY INDIA DIGITAL","14 Nov 2022","65.17","9.70","1.36"
"NIFTY INDIA DIGITAL","11 Nov 2022","65.87","9.65","1.37"
"NIFTY INDIA DIGITAL","10 Nov 2022","63.63","9.30","1.42"
"NIFTY INDIA DIGITAL","09 Nov 2022","63.90","9.36","1.41"
"NIFTY INDIA DIGITAL","07 Nov 2022","64.23","9.41","1.30"
"NIFTY INDIA DIGITAL","04 Nov 2022","62.09","9.34","1.31"
"NIFTY INDIA DIGITAL","03 Nov 2022","62.10","9.35","1.31"
"NIFTY INDIA DIGITAL","02 Nov 2022","62.56","9.42","1.30"
"NIFTY INDIA DIGITAL","01 Nov 2022","63.44","9.46","1.38"
"NIFTY INDIA DIGITAL","31 Oct 2022","62.66","9.34","1.39"
"NIFTY INDIA DIGITAL","28 Oct 2022","61.76","9.21","1.41"
"NIFTY INDIA DIGITAL","27 Oct 2022","62.40","9.30","1.40"
"NIFTY INDIA DIGITAL","25 Oct 2022","62.34","9.29","1.40"
"NIFTY INDIA DIGITAL","24 Oct 2022","62.16","9.26","1.40"
"NIFTY INDIA DIGITAL","21 Oct 2022","61.74","9.20","1.41"
"NIFTY INDIA DIGITAL","20 Oct 2022","62.03","9.24","1.49"
"NIFTY INDIA DIGITAL","19 Oct 2022","61.75","9.18","1.50"
"NIFTY INDIA DIGITAL","18 Oct 2022","62.83","9.23","1.41"
"NIFTY INDIA DIGITAL","17 Oct 2022","62.48","9.14","1.42"
"NIFTY INDIA DIGITAL","14 Oct 2022","62.72","9.15","1.40"
"NIFTY INDIA DIGITAL","13 Oct 2022","62.34","9.10","1.43"
"NIFTY INDIA DIGITAL","12 Oct 2022","63.19","9.19","1.41"
"NIFTY INDIA DIGITAL","11 Oct 2022","63.12","9.18","1.41"
"NIFTY INDIA DIGITAL","10 Oct 2022","64.44","9.38","1.38"
"NIFTY INDIA DIGITAL","07 Oct 2022","64.50","9.39","1.38"
"NIFTY INDIA DIGITAL","06 Oct 2022","64.32","9.36","1.39"
"NIFTY INDIA DIGITAL","04 Oct 2022","63.70","9.27","1.40"
"NIFTY INDIA DIGITAL","03 Oct 2022","62.27","9.06","1.43"
"NIFTY INDIA DIGITAL","30 Sep 2022","62.54","9.10","1.43"
"NIFTY INDIA DIGITAL","29 Sep 2022","79.20","10.75","1.42"
"NIFTY INDIA DIGITAL","28 Sep 2022","79.23","10.75","1.42"
"NIFTY INDIA DIGITAL","27 Sep 2022","79.28","10.76","1.42"
"NIFTY INDIA DIGITAL","26 Sep 2022","78.54","10.66","1.43"
"NIFTY INDIA DIGITAL","23 Sep 2022","79.73","10.82","1.41"
"NIFTY INDIA DIGITAL","22 Sep 2022","80.98","10.99","1.39"
"NIFTY INDIA DIGITAL","21 Sep 2022","81.11","11.01","1.38"
"NIFTY INDIA DIGITAL","20 Sep 2022","81.54","11.07","1.39"
"NIFTY INDIA DIGITAL","19 Sep 2022","80.84","10.97","1.40"
"NIFTY INDIA DIGITAL","16 Sep 2022","81.19","11.02","1.39"
"NIFTY INDIA DIGITAL","15 Sep 2022","83.46","11.33","1.36"
"NIFTY INDIA DIGITAL","14 Sep 2022","84.01","11.40","1.35"
"NIFTY INDIA DIGITAL","13 Sep 2022","85.77","11.64","1.32"
"NIFTY INDIA DIGITAL","12 Sep 2022","85.13","11.56","1.38"
"NIFTY INDIA DIGITAL","09 Sep 2022","84.45","11.46","1.39"
"NIFTY INDIA DIGITAL","08 Sep 2022","83.34","11.31","1.41"
"NIFTY INDIA DIGITAL","07 Sep 2022","82.63","11.22","1.42"
"NIFTY INDIA DIGITAL","06 Sep 2022","82.49","11.20","1.42"
"NIFTY INDIA DIGITAL","05 Sep 2022","82.70","11.23","1.42"
"NIFTY INDIA DIGITAL","02 Sep 2022","82.39","11.18","1.42"
"NIFTY INDIA DIGITAL","01 Sep 2022","82.74","11.23","1.42"
"NIFTY INDIA DIGITAL","30 Aug 2022","83.03","11.27","1.41"
"NIFTY INDIA DIGITAL","29 Aug 2022","81.25","8.58","1.44"
"NIFTY INDIA DIGITAL","26 Aug 2022","83.87","8.85","1.40"
"NIFTY INDIA DIGITAL","25 Aug 2022","83.89","8.86","1.40"
"NIFTY INDIA DIGITAL","24 Aug 2022","84.16","8.88","1.39"
"NIFTY INDIA DIGITAL","23 Aug 2022","83.75","8.84","1.40"
"NIFTY INDIA DIGITAL","22 Aug 2022","84.00","8.87","1.40"
"NIFTY INDIA DIGITAL","19 Aug 2022","85.71","9.05","1.37"
"NIFTY INDIA DIGITAL","18 Aug 2022","86.11","9.09","1.37"
"NIFTY INDIA DIGITAL","17 Aug 2022","85.91","9.69","1.34"
"NIFTY INDIA DIGITAL","16 Aug 2022","86.36","9.59","1.36"
"NIFTY INDIA DIGITAL","12 Aug 2022","85.94","9.53","1.37"
"NIFTY INDIA DIGITAL","11 Aug 2022","88.20","11.32","1.36"
"NIFTY INDIA DIGITAL","10 Aug 2022","89.27","11.35","1.38"
"NIFTY INDIA DIGITAL","08 Aug 2022","88.43","11.40","1.39"
"NIFTY INDIA DIGITAL","05 Aug 2022","88.25","11.38","1.39"
"NIFTY INDIA DIGITAL","04 Aug 2022","88.01","11.32","1.39"
"NIFTY INDIA DIGITAL","03 Aug 2022","87.53","11.26","1.40"
"NIFTY INDIA DIGITAL","02 Aug 2022","88.20","11.21","1.40"
"NIFTY INDIA DIGITAL","01 Aug 2022","87.33","11.10","1.42"
"NIFTY INDIA DIGITAL","29 Jul 2022","86.42","10.98","1.40"
"NIFTY INDIA DIGITAL","28 Jul 2022","84.64","10.76","1.43"
"NIFTY INDIA DIGITAL","27 Jul 2022","83.33","10.59","1.46"
"NIFTY INDIA DIGITAL","26 Jul 2022","81.95","10.50","1.52"
"NIFTY INDIA DIGITAL","25 Jul 2022","84.79","10.78","1.48"
"NIFTY INDIA DIGITAL","22 Jul 2022","84.79","10.86","1.64"
"NIFTY INDIA DIGITAL","21 Jul 2022","86.97","10.90","1.64"
"NIFTY INDIA DIGITAL","20 Jul 2022","85.91","10.76","1.48"
"NIFTY INDIA DIGITAL","19 Jul 2022","84.75","10.62","1.50"
"NIFTY INDIA DIGITAL","18 Jul 2022","84.24","10.56","1.43"
"NIFTY INDIA DIGITAL","15 Jul 2022","82.26","10.31","1.46"
"NIFTY INDIA DIGITAL","14 Jul 2022","82.90","10.32","1.48"
"NIFTY INDIA DIGITAL","13 Jul 2022","84.42","10.47","1.44"
"NIFTY INDIA DIGITAL","12 Jul 2022","84.78","10.50","1.44"
"NIFTY INDIA DIGITAL","11 Jul 2022","85.35","10.57","1.43"
"NIFTY INDIA DIGITAL","08 Jul 2022","86.77","10.78","1.40"
"NIFTY INDIA DIGITAL","07 Jul 2022","86.56","11.38","1.41"
"NIFTY INDIA DIGITAL","06 Jul 2022","85.92","11.30","1.41"
"NIFTY INDIA DIGITAL","05 Jul 2022","84.88","11.16","1.43"
"NIFTY INDIA DIGITAL","04 Jul 2022","85.15","11.20","1.39"
"NIFTY INDIA DIGITAL","01 Jul 2022","85.38","11.23","1.38"
"NIFTY INDIA DIGITAL","30 Jun 2022","85.07","11.19","1.40"
