"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","29 May 2026","29.38","4.59",".76"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 May 2026","29.74","4.65",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","26 May 2026","29.25","4.57",".76"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","25 May 2026","29.36","4.57",".76"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","22 May 2026","28.98","4.53",".77"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","21 May 2026","29.09","4.53",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 May 2026","28.83","4.49",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","19 May 2026","28.64","4.46",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","18 May 2026","33.51","4.46",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","15 May 2026","33.66","4.48",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","14 May 2026","34.14","4.51",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","13 May 2026","33.77","4.46",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12 May 2026","33.44","4.42",".76"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11 May 2026","34.54","4.52",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","08 May 2026","35.24","4.61",".71"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","07 May 2026","35.4","4.63",".71"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","06 May 2026","35.09","4.59",".72"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","05 May 2026","34.95","4.54",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","04 May 2026","34.95","4.54",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","30 Apr 2026","34.77","4.49",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","29 Apr 2026","35.07","4.53",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","28 Apr 2026","35.06","4.53",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 Apr 2026","35.16","4.52",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","24 Apr 2026","34.71","4.46",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","23 Apr 2026","34.88","4.5",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","22 Apr 2026","35.01","4.51",".73"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","21 Apr 2026","34.69","4.47",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 Apr 2026","34.48","4.45",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","17 Apr 2026","34.37","4.43",".74"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","16 Apr 2026","33.91","4.39",".75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","15 Apr 2026","33.62","4.35",".76"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","13 Apr 2026","32.87","4.25",".78"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","10 Apr 2026","32.98","4.27",".78"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","09 Apr 2026","32.37","4.19",".79"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","08 Apr 2026","32.33","4.18",".79"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","07 Apr 2026","30.92","4",".83"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","06 Apr 2026","30.84","3.99",".83"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","02 Apr 2026","30.37","3.93",".84"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","01 Apr 2026","30.41","3.93",".84"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","30 Mar 2026","29.66","3.84",".86"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 Mar 2026","29.15","3.74",".9"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","25 Mar 2026","29.73","3.81",".88"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","24 Mar 2026","29.13","3.73",".9"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","23 Mar 2026","28.55","3.66",".92"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 Mar 2026","29.72","3.81",".89"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","19 Mar 2026","29.59","3.79",".89"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","18 Mar 2026","30.46","3.9",".87"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","17 Mar 2026","30.05","3.85",".88"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","16 Mar 2026","29.73","3.81",".89"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","13 Mar 2026","29.77","3.81",".89"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12 Mar 2026","30.6","3.92",".86"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11 Mar 2026","30.52","3.91",".86"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","10 Mar 2026","30.75","3.94",".88"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","09 Mar 2026","30.29","3.88",".89"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","06 Mar 2026","31.01","3.97",".87"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","05 Mar 2026","31.12","3.99",".84"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","04 Mar 2026","30.44","3.9",".86"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","02 Mar 2026","31.27","4.01",".84"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 Feb 2026","31.85","4.08",".82"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","26 Feb 2026","32.21","4.13",".81"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","25 Feb 2026","32.13","4.12",".81"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","24 Feb 2026","32.08","4.12",".81"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","23 Feb 2026","32.19","4.13",".81"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 Feb 2026","32.12","4.11",".82"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","19 Feb 2026","31.82","4.07",".82"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","18 Feb 2026","32.48","4.15",".81"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","17 Feb 2026","32.33","4.13",".8"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","16 Feb 2026","31.54","4.11",".8"
