"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA MANUFACTURING","30 Dec 2022","21.76","3.90","1.67"
"NIFTY INDIA MANUFACTURING","29 Dec 2022","21.78","3.92","1.66"
"NIFTY INDIA MANUFACTURING","28 Dec 2022","21.76","3.91","1.67"
"NIFTY INDIA MANUFACTURING","27 Dec 2022","21.75","3.91","1.67"
"NIFTY INDIA MANUFACTURING","26 Dec 2022","21.49","3.87","1.69"
"NIFTY INDIA MANUFACTURING","23 Dec 2022","21.23","3.82","1.71"
"NIFTY INDIA MANUFACTURING","22 Dec 2022","21.80","3.92","1.66"
"NIFTY INDIA MANUFACTURING","21 Dec 2022","22.00","3.96","1.65"
"NIFTY INDIA MANUFACTURING","20 Dec 2022","22.16","3.99","1.64"
"NIFTY INDIA MANUFACTURING","19 Dec 2022","22.23","4.00","1.63"
"NIFTY INDIA MANUFACTURING","16 Dec 2022","22.05","3.97","1.72"
"NIFTY INDIA MANUFACTURING","15 Dec 2022","22.35","4.02","1.70"
"NIFTY INDIA MANUFACTURING","14 Dec 2022","22.59","4.06","1.68"
"NIFTY INDIA MANUFACTURING","13 Dec 2022","22.42","4.03","1.72"
"NIFTY INDIA MANUFACTURING","12 Dec 2022","22.37","4.03","1.72"
"NIFTY INDIA MANUFACTURING","09 Dec 2022","22.35","4.02","1.72"
"NIFTY INDIA MANUFACTURING","08 Dec 2022","22.44","4.04","1.71"
"NIFTY INDIA MANUFACTURING","07 Dec 2022","22.41","4.03","1.72"
"NIFTY INDIA MANUFACTURING","06 Dec 2022","22.55","4.06","1.71"
"NIFTY INDIA MANUFACTURING","05 Dec 2022","22.74","4.09","1.69"
"NIFTY INDIA MANUFACTURING","02 Dec 2022","22.67","4.08","1.70"
"NIFTY INDIA MANUFACTURING","01 Dec 2022","22.66","4.08","1.70"
"NIFTY INDIA MANUFACTURING","30 Nov 2022","22.58","4.06","1.70"
"NIFTY INDIA MANUFACTURING","29 Nov 2022","22.35","4.02","1.72"
"NIFTY INDIA MANUFACTURING","28 Nov 2022","22.34","4.02","1.62"
"NIFTY INDIA MANUFACTURING","25 Nov 2022","22.25","4.00","1.63"
"NIFTY INDIA MANUFACTURING","24 Nov 2022","22.11","3.98","1.64"
"NIFTY INDIA MANUFACTURING","23 Nov 2022","22.02","3.96","1.65"
"NIFTY INDIA MANUFACTURING","22 Nov 2022","21.97","3.95","1.64"
"NIFTY INDIA MANUFACTURING","21 Nov 2022","21.86","3.93","1.65"
"NIFTY INDIA MANUFACTURING","18 Nov 2022","21.94","3.95","1.64"
"NIFTY INDIA MANUFACTURING","17 Nov 2022","22.15","3.98","1.62"
"NIFTY INDIA MANUFACTURING","16 Nov 2022","22.29","4.00","1.61"
"NIFTY INDIA MANUFACTURING","15 Nov 2022","22.38","4.02","1.61"
"NIFTY INDIA MANUFACTURING","14 Nov 2022","22.17","4.01","1.61"
"NIFTY INDIA MANUFACTURING","11 Nov 2022","22.74","4.01","1.61"
"NIFTY INDIA MANUFACTURING","10 Nov 2022","22.62","3.98","1.71"
"NIFTY INDIA MANUFACTURING","09 Nov 2022","22.45","4.02","1.69"
"NIFTY INDIA MANUFACTURING","07 Nov 2022","22.60","4.05","1.68"
"NIFTY INDIA MANUFACTURING","04 Nov 2022","22.56","4.04","1.68"
"NIFTY INDIA MANUFACTURING","03 Nov 2022","22.51","4.02","1.69"
"NIFTY INDIA MANUFACTURING","02 Nov 2022","22.55","4.03","1.68"
"NIFTY INDIA MANUFACTURING","01 Nov 2022","22.55","4.03","1.68"
"NIFTY INDIA MANUFACTURING","31 Oct 2022","20.10","4.00","1.70"
"NIFTY INDIA MANUFACTURING","28 Oct 2022","19.91","3.95","1.72"
"NIFTY INDIA MANUFACTURING","27 Oct 2022","19.95","3.96","1.72"
"NIFTY INDIA MANUFACTURING","25 Oct 2022","19.76","3.92","1.74"
"NIFTY INDIA MANUFACTURING","24 Oct 2022","19.11","3.91","1.75"
"NIFTY INDIA MANUFACTURING","21 Oct 2022","18.99","3.89","1.76"
"NIFTY INDIA MANUFACTURING","20 Oct 2022","19.17","3.92","1.74"
"NIFTY INDIA MANUFACTURING","19 Oct 2022","19.10","3.91","1.75"
"NIFTY INDIA MANUFACTURING","18 Oct 2022","19.14","3.92","1.74"
"NIFTY INDIA MANUFACTURING","17 Oct 2022","18.91","3.88","1.76"
"NIFTY INDIA MANUFACTURING","14 Oct 2022","18.86","3.87","1.77"
"NIFTY INDIA MANUFACTURING","13 Oct 2022","18.88","3.87","1.77"
"NIFTY INDIA MANUFACTURING","12 Oct 2022","18.95","3.88","1.76"
"NIFTY INDIA MANUFACTURING","11 Oct 2022","18.83","3.86","1.77"
"NIFTY INDIA MANUFACTURING","10 Oct 2022","19.19","3.93","1.74"
"NIFTY INDIA MANUFACTURING","07 Oct 2022","19.34","3.96","1.72"
"NIFTY INDIA MANUFACTURING","06 Oct 2022","19.35","3.97","1.72"
"NIFTY INDIA MANUFACTURING","04 Oct 2022","19.14","3.92","1.74"
"NIFTY INDIA MANUFACTURING","03 Oct 2022","18.78","3.85","1.78"
