"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA TOURISM","12 Jun 2026","74.77","9.04",".36"
"NIFTY INDIA TOURISM","11 Jun 2026","72.41","8.75",".37"
"NIFTY INDIA TOURISM","10 Jun 2026","73.17","8.84",".36"
"NIFTY INDIA TOURISM","09 Jun 2026","73.57","8.89",".36"
"NIFTY INDIA TOURISM","08 Jun 2026","72.1","9.19",".37"
"NIFTY INDIA TOURISM","05 Jun 2026","73.57","9.38",".36"
"NIFTY INDIA TOURISM","04 Jun 2026","73.91","9.42",".36"
"NIFTY INDIA TOURISM","03 Jun 2026","73.06","9.32",".36"
"NIFTY INDIA TOURISM","02 Jun 2026","72.98","9.3",".36"
"NIFTY INDIA TOURISM","01 Jun 2026","48.99","9.23",".37"
"NIFTY INDIA TOURISM","29 May 2026","51.95","9.31",".36"
"NIFTY INDIA TOURISM","27 May 2026","52.71","9.44",".36"
"NIFTY INDIA TOURISM","26 May 2026","52.26","9.36",".36"
"NIFTY INDIA TOURISM","25 May 2026","52.59","9.42",".36"
"NIFTY INDIA TOURISM","22 May 2026","51.88","9.29",".37"
"NIFTY INDIA TOURISM","21 May 2026","52.44","9.31",".36"
"NIFTY INDIA TOURISM","20 May 2026","52.27","9.27",".31"
"NIFTY INDIA TOURISM","19 May 2026","52.18","9.26",".31"
"NIFTY INDIA TOURISM","18 May 2026","53.38","9.21",".31"
"NIFTY INDIA TOURISM","15 May 2026","53.94","9.31",".31"
"NIFTY INDIA TOURISM","14 May 2026","53.76","9.28",".31"
"NIFTY INDIA TOURISM","13 May 2026","53.35","9.21",".31"
"NIFTY INDIA TOURISM","12 May 2026","52.81","9.11",".32"
"NIFTY INDIA TOURISM","11 May 2026","55.18","9.43",".31"
"NIFTY INDIA TOURISM","08 May 2026","56.85","9.71",".3"
"NIFTY INDIA TOURISM","07 May 2026","56.89","9.72",".3"
"NIFTY INDIA TOURISM","06 May 2026","56.79","9.7",".3"
"NIFTY INDIA TOURISM","05 May 2026","55.12","9.42",".31"
"NIFTY INDIA TOURISM","04 May 2026","55.44","9.47",".31"
"NIFTY INDIA TOURISM","30 Apr 2026","54.95","9.39",".31"
"NIFTY INDIA TOURISM","29 Apr 2026","55.53","9.48",".31"
"NIFTY INDIA TOURISM","28 Apr 2026","55.53","9.48",".31"
"NIFTY INDIA TOURISM","27 Apr 2026","55.75","9.52",".3"
"NIFTY INDIA TOURISM","24 Apr 2026","55.12","9.41",".31"
"NIFTY INDIA TOURISM","23 Apr 2026","55.78","9.53",".3"
"NIFTY INDIA TOURISM","22 Apr 2026","56.78","9.7",".3"
"NIFTY INDIA TOURISM","21 Apr 2026","56.82","9.7",".3"
"NIFTY INDIA TOURISM","20 Apr 2026","56.22","9.6",".3"
"NIFTY INDIA TOURISM","17 Apr 2026","56.07","9.58",".3"
"NIFTY INDIA TOURISM","16 Apr 2026","55.74","9.52",".3"
"NIFTY INDIA TOURISM","15 Apr 2026","55.85","9.54",".3"
"NIFTY INDIA TOURISM","13 Apr 2026","54","9.22",".31"
"NIFTY INDIA TOURISM","10 Apr 2026","54.67","9.34",".31"
"NIFTY INDIA TOURISM","09 Apr 2026","53.57","9.15",".32"
"NIFTY INDIA TOURISM","08 Apr 2026","54.48","9.3",".31"
"NIFTY INDIA TOURISM","07 Apr 2026","51.54","8.8",".33"
"NIFTY INDIA TOURISM","06 Apr 2026","52.17","8.91",".32"
"NIFTY INDIA TOURISM","02 Apr 2026","51.07","8.72",".33"
"NIFTY INDIA TOURISM","01 Apr 2026","50.97","8.7",".33"
"NIFTY INDIA TOURISM","30 Mar 2026","48.88","8.35",".35"
"NIFTY INDIA TOURISM","27 Mar 2026","50.95","8",".34"
"NIFTY INDIA TOURISM","25 Mar 2026","52.62","8.27",".32"
"NIFTY INDIA TOURISM","24 Mar 2026","51.51","8.09",".33"
"NIFTY INDIA TOURISM","23 Mar 2026","49.6","7.79",".34"
"NIFTY INDIA TOURISM","20 Mar 2026","52.08","8.18",".33"
"NIFTY INDIA TOURISM","19 Mar 2026","52.15","8.19",".33"
"NIFTY INDIA TOURISM","18 Mar 2026","54.21","8.52",".32"
"NIFTY INDIA TOURISM","17 Mar 2026","52.97","8.32",".32"
"NIFTY INDIA TOURISM","16 Mar 2026","52.76","8.29",".32"
"NIFTY INDIA TOURISM","13 Mar 2026","52.37","8.23",".33"
"NIFTY INDIA TOURISM","12 Mar 2026","53.88","8.46",".32"
"NIFTY INDIA TOURISM","11 Mar 2026","54.25","8.52",".31"
"NIFTY INDIA TOURISM","10 Mar 2026","54.78","8.61",".31"
"NIFTY INDIA TOURISM","09 Mar 2026","53.72","8.44",".32"
