"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INFRASTRUCTURE","31 Dec 2019","24.14","2.38","1.89"
"NIFTY INFRASTRUCTURE","30 Dec 2019","24.26","2.39","1.88"
"NIFTY INFRASTRUCTURE","27 Dec 2019","24.19","2.38","1.89"
"NIFTY INFRASTRUCTURE","26 Dec 2019","24.15","2.38","1.86"
"NIFTY INFRASTRUCTURE","24 Dec 2019","24.40","2.40","1.84"
"NIFTY INFRASTRUCTURE","23 Dec 2019","24.54","2.42","1.83"
"NIFTY INFRASTRUCTURE","20 Dec 2019","24.64","2.43","1.83"
"NIFTY INFRASTRUCTURE","19 Dec 2019","24.63","2.43","1.83"
"NIFTY INFRASTRUCTURE","18 Dec 2019","24.48","2.41","1.84"
"NIFTY INFRASTRUCTURE","17 Dec 2019","24.52","2.42","1.84"
"NIFTY INFRASTRUCTURE","16 Dec 2019","24.33","2.40","1.85"
"NIFTY INFRASTRUCTURE","13 Dec 2019","24.47","2.41","1.84"
"NIFTY INFRASTRUCTURE","12 Dec 2019","24.27","2.39","1.85"
"NIFTY INFRASTRUCTURE","11 Dec 2019","24.13","2.38","1.86"
"NIFTY INFRASTRUCTURE","10 Dec 2019","24.07","2.38","1.87"
"NIFTY INFRASTRUCTURE","09 Dec 2019","24.32","2.40","1.85"
"NIFTY INFRASTRUCTURE","06 Dec 2019","24.25","2.39","1.85"
"NIFTY INFRASTRUCTURE","05 Dec 2019","24.39","2.41","1.84"
"NIFTY INFRASTRUCTURE","04 Dec 2019","24.53","2.42","1.83"
"NIFTY INFRASTRUCTURE","03 Dec 2019","24.66","2.43","1.82"
"NIFTY INFRASTRUCTURE","02 Dec 2019","24.97","2.46","1.80"
"NIFTY INFRASTRUCTURE","29 Nov 2019","24.89","2.46","1.81"
"NIFTY INFRASTRUCTURE","28 Nov 2019","25.02","2.47","1.80"
"NIFTY INFRASTRUCTURE","27 Nov 2019","24.80","2.45","1.81"
"NIFTY INFRASTRUCTURE","26 Nov 2019","24.75","2.44","1.82"
"NIFTY INFRASTRUCTURE","25 Nov 2019","25.05","2.47","1.79"
"NIFTY INFRASTRUCTURE","22 Nov 2019","24.73","2.44","1.82"
"NIFTY INFRASTRUCTURE","21 Nov 2019","24.73","2.44","1.82"
"NIFTY INFRASTRUCTURE","20 Nov 2019","21.00","2.46","1.80"
"NIFTY INFRASTRUCTURE","19 Nov 2019","20.98","2.44","1.82"
"NIFTY INFRASTRUCTURE","18 Nov 2019","20.66","2.40","1.85"
"NIFTY INFRASTRUCTURE","15 Nov 2019","20.59","2.39","1.85"
