"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY IT","12 Jun 2026","18.8","5.09","3.25"
"NIFTY IT","11 Jun 2026","18.82","5.1","3.25"
"NIFTY IT","10 Jun 2026","19.13","5.18","3.2"
"NIFTY IT","09 Jun 2026","19.41","5.26","3.15"
"NIFTY IT","08 Jun 2026","19.5","5.23","3.14"
"NIFTY IT","05 Jun 2026","19.74","5.29","3.1"
"NIFTY IT","04 Jun 2026","19.94","5.35","3.07"
"NIFTY IT","03 Jun 2026","20","5.36","3.32"
"NIFTY IT","02 Jun 2026","21.18","5.68","3.13"
"NIFTY IT","01 Jun 2026","20.32","5.45","3.27"
"NIFTY IT","29 May 2026","19.79","5.4","3.88"
"NIFTY IT","27 May 2026","19.67","5.37","3.9"
"NIFTY IT","26 May 2026","19.72","5.38","3.89"
"NIFTY IT","25 May 2026","19.72","5.38","3.89"
"NIFTY IT","22 May 2026","19.68","5.37","3.62"
"NIFTY IT","21 May 2026","19.75","5.39","3.61"
"NIFTY IT","20 May 2026","19.86","5.42","3.59"
"NIFTY IT","19 May 2026","19.95","5.44","3.57"
"NIFTY IT","18 May 2026","19.32","5.27","3.69"
"NIFTY IT","15 May 2026","18.86","5.15","3.78"
"NIFTY IT","14 May 2026","18.58","5.07","3.83"
"NIFTY IT","13 May 2026","18.96","5.17","3.76"
"NIFTY IT","12 May 2026","19.18","5.23","3.71"
"NIFTY IT","11 May 2026","19.92","5.43","3.57"
"NIFTY IT","08 May 2026","19.96","5.45","3.58"
"NIFTY IT","07 May 2026","19.73","5.38","3.7"
"NIFTY IT","06 May 2026","20.07","5.43","3.67"
"NIFTY IT","05 May 2026","19.96","5.4","3.69"
"NIFTY IT","04 May 2026","19.94","5.39","3.7"
"NIFTY IT","30 Apr 2026","20.15","5.44","3.66"
"NIFTY IT","29 Apr 2026","20.07","5.42","3.67"
"NIFTY IT","28 Apr 2026","19.88","5.37","3.71"
"NIFTY IT","27 Apr 2026","20.05","5.41","3.85"
"NIFTY IT","24 Apr 2026","19.96","5.29","3.93"
"NIFTY IT","23 Apr 2026","21.18","5.59","3.51"
"NIFTY IT","22 Apr 2026","21.51","5.66","3.47"
"NIFTY IT","21 Apr 2026","22.38","5.88","3.34"
"NIFTY IT","20 Apr 2026","22.28","5.86","3.35"
"NIFTY IT","17 Apr 2026","22.43","5.9","3.33"
"NIFTY IT","16 Apr 2026","22.43","5.9","3.33"
"NIFTY IT","15 Apr 2026","22.24","5.85","3.36"
"NIFTY IT","13 Apr 2026","21.63","5.69","3.45"
"NIFTY IT","10 Apr 2026","22.04","5.75","3.41"
"NIFTY IT","09 Apr 2026","22.47","5.87","3.35"
"NIFTY IT","08 Apr 2026","22.42","5.85","3.35"
"NIFTY IT","07 Apr 2026","22.31","5.82","3.37"
"NIFTY IT","06 Apr 2026","21.76","5.68","3.46"
"NIFTY IT","02 Apr 2026","21.62","5.65","3.48"
"NIFTY IT","01 Apr 2026","21.08","5.5","3.57"
"NIFTY IT","30 Mar 2026","20.64","5.39","3.64"
"NIFTY IT","27 Mar 2026","20.99","5.48","3.59"
"NIFTY IT","25 Mar 2026","21.08","5.5","3.57"
"NIFTY IT","24 Mar 2026","21.07","5.5","3.57"
"NIFTY IT","23 Mar 2026","20.71","5.41","3.63"
"NIFTY IT","20 Mar 2026","20.75","5.42","3.63"
"NIFTY IT","19 Mar 2026","20.31","5.3","3.71"
