"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY LARGEMIDCAP 250","31 Dec 2024","29.48","4.34","1"
"NIFTY LARGEMIDCAP 250","30 Dec 2024","29.41","4.33","1"
"NIFTY LARGEMIDCAP 250","27 Dec 2024","29.46","4.33","1"
"NIFTY LARGEMIDCAP 250","26 Dec 2024","29.47","4.34","1.01"
"NIFTY LARGEMIDCAP 250","24 Dec 2024","29.43","4.33","1.01"
"NIFTY LARGEMIDCAP 250","23 Dec 2024","29.45","4.33","1"
"NIFTY LARGEMIDCAP 250","20 Dec 2024","29.34","4.32","1.01"
"NIFTY LARGEMIDCAP 250","19 Dec 2024","29.97","4.41",".99"
"NIFTY LARGEMIDCAP 250","18 Dec 2024","30.15","4.44",".98"
"NIFTY LARGEMIDCAP 250","17 Dec 2024","30.35","4.47",".97"
"NIFTY LARGEMIDCAP 250","16 Dec 2024","30.65","4.51",".97"
"NIFTY LARGEMIDCAP 250","13 Dec 2024","30.59","4.5",".97"
"NIFTY LARGEMIDCAP 250","12 Dec 2024","30.5","4.49",".97"
"NIFTY LARGEMIDCAP 250","11 Dec 2024","30.63","4.51",".98"
"NIFTY LARGEMIDCAP 250","10 Dec 2024","30.56","4.5",".98"
"NIFTY LARGEMIDCAP 250","09 Dec 2024","30.51","4.49",".98"
"NIFTY LARGEMIDCAP 250","06 Dec 2024","30.49","4.49",".98"
"NIFTY LARGEMIDCAP 250","05 Dec 2024","30.42","4.48",".98"
"NIFTY LARGEMIDCAP 250","04 Dec 2024","30.22","4.45",".99"
"NIFTY LARGEMIDCAP 250","03 Dec 2024","30.07","4.42",".99"
"NIFTY LARGEMIDCAP 250","02 Dec 2024","29.82","4.39","1"
"NIFTY LARGEMIDCAP 250","29 Nov 2024","29.59","4.35","1.01"
"NIFTY LARGEMIDCAP 250","28 Nov 2024","29.42","4.33","1.02"
"NIFTY LARGEMIDCAP 250","27 Nov 2024","29.58","4.36","1.01"
"NIFTY LARGEMIDCAP 250","26 Nov 2024","29.43","4.36","1.01"
"NIFTY LARGEMIDCAP 250","25 Nov 2024","29.43","4.36",".99"
"NIFTY LARGEMIDCAP 250","22 Nov 2024","29.01","4.3","1.01"
"NIFTY LARGEMIDCAP 250","21 Nov 2024","28.54","4.23","1.03"
"NIFTY LARGEMIDCAP 250","19 Nov 2024","28.74","4.26","1.05"
"NIFTY LARGEMIDCAP 250","18 Nov 2024","28.63","4.23","1.04"
"NIFTY LARGEMIDCAP 250","14 Nov 2024","28.75","4.24","1.05"
"NIFTY LARGEMIDCAP 250","13 Nov 2024","28.68","4.23","1.04"
"NIFTY LARGEMIDCAP 250","12 Nov 2024","29.27","4.32","1.02"
"NIFTY LARGEMIDCAP 250","11 Nov 2024","29.73","4.36","1"
"NIFTY LARGEMIDCAP 250","08 Nov 2024","29.92","4.38","1.02"
"NIFTY LARGEMIDCAP 250","07 Nov 2024","30.34","4.42","1"
"NIFTY LARGEMIDCAP 250","06 Nov 2024","30.67","4.46",".99"
"NIFTY LARGEMIDCAP 250","05 Nov 2024","30.14","4.38","1"
"NIFTY LARGEMIDCAP 250","04 Nov 2024","29.96","4.35",".99"
"NIFTY LARGEMIDCAP 250","01 Nov 2024","30.34","4.41",".99"
"NIFTY LARGEMIDCAP 250","31 Oct 2024","30.16","4.38","1"
"NIFTY LARGEMIDCAP 250","30 Oct 2024","30.4","4.4",".99"
"NIFTY LARGEMIDCAP 250","29 Oct 2024","30.43","4.41",".98"
"NIFTY LARGEMIDCAP 250","28 Oct 2024","29.65","4.38",".96"
"NIFTY LARGEMIDCAP 250","25 Oct 2024","29.48","4.35",".97"
"NIFTY LARGEMIDCAP 250","24 Oct 2024","29.94","4.41",".98"
"NIFTY LARGEMIDCAP 250","23 Oct 2024","30.17","4.42",".98"
"NIFTY LARGEMIDCAP 250","22 Oct 2024","30.11","4.41",".98"
"NIFTY LARGEMIDCAP 250","21 Oct 2024","30.81","4.5",".95"
"NIFTY LARGEMIDCAP 250","18 Oct 2024","31.15","4.55",".95"
"NIFTY LARGEMIDCAP 250","17 Oct 2024","31.06","4.53",".95"
"NIFTY LARGEMIDCAP 250","16 Oct 2024","31.51","4.6",".94"
"NIFTY LARGEMIDCAP 250","15 Oct 2024","31.6","4.61",".94"
"NIFTY LARGEMIDCAP 250","14 Oct 2024","31.59","4.61",".94"
"NIFTY LARGEMIDCAP 250","11 Oct 2024","31.45","4.59",".94"
"NIFTY LARGEMIDCAP 250","10 Oct 2024","31.39","4.58",".94"
"NIFTY LARGEMIDCAP 250","09 Oct 2024","31.47","4.6",".94"
"NIFTY LARGEMIDCAP 250","08 Oct 2024","31.29","4.58",".95"
"NIFTY LARGEMIDCAP 250","07 Oct 2024","30.8","4.5",".96"
"NIFTY LARGEMIDCAP 250","04 Oct 2024","31.3","4.58",".95"
"NIFTY LARGEMIDCAP 250","03 Oct 2024","31.59","4.62",".94"
"NIFTY LARGEMIDCAP 250","01 Oct 2024","32.29","4.72",".92"
"NIFTY LARGEMIDCAP 250","30 Sep 2024","32.24","4.72",".92"
"NIFTY LARGEMIDCAP 250","27 Sep 2024","32.37","4.59",".92"
"NIFTY LARGEMIDCAP 250","26 Sep 2024","32.37","4.59",".92"
"NIFTY LARGEMIDCAP 250","25 Sep 2024","32.24","4.57",".92"
"NIFTY LARGEMIDCAP 250","24 Sep 2024","32.33","4.59",".92"
"NIFTY LARGEMIDCAP 250","23 Sep 2024","32.27","4.58",".92"
"NIFTY LARGEMIDCAP 250","20 Sep 2024","32.03","4.7",".92"
"NIFTY LARGEMIDCAP 250","19 Sep 2024","31.59","4.74",".94"
"NIFTY LARGEMIDCAP 250","18 Sep 2024","31.67","4.75",".93"
"NIFTY LARGEMIDCAP 250","17 Sep 2024","31.81","4.78",".93"
"NIFTY LARGEMIDCAP 250","16 Sep 2024","31.82","4.81",".93"
"NIFTY LARGEMIDCAP 250","13 Sep 2024","31.75","4.79",".93"
