"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY MEDIA","29 May 2026","34.39","1.48","1.25"
"NIFTY MEDIA","27 May 2026","34.6","1.49","1.24"
"NIFTY MEDIA","26 May 2026","33.58","1.45","1.28"
"NIFTY MEDIA","25 May 2026","32.62","1.45","1.27"
"NIFTY MEDIA","22 May 2026","32.53","1.45","1.28"
"NIFTY MEDIA","21 May 2026","33.02","1.47","1.26"
"NIFTY MEDIA","20 May 2026","26.59","1.48","1.25"
"NIFTY MEDIA","19 May 2026","26.98","1.5","1.23"
"NIFTY MEDIA","18 May 2026","26.67","1.48","1.25"
"NIFTY MEDIA","15 May 2026","27.38","1.51","1.22"
"NIFTY MEDIA","14 May 2026","27.35","1.48","1.25"
"NIFTY MEDIA","13 May 2026","27.1","1.47","1.26"
"NIFTY MEDIA","12 May 2026","27.12","1.47","1.26"
"NIFTY MEDIA","11 May 2026","30.17","1.51","1.22"
"NIFTY MEDIA","08 May 2026","30.94","1.55","1.19"
"NIFTY MEDIA","07 May 2026","30.92","1.55","1.19"
"NIFTY MEDIA","06 May 2026","30.85","1.55","1.19"
"NIFTY MEDIA","05 May 2026","30.44","1.53","1.21"
"NIFTY MEDIA","04 May 2026","30.41","1.53","1.21"
"NIFTY MEDIA","30 Apr 2026","30.58","1.54","1.2"
"NIFTY MEDIA","29 Apr 2026","30.74","1.54","1.2"
"NIFTY MEDIA","28 Apr 2026","30.89","1.55","1.19"
"NIFTY MEDIA","27 Apr 2026","30.91","1.55","1.19"
"NIFTY MEDIA","24 Apr 2026","30.46","1.52","1.22"
"NIFTY MEDIA","23 Apr 2026","31.04","1.55","1.2"
"NIFTY MEDIA","22 Apr 2026","30.76","1.53","1.21"
"NIFTY MEDIA","21 Apr 2026","30.55","1.52","1.22"
"NIFTY MEDIA","20 Apr 2026","30.12","1.51","1.23"
"NIFTY MEDIA","17 Apr 2026","29.85","1.49","1.24"
"NIFTY MEDIA","16 Apr 2026","29.46","1.47","1.25"
"NIFTY MEDIA","15 Apr 2026","29.28","1.47","1.26"
"NIFTY MEDIA","13 Apr 2026","28.67","1.43","1.29"
"NIFTY MEDIA","10 Apr 2026","28.77","1.44","1.28"
"NIFTY MEDIA","09 Apr 2026","28.21","1.41","1.31"
"NIFTY MEDIA","08 Apr 2026","28.44","1.42","1.3"
"NIFTY MEDIA","07 Apr 2026","27.62","1.38","1.34"
"NIFTY MEDIA","06 Apr 2026","27.4","1.37","1.35"
"NIFTY MEDIA","02 Apr 2026","27.46","1.37","1.35"
"NIFTY MEDIA","01 Apr 2026","27.57","1.38","1.34"
"NIFTY MEDIA","30 Mar 2026","26.59","1.33","1.39"
"NIFTY MEDIA","27 Mar 2026","27.16","1.36","1.36"
"NIFTY MEDIA","25 Mar 2026","27.52","1.38","1.34"
"NIFTY MEDIA","24 Mar 2026","27.21","1.36","1.36"
"NIFTY MEDIA","23 Mar 2026","26.31","1.32","1.41"
"NIFTY MEDIA","20 Mar 2026","27.39","1.37","1.35"
"NIFTY MEDIA","19 Mar 2026","27.53","1.38","1.34"
"NIFTY MEDIA","18 Mar 2026","28.37","1.42","1.3"
"NIFTY MEDIA","17 Mar 2026","27.45","1.38","1.35"
"NIFTY MEDIA","16 Mar 2026","27.15","1.36","1.36"
"NIFTY MEDIA","13 Mar 2026","27.31","1.37","1.35"
"NIFTY MEDIA","12 Mar 2026","28.32","1.42","1.37"
"NIFTY MEDIA","11 Mar 2026","28.22","1.42","1.34"
"NIFTY MEDIA","10 Mar 2026","28.37","1.42","1.34"
"NIFTY MEDIA","09 Mar 2026","27.95","1.4","1.36"
"NIFTY MEDIA","06 Mar 2026","28.43","1.43","1.33"
"NIFTY MEDIA","05 Mar 2026","28.6","1.43","1.33"
"NIFTY MEDIA","04 Mar 2026","28.29","1.42","1.34"
"NIFTY MEDIA","02 Mar 2026","29.18","1.46","1.3"
"NIFTY MEDIA","27 Feb 2026","29.72","1.49","1.28"
"NIFTY MEDIA","26 Feb 2026","29.55","1.48","1.28"
"NIFTY MEDIA","25 Feb 2026","29.75","1.49","1.28"
"NIFTY MEDIA","24 Feb 2026","29.61","1.48","1.28"
"NIFTY MEDIA","23 Feb 2026","30.01","1.5","1.26"
"NIFTY MEDIA","20 Feb 2026","29.95","1.5","1.27"
"NIFTY MEDIA","19 Feb 2026","30.03","1.51","1.26"
"NIFTY MEDIA","18 Feb 2026","30.71","1.54","1.24"
"NIFTY MEDIA","17 Feb 2026","30.64","1.54","1.24"
"NIFTY MEDIA","16 Feb 2026","30.43","1.53","1.25"
"NIFTY MEDIA","13 Feb 2026","30.7","1.54","1.32"
"NIFTY MEDIA","12 Feb 2026","30.94","1.55","1.37"
"NIFTY MEDIA","11 Feb 2026","31.35","1.57","1.29"
"NIFTY MEDIA","10 Feb 2026","31.2","1.56","1.3"
"NIFTY MEDIA","09 Feb 2026","30.23","1.53","1.33"
"NIFTY MEDIA","06 Feb 2026","29.98","1.46","1.39"
"NIFTY MEDIA","05 Feb 2026","30.03","1.47","1.39"
"NIFTY MEDIA","04 Feb 2026","29.88","1.47","1.39"
"NIFTY MEDIA","03 Feb 2026","29.61","1.45","1.4"
"NIFTY MEDIA","02 Feb 2026","29.18","1.43","1.42"
"NIFTY MEDIA","01 Feb 2026","29.15","1.43","1.42"
"NIFTY MEDIA","30 Jan 2026","29.69","1.46","1.4"
"NIFTY MEDIA","29 Jan 2026","29.47","1.43","1.42"
"NIFTY MEDIA","28 Jan 2026","29.48","1.43","1.42"
"NIFTY MEDIA","27 Jan 2026","28.87","1.4","1.49"
"NIFTY MEDIA","23 Jan 2026","29.09","1.42","1.47"
"NIFTY MEDIA","22 Jan 2026","29.84","1.46","1.37"
"NIFTY MEDIA","21 Jan 2026","29.14","1.43","1.38"
"NIFTY MEDIA","20 Jan 2026","29.4","1.43","1.37"
"NIFTY MEDIA","19 Jan 2026","29.93","1.46","1.35"
"NIFTY MEDIA","16 Jan 2026","57.75","1.48","1.32"
"NIFTY MEDIA","14 Jan 2026","57.95","1.49","1.32"
"NIFTY MEDIA","13 Jan 2026","57.89","1.49","1.32"
"NIFTY MEDIA","12 Jan 2026","57.45","1.48","1.33"
"NIFTY MEDIA","09 Jan 2026","58.35","1.5","1.31"
"NIFTY MEDIA","08 Jan 2026","58.85","1.51","1.3"
"NIFTY MEDIA","07 Jan 2026","59.67","1.53","1.28"
"NIFTY MEDIA","06 Jan 2026","59.64","1.53","1.28"
"NIFTY MEDIA","05 Jan 2026","60.27","1.55","1.27"
"NIFTY MEDIA","02 Jan 2026","59.89","1.54","1.27"
"NIFTY MEDIA","01 Jan 2026","59.3","1.52","1.29"
