"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY METAL","12 Jun 2026","19.1","3.16","1.65"
"NIFTY METAL","11 Jun 2026","18.92","3.14","1.29"
"NIFTY METAL","10 Jun 2026","18.97","3.24","1.29"
"NIFTY METAL","09 Jun 2026","19.3","3.3","1.27"
"NIFTY METAL","08 Jun 2026","19.19","3.28","1.28"
"NIFTY METAL","05 Jun 2026","19.65","3.36","1.56"
"NIFTY METAL","04 Jun 2026","19.97","3.5","1.54"
"NIFTY METAL","03 Jun 2026","20.11","3.53","1.52"
"NIFTY METAL","02 Jun 2026","20.15","3.53","1.52"
"NIFTY METAL","01 Jun 2026","20.16","3.52","1.53"
"NIFTY METAL","29 May 2026","20.06","3.52","1.53"
"NIFTY METAL","27 May 2026","20.48","3.6","1.5"
"NIFTY METAL","26 May 2026","20.14","3.54","1.53"
"NIFTY METAL","25 May 2026","19.17","3.5","1.55"
"NIFTY METAL","22 May 2026","19.06","3.48","1.56"
"NIFTY METAL","21 May 2026","18.98","3.46","1.56"
"NIFTY METAL","20 May 2026","18.94","3.46","1.57"
"NIFTY METAL","19 May 2026","18.9","3.45","1.57"
"NIFTY METAL","18 May 2026","19.48","3.45","1.57"
"NIFTY METAL","15 May 2026","22.88","3.49","1.55"
"NIFTY METAL","14 May 2026","23.33","3.56","1.52"
"NIFTY METAL","13 May 2026","22.87","3.48","1.55"
"NIFTY METAL","12 May 2026","22.16","3.38","1.6"
"NIFTY METAL","11 May 2026","22.24","3.39","1.6"
"NIFTY METAL","08 May 2026","22.45","3.42","1.58"
"NIFTY METAL","07 May 2026","22.82","3.45","1.55"
"NIFTY METAL","06 May 2026","22.76","3.44","1.55"
"NIFTY METAL","05 May 2026","22.56","3.41","1.57"
"NIFTY METAL","04 May 2026","22.53","3.4","1.57"
"NIFTY METAL","30 Apr 2026","21.83","3.36","1.59"
"NIFTY METAL","29 Apr 2026","22.12","3.41","1.52"
"NIFTY METAL","28 Apr 2026","22.01","3.39","1.53"
"NIFTY METAL","27 Apr 2026","22.01","3.38","1.53"
"NIFTY METAL","24 Apr 2026","21.62","3.32","1.56"
"NIFTY METAL","23 Apr 2026","21.68","3.33","1.56"
"NIFTY METAL","22 Apr 2026","21.86","3.35","1.54"
"NIFTY METAL","21 Apr 2026","21.77","3.34","1.55"
"NIFTY METAL","20 Apr 2026","21.76","3.34","1.55"
"NIFTY METAL","17 Apr 2026","21.84","3.35","1.55"
"NIFTY METAL","16 Apr 2026","21.6","3.32","1.56"
"NIFTY METAL","15 Apr 2026","21.28","3.27","1.59"
"NIFTY METAL","13 Apr 2026","20.91","3.21","1.62"
"NIFTY METAL","10 Apr 2026","20.95","3.22","1.61"
"NIFTY METAL","09 Apr 2026","20.74","3.18","1.63"
"NIFTY METAL","08 Apr 2026","20.48","3.14","1.65"
"NIFTY METAL","07 Apr 2026","19.95","3.06","1.69"
"NIFTY METAL","06 Apr 2026","19.64","3.01","1.72"
"NIFTY METAL","02 Apr 2026","19.43","2.98","1.74"
"NIFTY METAL","01 Apr 2026","19.35","2.97","1.75"
"NIFTY METAL","30 Mar 2026","18.89","2.9","1.79"
"NIFTY METAL","27 Mar 2026","18.93","2.9","1.78"
"NIFTY METAL","25 Mar 2026","19.24","2.95","1.52"
"NIFTY METAL","24 Mar 2026","18.76","2.88","1.56"
"NIFTY METAL","23 Mar 2026","18.43","2.83","1.59"
"NIFTY METAL","20 Mar 2026","19.36","2.97","1.61"
"NIFTY METAL","19 Mar 2026","19.08","2.93","1.63"
"NIFTY METAL","18 Mar 2026","19.72","3.03","1.58"
"NIFTY METAL","17 Mar 2026","19.74","3.03","1.58"
