"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY MICROCAP 250","31 Dec 2024","30.29","3.6",".51"
"NIFTY MICROCAP 250","30 Dec 2024","29.93","3.55",".52"
"NIFTY MICROCAP 250","27 Dec 2024","30.24","3.58",".51"
"NIFTY MICROCAP 250","26 Dec 2024","30.13","3.57",".51"
"NIFTY MICROCAP 250","24 Dec 2024","30.35","3.6",".51"
"NIFTY MICROCAP 250","23 Dec 2024","30.16","3.57",".51"
"NIFTY MICROCAP 250","20 Dec 2024","30.43","3.61",".51"
"NIFTY MICROCAP 250","19 Dec 2024","31.14","3.69",".5"
"NIFTY MICROCAP 250","18 Dec 2024","31.19","3.7",".5"
"NIFTY MICROCAP 250","17 Dec 2024","31.5","3.73",".49"
"NIFTY MICROCAP 250","16 Dec 2024","31.62","3.75",".49"
"NIFTY MICROCAP 250","13 Dec 2024","31.38","3.72",".49"
"NIFTY MICROCAP 250","12 Dec 2024","31.48","3.73",".49"
"NIFTY MICROCAP 250","11 Dec 2024","31.86","3.77",".49"
"NIFTY MICROCAP 250","10 Dec 2024","31.73","3.76",".49"
"NIFTY MICROCAP 250","09 Dec 2024","31.52","3.73",".49"
"NIFTY MICROCAP 250","06 Dec 2024","31.37","3.72",".49"
"NIFTY MICROCAP 250","05 Dec 2024","31.17","3.69",".5"
"NIFTY MICROCAP 250","04 Dec 2024","31.12","3.69",".5"
"NIFTY MICROCAP 250","03 Dec 2024","30.91","3.66",".5"
"NIFTY MICROCAP 250","02 Dec 2024","30.53","3.62",".51"
"NIFTY MICROCAP 250","29 Nov 2024","30.28","3.59",".51"
"NIFTY MICROCAP 250","28 Nov 2024","29.97","3.56",".51"
"NIFTY MICROCAP 250","27 Nov 2024","29.77","3.61",".51"
"NIFTY MICROCAP 250","26 Nov 2024","29.28","3.55",".51"
"NIFTY MICROCAP 250","25 Nov 2024","29.04","3.53",".51"
"NIFTY MICROCAP 250","22 Nov 2024","28.54","3.46",".52"
"NIFTY MICROCAP 250","21 Nov 2024","28.3","3.44",".53"
"NIFTY MICROCAP 250","19 Nov 2024","32.29","3.47",".53"
"NIFTY MICROCAP 250","18 Nov 2024","32.14","3.43",".53"
"NIFTY MICROCAP 250","14 Nov 2024","32.98","3.45",".54"
"NIFTY MICROCAP 250","13 Nov 2024","32.97","3.42",".54"
"NIFTY MICROCAP 250","12 Nov 2024","34.1","3.53",".52"
"NIFTY MICROCAP 250","11 Nov 2024","34.67","3.57",".52"
"NIFTY MICROCAP 250","08 Nov 2024","35.12","3.62",".51"
"NIFTY MICROCAP 250","07 Nov 2024","35.48","3.68",".51"
"NIFTY MICROCAP 250","06 Nov 2024","35.66","3.7",".5"
"NIFTY MICROCAP 250","05 Nov 2024","34.85","3.63",".51"
"NIFTY MICROCAP 250","04 Nov 2024","34.68","3.61",".52"
"NIFTY MICROCAP 250","01 Nov 2024","35.56","3.67",".51"
"NIFTY MICROCAP 250","31 Oct 2024","35.15","3.63",".52"
"NIFTY MICROCAP 250","30 Oct 2024","34.19","3.55",".52"
"NIFTY MICROCAP 250","29 Oct 2024","33.54","3.48",".53"
"NIFTY MICROCAP 250","28 Oct 2024","33.44","3.47",".54"
"NIFTY MICROCAP 250","25 Oct 2024","33.28","3.42",".54"
"NIFTY MICROCAP 250","24 Oct 2024","34.2","3.5",".52"
"NIFTY MICROCAP 250","23 Oct 2024","34.67","3.54",".52"
"NIFTY MICROCAP 250","22 Oct 2024","34.29","3.5",".52"
"NIFTY MICROCAP 250","21 Oct 2024","35.84","3.65",".5"
"NIFTY MICROCAP 250","18 Oct 2024","36.55","3.72",".49"
"NIFTY MICROCAP 250","17 Oct 2024","36.74","3.73",".49"
"NIFTY MICROCAP 250","16 Oct 2024","37.28","3.79",".49"
"NIFTY MICROCAP 250","15 Oct 2024","37","3.76",".49"
"NIFTY MICROCAP 250","14 Oct 2024","36.66","3.73",".5"
