"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY MIDCAP 100","30 Dec 2016","29.03","1.97","1.58"
"NIFTY MIDCAP 100","29 Dec 2016","29.09","1.96","1.54"
"NIFTY MIDCAP 100","28 Dec 2016","28.67","1.93","1.57"
"NIFTY MIDCAP 100","27 Dec 2016","28.55","1.93","1.57"
"NIFTY MIDCAP 100","26 Dec 2016","28.12","1.90","1.60"
"NIFTY MIDCAP 100","23 Dec 2016","28.69","1.94","1.56"
"NIFTY MIDCAP 100","22 Dec 2016","28.89","1.95","1.56"
"NIFTY MIDCAP 100","21 Dec 2016","29.17","1.98","1.53"
"NIFTY MIDCAP 100","20 Dec 2016","29.05","1.98","1.53"
"NIFTY MIDCAP 100","19 Dec 2016","29.47","2.01","1.51"
"NIFTY MIDCAP 100","16 Dec 2016","29.55","2.02","1.50"
"NIFTY MIDCAP 100","15 Dec 2016","29.47","2.02","1.50"
"NIFTY MIDCAP 100","14 Dec 2016","29.36","2.02","1.50"
"NIFTY MIDCAP 100","13 Dec 2016","29.54","2.03","1.50"
"NIFTY MIDCAP 100","12 Dec 2016","29.63","2.03","1.49"
"NIFTY MIDCAP 100","09 Dec 2016","29.54","2.06","1.47"
"NIFTY MIDCAP 100","08 Dec 2016","29.33","2.05","1.48"
"NIFTY MIDCAP 100","07 Dec 2016","28.81","2.02","1.50"
"NIFTY MIDCAP 100","06 Dec 2016","29.01","2.02","1.50"
"NIFTY MIDCAP 100","05 Dec 2016","28.84","2.01","1.50"
"NIFTY MIDCAP 100","02 Dec 2016","28.63","2.00","1.51"
"NIFTY MIDCAP 100","01 Dec 2016","29.17","2.03","1.49"
"NIFTY MIDCAP 100","30 Nov 2016","29.55","2.06","1.47"
"NIFTY MIDCAP 100","29 Nov 2016","29.13","2.03","1.50"
"NIFTY MIDCAP 100","28 Nov 2016","28.94","2.02","1.50"
"NIFTY MIDCAP 100","25 Nov 2016","28.75","2.00","1.51"
"NIFTY MIDCAP 100","24 Nov 2016","28.73","1.95","1.54"
"NIFTY MIDCAP 100","23 Nov 2016","29.70","1.96","1.54"
"NIFTY MIDCAP 100","22 Nov 2016","29.62","1.93","1.56"
"NIFTY MIDCAP 100","21 Nov 2016","29.13","1.91","1.58"
"NIFTY MIDCAP 100","18 Nov 2016","30.05","1.96","1.54"
"NIFTY MIDCAP 100","17 Nov 2016","29.80","1.95","1.54"
"NIFTY MIDCAP 100","16 Nov 2016","29.80","1.95","1.54"
"NIFTY MIDCAP 100","15 Nov 2016","29.83","1.95","1.54"
"NIFTY MIDCAP 100","11 Nov 2016","32.47","2.00","1.49"
"NIFTY MIDCAP 100","10 Nov 2016","33.72","2.07","1.44"
"NIFTY MIDCAP 100","09 Nov 2016","32.88","2.03","1.47"
"NIFTY MIDCAP 100","08 Nov 2016","34.00","2.07","1.44"
"NIFTY MIDCAP 100","07 Nov 2016","33.75","2.07","1.44"
"NIFTY MIDCAP 100","04 Nov 2016","33.18","2.04","1.46"
"NIFTY MIDCAP 100","03 Nov 2016","33.66","2.08","1.44"
"NIFTY MIDCAP 100","02 Nov 2016","34.04","2.10","1.42"
"NIFTY MIDCAP 100","01 Nov 2016","34.77","2.14","1.39"
"NIFTY MIDCAP 100","30 Oct 2016","34.70","2.14","1.39"
"NIFTY MIDCAP 100","28 Oct 2016","34.54","2.13","1.40"
"NIFTY MIDCAP 100","27 Oct 2016","34.09","2.11","1.41"
"NIFTY MIDCAP 100","26 Oct 2016","34.27","2.13","1.39"
"NIFTY MIDCAP 100","25 Oct 2016","34.56","2.15","1.37"
"NIFTY MIDCAP 100","24 Oct 2016","34.33","2.16","1.37"
"NIFTY MIDCAP 100","21 Oct 2016","34.38","2.16","1.37"
"NIFTY MIDCAP 100","20 Oct 2016","34.28","2.15","1.37"
"NIFTY MIDCAP 100","19 Oct 2016","34.52","2.15","1.38"
"NIFTY MIDCAP 100","18 Oct 2016","34.54","2.15","1.38"
"NIFTY MIDCAP 100","17 Oct 2016","34.02","2.12","1.40"
"NIFTY MIDCAP 100","14 Oct 2016","34.14","2.14","1.38"
"NIFTY MIDCAP 100","13 Oct 2016","34.24","2.13","1.39"
"NIFTY MIDCAP 100","10 Oct 2016","34.76","2.16","1.37"
"NIFTY MIDCAP 100","07 Oct 2016","34.32","2.15","1.38"
"NIFTY MIDCAP 100","06 Oct 2016","34.35","2.14","1.38"
"NIFTY MIDCAP 100","05 Oct 2016","34.60","2.16","1.37"
"NIFTY MIDCAP 100","04 Oct 2016","34.96","2.14","1.38"
"NIFTY MIDCAP 100","03 Oct 2016","34.72","2.13","1.39"
"NIFTY MIDCAP 100","30 Sep 2016","33.67","2.07","1.43"
"NIFTY MIDCAP 100","29 Sep 2016","36.75","2.40","1.24"
"NIFTY MIDCAP 100","28 Sep 2016","38.23","2.50","1.19"
"NIFTY MIDCAP 100","27 Sep 2016","37.87","2.48","1.20"
