"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY NEXT 50","12 Jun 2026","18.93","3.53","1.37"
"NIFTY NEXT 50","11 Jun 2026","18.51","3.5","1.36"
"NIFTY NEXT 50","10 Jun 2026","18.72","3.54","1.35"
"NIFTY NEXT 50","09 Jun 2026","18.94","3.59","1.33"
"NIFTY NEXT 50","08 Jun 2026","18.67","3.55","1.35"
"NIFTY NEXT 50","05 Jun 2026","19","3.62","1.43"
"NIFTY NEXT 50","04 Jun 2026","18.97","3.68","1.43"
"NIFTY NEXT 50","03 Jun 2026","18.93","3.68","1.43"
"NIFTY NEXT 50","02 Jun 2026","19","3.69","1.43"
"NIFTY NEXT 50","01 Jun 2026","18.95","3.73","1.43"
"NIFTY NEXT 50","29 May 2026","19.27","3.79","1.41"
"NIFTY NEXT 50","27 May 2026","19.51","3.84","1.39"
"NIFTY NEXT 50","26 May 2026","19.23","3.78","1.41"
"NIFTY NEXT 50","25 May 2026","19.14","3.78","1.41"
"NIFTY NEXT 50","22 May 2026","18.86","3.72","1.43"
"NIFTY NEXT 50","21 May 2026","18.81","3.71","1.43"
"NIFTY NEXT 50","20 May 2026","19.12","3.7","1.44"
"NIFTY NEXT 50","19 May 2026","19.02","3.68","1.44"
"NIFTY NEXT 50","18 May 2026","19.02","3.66","1.45"
"NIFTY NEXT 50","15 May 2026","19.23","3.69","1.44"
"NIFTY NEXT 50","14 May 2026","19.55","3.73","1.43"
"NIFTY NEXT 50","13 May 2026","19.33","3.69","1.44"
"NIFTY NEXT 50","12 May 2026","19.17","3.66","1.46"
"NIFTY NEXT 50","11 May 2026","19.62","3.75","1.42"
"NIFTY NEXT 50","08 May 2026","20.04","3.81","1.39"
"NIFTY NEXT 50","07 May 2026","20.14","3.83","1.39"
"NIFTY NEXT 50","06 May 2026","20.13","3.82","1.39"
"NIFTY NEXT 50","05 May 2026","19.85","3.77","1.41"
"NIFTY NEXT 50","04 May 2026","19.75","3.75","1.42"
"NIFTY NEXT 50","30 Apr 2026","19.7","3.71","1.44"
"NIFTY NEXT 50","29 Apr 2026","19.88","3.76","1.4"
"NIFTY NEXT 50","28 Apr 2026","19.89","3.76","1.39"
"NIFTY NEXT 50","27 Apr 2026","20.02","3.77","1.39"
"NIFTY NEXT 50","24 Apr 2026","19.79","3.73","1.42"
"NIFTY NEXT 50","23 Apr 2026","19.94","3.75","1.41"
"NIFTY NEXT 50","22 Apr 2026","20.2","3.8","1.39"
"NIFTY NEXT 50","21 Apr 2026","20.05","3.78","1.4"
"NIFTY NEXT 50","20 Apr 2026","19.92","3.75","1.41"
"NIFTY NEXT 50","17 Apr 2026","19.9","3.75","1.41"
"NIFTY NEXT 50","16 Apr 2026","19.62","3.7","1.42"
"NIFTY NEXT 50","15 Apr 2026","19.41","3.66","1.43"
"NIFTY NEXT 50","13 Apr 2026","19","3.59","1.47"
"NIFTY NEXT 50","10 Apr 2026","19.15","3.61","1.45"
"NIFTY NEXT 50","09 Apr 2026","18.76","3.54","1.48"
"NIFTY NEXT 50","08 Apr 2026","18.73","3.53","1.49"
"NIFTY NEXT 50","07 Apr 2026","17.88","3.37","1.55"
"NIFTY NEXT 50","06 Apr 2026","17.8","3.36","1.56"
"NIFTY NEXT 50","02 Apr 2026","17.54","3.31","1.59"
"NIFTY NEXT 50","01 Apr 2026","17.53","3.31","1.59"
"NIFTY NEXT 50","30 Mar 2026","17.09","3.22","1.63"
"NIFTY NEXT 50","27 Mar 2026","17.34","3.21","1.6"
"NIFTY NEXT 50","25 Mar 2026","17.78","3.29","1.5"
"NIFTY NEXT 50","24 Mar 2026","17.43","3.23","1.53"
"NIFTY NEXT 50","23 Mar 2026","17.16","3.18","1.55"
"NIFTY NEXT 50","20 Mar 2026","17.85","3.31","1.48"
"NIFTY NEXT 50","19 Mar 2026","17.77","3.29","1.47"
"NIFTY NEXT 50","18 Mar 2026","18.35","3.4","1.45"
"NIFTY NEXT 50","17 Mar 2026","18.17","3.37","1.46"
"NIFTY NEXT 50","16 Mar 2026","18.02","3.34","1.47"
"NIFTY NEXT 50","13 Mar 2026","18.08","3.35","1.47"
"NIFTY NEXT 50","12 Mar 2026","18.56","3.44","1.42"
"NIFTY NEXT 50","11 Mar 2026","18.58","3.45","1.38"
"NIFTY NEXT 50","10 Mar 2026","18.79","3.49","1.37"
"NIFTY NEXT 50","09 Mar 2026","18.46","3.43","1.39"
"NIFTY NEXT 50","06 Mar 2026","18.86","3.5","1.36"
"NIFTY NEXT 50","05 Mar 2026","18.93","3.51","1.36"
"NIFTY NEXT 50","04 Mar 2026","18.67","3.46","1.38"
"NIFTY NEXT 50","02 Mar 2026","19.19","3.56","1.34"
"NIFTY NEXT 50","27 Feb 2026","19.49","3.61","1.34"
"NIFTY NEXT 50","26 Feb 2026","19.74","3.66","1.33"
"NIFTY NEXT 50","25 Feb 2026","19.68","3.65","1.33"
"NIFTY NEXT 50","24 Feb 2026","19.51","3.62","1.34"
"NIFTY NEXT 50","23 Feb 2026","19.49","3.62","1.34"
"NIFTY NEXT 50","20 Feb 2026","19.47","3.6","1.35"
"NIFTY NEXT 50","19 Feb 2026","19.35","3.58","1.33"
"NIFTY NEXT 50","18 Feb 2026","19.71","3.65","1.3"
"NIFTY NEXT 50","17 Feb 2026","19.58","3.62","1.29"
"NIFTY NEXT 50","16 Feb 2026","19.49","3.6","1.3"
"NIFTY NEXT 50","13 Feb 2026","19.35","3.57","1.33"
"NIFTY NEXT 50","12 Feb 2026","19.66","3.63","1.31"
"NIFTY NEXT 50","11 Feb 2026","19.76","3.64","1.3"
"NIFTY NEXT 50","10 Feb 2026","19.65","3.62","1.31"
"NIFTY NEXT 50","09 Feb 2026","19.63","3.62","1.31"
"NIFTY NEXT 50","06 Feb 2026","19.98","3.58","1.4"
"NIFTY NEXT 50","05 Feb 2026","19.97","3.58","1.38"
"NIFTY NEXT 50","04 Feb 2026","20.09","3.6","1.37"
"NIFTY NEXT 50","03 Feb 2026","19.97","3.57","1.38"
"NIFTY NEXT 50","02 Feb 2026","19.45","3.48","1.43"
"NIFTY NEXT 50","01 Feb 2026","19.26","3.45","1.44"
"NIFTY NEXT 50","30 Jan 2026","19.37","3.52","1.42"
"NIFTY NEXT 50","29 Jan 2026","19.56","3.55","1.4"
"NIFTY NEXT 50","28 Jan 2026","19.5","3.54","1.45"
"NIFTY NEXT 50","27 Jan 2026","19.33","3.46","1.48"
"NIFTY NEXT 50","23 Jan 2026","19.21","3.45","1.48"
"NIFTY NEXT 50","22 Jan 2026","19.59","3.52","1.45"
"NIFTY NEXT 50","21 Jan 2026","19.39","3.48","1.47"
"NIFTY NEXT 50","20 Jan 2026","19.52","3.49","1.46"
"NIFTY NEXT 50","19 Jan 2026","19.98","3.57","1.43"
"NIFTY NEXT 50","16 Jan 2026","20.02","3.58","1.43"
"NIFTY NEXT 50","14 Jan 2026","20","3.58","1.43"
"NIFTY NEXT 50","13 Jan 2026","19.93","3.56","1.43"
"NIFTY NEXT 50","12 Jan 2026","19.98","3.57","1.43"
"NIFTY NEXT 50","09 Jan 2026","19.92","3.56","1.43"
"NIFTY NEXT 50","08 Jan 2026","20.13","3.6","1.42"
"NIFTY NEXT 50","07 Jan 2026","20.56","3.68","1.39"
"NIFTY NEXT 50","06 Jan 2026","20.54","3.67","1.39"
"NIFTY NEXT 50","05 Jan 2026","20.48","3.66","1.4"
"NIFTY NEXT 50","02 Jan 2026","20.48","3.66","1.4"
"NIFTY NEXT 50","01 Jan 2026","20.27","3.62","1.41"
