"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY OIL & GAS","30 Dec 2022","15.21","2.07","2.58"
"NIFTY OIL & GAS","29 Dec 2022","15.16","2.06","2.75"
"NIFTY OIL & GAS","28 Dec 2022","14.98","2.04","2.79"
"NIFTY OIL & GAS","27 Dec 2022","14.80","2.01","2.82"
"NIFTY OIL & GAS","26 Dec 2022","14.65","1.99","2.85"
"NIFTY OIL & GAS","23 Dec 2022","14.42","1.96","2.90"
"NIFTY OIL & GAS","22 Dec 2022","15.00","2.04","2.78"
"NIFTY OIL & GAS","21 Dec 2022","15.12","2.06","2.76"
"NIFTY OIL & GAS","20 Dec 2022","15.40","2.09","2.71"
"NIFTY OIL & GAS","19 Dec 2022","15.36","2.09","2.72"
"NIFTY OIL & GAS","16 Dec 2022","15.25","2.07","2.74"
"NIFTY OIL & GAS","15 Dec 2022","15.33","2.08","2.73"
"NIFTY OIL & GAS","14 Dec 2022","15.36","2.09","2.72"
"NIFTY OIL & GAS","13 Dec 2022","15.35","2.09","2.72"
"NIFTY OIL & GAS","12 Dec 2022","15.36","2.09","2.72"
"NIFTY OIL & GAS","09 Dec 2022","15.20","2.07","2.75"
"NIFTY OIL & GAS","08 Dec 2022","15.37","2.09","2.72"
"NIFTY OIL & GAS","07 Dec 2022","15.36","2.09","2.72"
"NIFTY OIL & GAS","06 Dec 2022","15.38","2.09","2.72"
"NIFTY OIL & GAS","05 Dec 2022","15.35","2.09","2.72"
"NIFTY OIL & GAS","02 Dec 2022","15.40","2.09","2.71"
"NIFTY OIL & GAS","01 Dec 2022","15.39","2.09","2.71"
"NIFTY OIL & GAS","30 Nov 2022","15.48","2.10","2.70"
"NIFTY OIL & GAS","29 Nov 2022","15.35","2.09","2.72"
"NIFTY OIL & GAS","28 Nov 2022","15.37","2.09","2.72"
"NIFTY OIL & GAS","25 Nov 2022","15.13","2.06","2.76"
"NIFTY OIL & GAS","24 Nov 2022","15.00","2.04","2.78"
"NIFTY OIL & GAS","23 Nov 2022","14.84","2.02","2.81"
"NIFTY OIL & GAS","22 Nov 2022","14.76","2.01","2.86"
"NIFTY OIL & GAS","21 Nov 2022","14.75","2.00","3.30"
"NIFTY OIL & GAS","18 Nov 2022","13.39","2.02","2.59"
"NIFTY OIL & GAS","17 Nov 2022","13.48","2.04","2.57"
"NIFTY OIL & GAS","16 Nov 2022","13.54","2.04","2.67"
"NIFTY OIL & GAS","15 Nov 2022","13.64","2.06","2.65"
"NIFTY OIL & GAS","14 Nov 2022","13.53","2.04","2.67"
"NIFTY OIL & GAS","11 Nov 2022","13.63","2.04","2.67"
"NIFTY OIL & GAS","10 Nov 2022","13.44","2.01","3.11"
"NIFTY OIL & GAS","09 Nov 2022","12.93","2.03","3.08"
"NIFTY OIL & GAS","07 Nov 2022","12.99","2.04","3.07"
"NIFTY OIL & GAS","04 Nov 2022","12.62","2.02","3.10"
"NIFTY OIL & GAS","03 Nov 2022","11.84","2.00","3.13"
"NIFTY OIL & GAS","02 Nov 2022","11.83","2.00","3.13"
"NIFTY OIL & GAS","01 Nov 2022","11.81","1.99","3.13"
"NIFTY OIL & GAS","31 Oct 2022","11.19","1.99","3.14"
"NIFTY OIL & GAS","28 Oct 2022","11.04","1.96","3.19"
"NIFTY OIL & GAS","27 Oct 2022","10.93","1.94","3.22"
"NIFTY OIL & GAS","25 Oct 2022","10.78","1.92","3.26"
"NIFTY OIL & GAS","24 Oct 2022","10.75","1.91","3.27"
"NIFTY OIL & GAS","21 Oct 2022","10.70","1.90","3.29"
"NIFTY OIL & GAS","20 Oct 2022","10.74","1.91","3.28"
"NIFTY OIL & GAS","19 Oct 2022","10.59","1.88","3.32"
"NIFTY OIL & GAS","18 Oct 2022","10.53","1.87","3.34"
"NIFTY OIL & GAS","17 Oct 2022","10.41","1.85","3.38"
"NIFTY OIL & GAS","14 Oct 2022","10.34","1.84","3.40"
"NIFTY OIL & GAS","13 Oct 2022","10.46","1.86","3.37"
"NIFTY OIL & GAS","12 Oct 2022","10.49","1.86","3.35"
"NIFTY OIL & GAS","11 Oct 2022","10.42","1.85","3.38"
"NIFTY OIL & GAS","10 Oct 2022","10.59","1.88","3.32"
"NIFTY OIL & GAS","07 Oct 2022","10.65","1.89","3.30"
"NIFTY OIL & GAS","06 Oct 2022","10.73","1.91","3.28"
"NIFTY OIL & GAS","04 Oct 2022","10.65","1.89","3.30"
"NIFTY OIL & GAS","03 Oct 2022","10.45","1.86","3.37"
"NIFTY OIL & GAS","30 Sep 2022","10.59","1.88","3.32"
"NIFTY OIL & GAS","29 Sep 2022","10.48","1.90","3.32"
"NIFTY OIL & GAS","28 Sep 2022","10.50","1.91","3.31"
"NIFTY OIL & GAS","27 Sep 2022","10.60","1.92","3.28"
"NIFTY OIL & GAS","26 Sep 2022","10.48","1.90","3.32"
"NIFTY OIL & GAS","23 Sep 2022","10.83","1.97","3.21"
"NIFTY OIL & GAS","22 Sep 2022","11.02","2.00","3.16"
"NIFTY OIL & GAS","21 Sep 2022","11.05","2.00","3.15"
"NIFTY OIL & GAS","20 Sep 2022","11.18","2.03","3.11"
"NIFTY OIL & GAS","19 Sep 2022","11.08","2.01","3.14"
"NIFTY OIL & GAS","16 Sep 2022","11.04","2.00","3.17"
"NIFTY OIL & GAS","15 Sep 2022","11.30","2.05","4.34"
"NIFTY OIL & GAS","14 Sep 2022","11.33","2.06","4.25"
"NIFTY OIL & GAS","13 Sep 2022","11.43","2.07","4.22"
"NIFTY OIL & GAS","12 Sep 2022","11.45","2.08","4.21"
"NIFTY OIL & GAS","09 Sep 2022","11.37","2.06","4.24"
"NIFTY OIL & GAS","08 Sep 2022","11.36","2.06","4.24"
"NIFTY OIL & GAS","07 Sep 2022","11.33","2.06","4.43"
"NIFTY OIL & GAS","06 Sep 2022","11.32","2.05","4.43"
"NIFTY OIL & GAS","05 Sep 2022","11.19","2.03","4.48"
"NIFTY OIL & GAS","02 Sep 2022","11.19","2.03","4.48"
"NIFTY OIL & GAS","01 Sep 2022","11.30","2.05","4.44"
"NIFTY OIL & GAS","30 Aug 2022","11.51","2.09","4.35"
"NIFTY OIL & GAS","29 Aug 2022","11.25","2.14","4.45"
"NIFTY OIL & GAS","26 Aug 2022","11.25","2.13","4.45"
