"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY PHARMA","12 Jun 2026","37.26","5.12",".75"
"NIFTY PHARMA","11 Jun 2026","37.15","5.12",".75"
"NIFTY PHARMA","10 Jun 2026","36.92","5.09",".75"
"NIFTY PHARMA","09 Jun 2026","37.12","5.12",".75"
"NIFTY PHARMA","08 Jun 2026","36.9","5.09",".75"
"NIFTY PHARMA","05 Jun 2026","37.06","5.18",".75"
"NIFTY PHARMA","04 Jun 2026","36.95","5.26",".67"
"NIFTY PHARMA","03 Jun 2026","36.81","5.24",".67"
"NIFTY PHARMA","02 Jun 2026","36.69","5.22",".68"
"NIFTY PHARMA","01 Jun 2026","37.41","5.28",".67"
"NIFTY PHARMA","29 May 2026","37.61","5.31",".67"
"NIFTY PHARMA","27 May 2026","38.18","5.39",".64"
"NIFTY PHARMA","26 May 2026","38.09","5.37",".64"
"NIFTY PHARMA","25 May 2026","38.53","5.38",".64"
"NIFTY PHARMA","22 May 2026","38.38","5.36",".64"
"NIFTY PHARMA","21 May 2026","38.93","5.42",".63"
"NIFTY PHARMA","20 May 2026","38.9","5.41",".63"
"NIFTY PHARMA","19 May 2026","38.93","5.42",".63"
"NIFTY PHARMA","18 May 2026","38.92","5.4",".64"
"NIFTY PHARMA","15 May 2026","38.72","5.37",".64"
"NIFTY PHARMA","14 May 2026","37.82","5.35",".64"
"NIFTY PHARMA","13 May 2026","35.33","5.21",".66"
"NIFTY PHARMA","12 May 2026","35.21","5.2",".66"
"NIFTY PHARMA","11 May 2026","35.7","5.27",".65"
"NIFTY PHARMA","08 May 2026","35.97","5.25",".66"
"NIFTY PHARMA","07 May 2026","36.01","5.26",".65"
"NIFTY PHARMA","06 May 2026","35.99","5.25",".65"
"NIFTY PHARMA","05 May 2026","35.34","5.14",".67"
"NIFTY PHARMA","04 May 2026","35.2","5.12",".67"
"NIFTY PHARMA","30 Apr 2026","34.83","5.07",".68"
"NIFTY PHARMA","29 Apr 2026","34.82","5.07",".68"
"NIFTY PHARMA","28 Apr 2026","34.67","5.05",".68"
"NIFTY PHARMA","27 Apr 2026","34.69","5.05",".68"
"NIFTY PHARMA","24 Apr 2026","33.8","4.92",".7"
"NIFTY PHARMA","23 Apr 2026","34.41","5.01",".68"
"NIFTY PHARMA","22 Apr 2026","33.62","4.89",".7"
