"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY PRIVATE BANK","12 Jun 2026","18.17","2.2",".58"
"NIFTY PRIVATE BANK","11 Jun 2026","17.67","2.14",".6"
"NIFTY PRIVATE BANK","10 Jun 2026","17.57","2.13",".6"
"NIFTY PRIVATE BANK","09 Jun 2026","17.44","2.11",".61"
"NIFTY PRIVATE BANK","08 Jun 2026","17.16","2.08",".62"
"NIFTY PRIVATE BANK","05 Jun 2026","17.28","2.09",".61"
"NIFTY PRIVATE BANK","04 Jun 2026","17.24","2.09",".62"
"NIFTY PRIVATE BANK","03 Jun 2026","17.21","2.08",".62"
"NIFTY PRIVATE BANK","02 Jun 2026","17.09","2.07",".62"
"NIFTY PRIVATE BANK","01 Jun 2026","17.13","2.07",".62"
"NIFTY PRIVATE BANK","29 May 2026","17.3","2.09",".61"
"NIFTY PRIVATE BANK","27 May 2026","17.5","2.12",".61"
"NIFTY PRIVATE BANK","26 May 2026","17.58","2.13",".6"
"NIFTY PRIVATE BANK","25 May 2026","17.69","2.14",".6"
"NIFTY PRIVATE BANK","22 May 2026","17.33","2.1",".61"
"NIFTY PRIVATE BANK","21 May 2026","17.08","2.07",".62"
"NIFTY PRIVATE BANK","20 May 2026","17.1","2.07",".62"
"NIFTY PRIVATE BANK","19 May 2026","17.06","2.07",".62"
"NIFTY PRIVATE BANK","18 May 2026","17.19","2.08",".62"
"NIFTY PRIVATE BANK","15 May 2026","17.15","2.08",".62"
"NIFTY PRIVATE BANK","14 May 2026","17.19","2.08",".62"
"NIFTY PRIVATE BANK","13 May 2026","16.99","2.06",".63"
"NIFTY PRIVATE BANK","12 May 2026","17.01","2.06",".62"
"NIFTY PRIVATE BANK","11 May 2026","17.32","2.1",".61"
"NIFTY PRIVATE BANK","08 May 2026","17.45","2.11",".61"
"NIFTY PRIVATE BANK","07 May 2026","17.6","2.13",".6"
"NIFTY PRIVATE BANK","06 May 2026","17.54","2.12",".61"
"NIFTY PRIVATE BANK","05 May 2026","17.13","2.07",".62"
"NIFTY PRIVATE BANK","04 May 2026","17.25","2.09",".62"
"NIFTY PRIVATE BANK","30 Apr 2026","17.44","2.09",".62"
"NIFTY PRIVATE BANK","29 Apr 2026","17.59","2.11",".61"
"NIFTY PRIVATE BANK","28 Apr 2026","17.54","2.1",".61"
"NIFTY PRIVATE BANK","27 Apr 2026","18.41","2.13",".61"
"NIFTY PRIVATE BANK","24 Apr 2026","18.4","2.13",".61"
"NIFTY PRIVATE BANK","23 Apr 2026","18.49","2.14",".6"
"NIFTY PRIVATE BANK","22 Apr 2026","18.73","2.16",".59"
"NIFTY PRIVATE BANK","21 Apr 2026","18.87","2.18",".59"
"NIFTY PRIVATE BANK","20 Apr 2026","18.85","2.15",".6"
"NIFTY PRIVATE BANK","17 Apr 2026","18.91","2.15",".6"
"NIFTY PRIVATE BANK","16 Apr 2026","18.76","2.14",".6"
"NIFTY PRIVATE BANK","15 Apr 2026","18.87","2.15",".6"
"NIFTY PRIVATE BANK","13 Apr 2026","18.64","2.12",".61"
"NIFTY PRIVATE BANK","10 Apr 2026","18.7","2.13",".6"
"NIFTY PRIVATE BANK","09 Apr 2026","18.33","2.09",".62"
"NIFTY PRIVATE BANK","08 Apr 2026","18.66","2.13",".61"
"NIFTY PRIVATE BANK","07 Apr 2026","17.68","2.01",".64"
"NIFTY PRIVATE BANK","06 Apr 2026","17.59","2",".64"
"NIFTY PRIVATE BANK","02 Apr 2026","17.22","1.96",".66"
"NIFTY PRIVATE BANK","01 Apr 2026","17.15","1.95",".66"
"NIFTY PRIVATE BANK","30 Mar 2026","16.86","1.92",".67"
"NIFTY PRIVATE BANK","27 Mar 2026","17.5","1.97",".62"
"NIFTY PRIVATE BANK","25 Mar 2026","17.86","2.01",".61"
"NIFTY PRIVATE BANK","24 Mar 2026","17.54","1.98",".62"
"NIFTY PRIVATE BANK","23 Mar 2026","17.11","1.93",".64"
"NIFTY PRIVATE BANK","20 Mar 2026","17.69","1.99",".62"
"NIFTY PRIVATE BANK","19 Mar 2026","17.79","2",".61"
"NIFTY PRIVATE BANK","18 Mar 2026","18.41","2.08",".59"
"NIFTY PRIVATE BANK","17 Mar 2026","18.25","2.06",".6"
"NIFTY PRIVATE BANK","16 Mar 2026","18.08","2.04",".6"
"NIFTY PRIVATE BANK","13 Mar 2026","17.86","2.01",".61"
"NIFTY PRIVATE BANK","12 Mar 2026","18.25","2.06",".6"
"NIFTY PRIVATE BANK","11 Mar 2026","18.54","2.09",".59"
"NIFTY PRIVATE BANK","10 Mar 2026","19","2.14",".57"
"NIFTY PRIVATE BANK","09 Mar 2026","18.67","2.1",".58"
"NIFTY PRIVATE BANK","06 Mar 2026","19.2","2.16",".57"
"NIFTY PRIVATE BANK","05 Mar 2026","19.64","2.21",".56"
"NIFTY PRIVATE BANK","04 Mar 2026","19.56","2.2",".56"
"NIFTY PRIVATE BANK","02 Mar 2026","19.86","2.24",".55"
"NIFTY PRIVATE BANK","27 Feb 2026","20.04","2.26",".54"
"NIFTY PRIVATE BANK","26 Feb 2026","20.31","2.29",".54"
"NIFTY PRIVATE BANK","25 Feb 2026","20.29","2.29",".54"
"NIFTY PRIVATE BANK","24 Feb 2026","20.22","2.28",".54"
"NIFTY PRIVATE BANK","23 Feb 2026","20.31","2.29",".54"
"NIFTY PRIVATE BANK","20 Feb 2026","20.24","2.28",".54"
