"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY PSU BANK","12 Jun 2026","8.16","1.2","1.78"
"NIFTY PSU BANK","11 Jun 2026","8","1.18","1.81"
"NIFTY PSU BANK","10 Jun 2026","8.08","1.19","1.8"
"NIFTY PSU BANK","09 Jun 2026","8.2","1.21","1.93"
"NIFTY PSU BANK","08 Jun 2026","7.92","1.17","2"
"NIFTY PSU BANK","05 Jun 2026","7.98","1.18","2.43"
"NIFTY PSU BANK","04 Jun 2026","7.97","1.21","2.36"
"NIFTY PSU BANK","03 Jun 2026","7.94","1.2","2.37"
"NIFTY PSU BANK","02 Jun 2026","7.81","1.18","2.41"
"NIFTY PSU BANK","01 Jun 2026","7.77","1.21","2.42"
"NIFTY PSU BANK","29 May 2026","7.91","1.3","2.38"
"NIFTY PSU BANK","27 May 2026","7.99","1.31","2.35"
"NIFTY PSU BANK","26 May 2026","7.97","1.33","2.36"
"NIFTY PSU BANK","25 May 2026","8","1.33","2.35"
"NIFTY PSU BANK","22 May 2026","7.78","1.3","2.42"
"NIFTY PSU BANK","21 May 2026","7.76","1.29","2.42"
"NIFTY PSU BANK","20 May 2026","7.74","1.29","2.43"
"NIFTY PSU BANK","19 May 2026","7.71","1.29","2.44"
"NIFTY PSU BANK","18 May 2026","7.65","1.28","2.46"
"NIFTY PSU BANK","15 May 2026","7.8","1.3","2.92"
"NIFTY PSU BANK","14 May 2026","7.94","1.32","2.3"
"NIFTY PSU BANK","13 May 2026","7.84","1.31","2.33"
"NIFTY PSU BANK","12 May 2026","7.84","1.31","2.33"
"NIFTY PSU BANK","11 May 2026","7.89","1.32","2.31"
"NIFTY PSU BANK","08 May 2026","8.15","1.36","2.35"
"NIFTY PSU BANK","07 May 2026","8.41","1.4","2.26"
"NIFTY PSU BANK","06 May 2026","8.49","1.41","2.25"
"NIFTY PSU BANK","05 May 2026","8.25","1.37","2.31"
"NIFTY PSU BANK","04 May 2026","8.27","1.37","2.31"
"NIFTY PSU BANK","30 Apr 2026","8.3","1.37","2.28"
"NIFTY PSU BANK","29 Apr 2026","8.44","1.4","2.25"
