"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY REALTY","29 Dec 2023","50.39","4.98","0.28"
"NIFTY REALTY","28 Dec 2023","49.82","4.94","0.28"
"NIFTY REALTY","27 Dec 2023","49.35","4.90","0.28"
"NIFTY REALTY","26 Dec 2023","49.02","4.87","0.28"
"NIFTY REALTY","22 Dec 2023","48.90","4.85","0.28"
"NIFTY REALTY","21 Dec 2023","47.68","4.73","0.29"
"NIFTY REALTY","20 Dec 2023","47.25","4.69","0.29"
"NIFTY REALTY","19 Dec 2023","48.43","4.81","0.28"
"NIFTY REALTY","18 Dec 2023","48.68","4.83","0.28"
"NIFTY REALTY","15 Dec 2023","49.15","4.88","0.28"
"NIFTY REALTY","14 Dec 2023","49.51","4.91","0.28"
"NIFTY REALTY","13 Dec 2023","47.66","4.73","0.29"
"NIFTY REALTY","12 Dec 2023","46.91","4.66","0.29"
"NIFTY REALTY","11 Dec 2023","47.74","4.74","0.29"
"NIFTY REALTY","08 Dec 2023","47.34","4.70","0.29"
"NIFTY REALTY","07 Dec 2023","47.09","4.67","0.29"
"NIFTY REALTY","06 Dec 2023","46.92","4.66","0.29"
"NIFTY REALTY","05 Dec 2023","47.06","4.67","0.29"
"NIFTY REALTY","04 Dec 2023","47.28","4.69","0.29"
"NIFTY REALTY","01 Dec 2023","46.33","4.60","0.30"
"NIFTY REALTY","30 Nov 2023","45.73","4.54","0.30"
"NIFTY REALTY","29 Nov 2023","45.08","4.47","0.30"
"NIFTY REALTY","28 Nov 2023","45.30","4.50","0.30"
"NIFTY REALTY","24 Nov 2023","45.05","4.47","0.30"
"NIFTY REALTY","23 Nov 2023","44.93","4.46","0.31"
"NIFTY REALTY","22 Nov 2023","44.47","4.41","0.31"
"NIFTY REALTY","21 Nov 2023","44.78","4.45","0.31"
"NIFTY REALTY","20 Nov 2023","44.28","4.40","0.31"
"NIFTY REALTY","17 Nov 2023","44.39","4.41","0.31"
"NIFTY REALTY","16 Nov 2023","44.18","4.39","0.31"
"NIFTY REALTY","15 Nov 2023","43.77","4.34","0.31"
"NIFTY REALTY","13 Nov 2023","43.29","4.22","0.32"
"NIFTY REALTY","12 Nov 2023","44.05","4.24","0.32"
"NIFTY REALTY","10 Nov 2023","43.78","4.21","0.32"
"NIFTY REALTY","09 Nov 2023","44.12","4.20","0.32"
"NIFTY REALTY","08 Nov 2023","47.50","4.15","0.33"
"NIFTY REALTY","07 Nov 2023","46.76","4.09","0.32"
"NIFTY REALTY","06 Nov 2023","47.40","4.14","0.31"
"NIFTY REALTY","03 Nov 2023","46.87","4.10","0.32"
"NIFTY REALTY","02 Nov 2023","45.71","3.99","0.32"
"NIFTY REALTY","01 Nov 2023","44.58","3.90","0.33"
"NIFTY REALTY","31 Oct 2023","44.44","3.84","0.34"
"NIFTY REALTY","30 Oct 2023","49.32","3.79","0.34"
"NIFTY REALTY","27 Oct 2023","48.29","3.71","0.35"
"NIFTY REALTY","26 Oct 2023","47.36","3.64","0.36"
"NIFTY REALTY","25 Oct 2023","47.94","3.68","0.35"
"NIFTY REALTY","23 Oct 2023","48.40","3.72","0.35"
"NIFTY REALTY","20 Oct 2023","49.64","3.81","0.34"
"NIFTY REALTY","19 Oct 2023","50.18","3.85","0.34"
"NIFTY REALTY","18 Oct 2023","50.36","3.87","0.33"
"NIFTY REALTY","17 Oct 2023","50.59","3.89","0.33"
"NIFTY REALTY","16 Oct 2023","50.58","3.88","0.33"
"NIFTY REALTY","13 Oct 2023","50.75","3.90","0.33"
"NIFTY REALTY","12 Oct 2023","50.54","3.88","0.33"
"NIFTY REALTY","11 Oct 2023","50.63","3.89","0.33"
"NIFTY REALTY","10 Oct 2023","50.21","3.86","0.34"
"NIFTY REALTY","09 Oct 2023","48.27","3.71","0.35"
"NIFTY REALTY","06 Oct 2023","48.66","3.74","0.35"
"NIFTY REALTY","05 Oct 2023","47.20","3.63","0.36"
"NIFTY REALTY","04 Oct 2023","47.07","3.61","0.36"
"NIFTY REALTY","03 Oct 2023","47.90","3.68","0.35"
"NIFTY REALTY","29 Sep 2023","47.68","3.66","0.35"
"NIFTY REALTY","28 Sep 2023","84.25","4.05","0.35"
"NIFTY REALTY","27 Sep 2023","85.08","4.09","0.35"
"NIFTY REALTY","26 Sep 2023","84.46","4.09","0.35"
"NIFTY REALTY","25 Sep 2023","84.20","4.08","0.35"
"NIFTY REALTY","22 Sep 2023","82.94","4.02","0.36"
"NIFTY REALTY","21 Sep 2023","83.50","4.04","0.35"
"NIFTY REALTY","20 Sep 2023","84.52","4.09","0.35"
"NIFTY REALTY","18 Sep 2023","85.51","4.14","0.36"
"NIFTY REALTY","15 Sep 2023","86.70","4.20","0.36"
"NIFTY REALTY","14 Sep 2023","87.04","4.21","0.32"
"NIFTY REALTY","13 Sep 2023","85.84","4.16","0.31"
"NIFTY REALTY","12 Sep 2023","85.27","4.13","0.31"
"NIFTY REALTY","11 Sep 2023","88.12","4.27","0.32"
"NIFTY REALTY","08 Sep 2023","87.36","4.23","0.32"
"NIFTY REALTY","07 Sep 2023","85.54","4.14","0.31"
"NIFTY REALTY","06 Sep 2023","84.29","4.08","0.31"
