"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY SERVICES SECTOR","12 Jun 2026","19.32","3.12","1.27"
"NIFTY SERVICES SECTOR","11 Jun 2026","18.88","3.05","1.29"
"NIFTY SERVICES SECTOR","10 Jun 2026","18.93","3.05","1.29"
"NIFTY SERVICES SECTOR","09 Jun 2026","18.94","3.06","1.29"
"NIFTY SERVICES SECTOR","08 Jun 2026","18.83","3.03","1.3"
"NIFTY SERVICES SECTOR","05 Jun 2026","18.97","3.06","1.29"
"NIFTY SERVICES SECTOR","04 Jun 2026","19.01","3.08","1.28"
"NIFTY SERVICES SECTOR","03 Jun 2026","18.99","3.08","1.33"
"NIFTY SERVICES SECTOR","02 Jun 2026","19.06","3.09","1.33"
"NIFTY SERVICES SECTOR","01 Jun 2026","18.79","3.07","1.33"
"NIFTY SERVICES SECTOR","29 May 2026","18.9","3.16","1.46"
"NIFTY SERVICES SECTOR","27 May 2026","19.16","3.21","1.44"
"NIFTY SERVICES SECTOR","26 May 2026","19.23","3.22","1.44"
"NIFTY SERVICES SECTOR","25 May 2026","19.4","3.24","1.43"
"NIFTY SERVICES SECTOR","22 May 2026","19.11","3.19","1.4"
"NIFTY SERVICES SECTOR","21 May 2026","19.01","3.17","1.41"
"NIFTY SERVICES SECTOR","20 May 2026","19.04","3.18","1.41"
"NIFTY SERVICES SECTOR","19 May 2026","19.06","3.18","1.41"
"NIFTY SERVICES SECTOR","18 May 2026","19.04","3.18","1.41"
"NIFTY SERVICES SECTOR","15 May 2026","18.89","3.17","1.51"
"NIFTY SERVICES SECTOR","14 May 2026","18.88","3.16","1.4"
"NIFTY SERVICES SECTOR","13 May 2026","18.62","3.12","1.43"
"NIFTY SERVICES SECTOR","12 May 2026","18.65","3.12","1.42"
"NIFTY SERVICES SECTOR","11 May 2026","19.03","3.19","1.4"
"NIFTY SERVICES SECTOR","08 May 2026","19.34","3.24","1.38"
"NIFTY SERVICES SECTOR","07 May 2026","19.52","3.27","1.37"
"NIFTY SERVICES SECTOR","06 May 2026","19.53","3.27","1.37"
"NIFTY SERVICES SECTOR","05 May 2026","19.16","3.21","1.39"
"NIFTY SERVICES SECTOR","04 May 2026","19.28","3.23","1.38"
"NIFTY SERVICES SECTOR","30 Apr 2026","19.32","3.22","1.39"
"NIFTY SERVICES SECTOR","29 Apr 2026","19.39","3.23","1.38"
"NIFTY SERVICES SECTOR","28 Apr 2026","19.35","3.23","1.38"
"NIFTY SERVICES SECTOR","27 Apr 2026","19.68","3.25","1.4"
"NIFTY SERVICES SECTOR","24 Apr 2026","19.64","3.23","1.41"
"NIFTY SERVICES SECTOR","23 Apr 2026","19.91","3.28","1.35"
"NIFTY SERVICES SECTOR","22 Apr 2026","20.15","3.32","1.34"
"NIFTY SERVICES SECTOR","21 Apr 2026","20.41","3.36","1.32"
"NIFTY SERVICES SECTOR","20 Apr 2026","20.36","3.32","1.33"
"NIFTY SERVICES SECTOR","17 Apr 2026","20.34","3.32","1.33"
"NIFTY SERVICES SECTOR","16 Apr 2026","20.23","3.3","1.34"
"NIFTY SERVICES SECTOR","15 Apr 2026","20.29","3.31","1.34"
"NIFTY SERVICES SECTOR","13 Apr 2026","19.98","3.26","1.36"
"NIFTY SERVICES SECTOR","10 Apr 2026","20.1","3.28","1.35"
"NIFTY SERVICES SECTOR","09 Apr 2026","19.87","3.24","1.37"
"NIFTY SERVICES SECTOR","08 Apr 2026","20.11","3.28","1.35"
"NIFTY SERVICES SECTOR","07 Apr 2026","19.35","3.15","1.41"
"NIFTY SERVICES SECTOR","06 Apr 2026","19.19","3.13","1.42"
"NIFTY SERVICES SECTOR","02 Apr 2026","18.88","3.08","1.44"
"NIFTY SERVICES SECTOR","01 Apr 2026","18.78","3.06","1.45"
"NIFTY SERVICES SECTOR","30 Mar 2026","18.48","3.01","1.47"
"NIFTY SERVICES SECTOR","27 Mar 2026","18.87","3.07","1.44"
"NIFTY SERVICES SECTOR","25 Mar 2026","19.26","3.14","1.41"
"NIFTY SERVICES SECTOR","24 Mar 2026","18.95","3.08","1.44"
"NIFTY SERVICES SECTOR","23 Mar 2026","18.57","3.02","1.46"
"NIFTY SERVICES SECTOR","20 Mar 2026","19.07","3.11","1.43"
"NIFTY SERVICES SECTOR","19 Mar 2026","19.07","3.11","1.43"
"NIFTY SERVICES SECTOR","18 Mar 2026","19.76","3.22","1.38"
"NIFTY SERVICES SECTOR","17 Mar 2026","19.57","3.19","1.39"
"NIFTY SERVICES SECTOR","16 Mar 2026","19.43","3.16","1.4"
"NIFTY SERVICES SECTOR","13 Mar 2026","19.22","3.13","1.41"
"NIFTY SERVICES SECTOR","12 Mar 2026","19.57","3.19","1.39"
"NIFTY SERVICES SECTOR","11 Mar 2026","19.71","3.21","1.38"
"NIFTY SERVICES SECTOR","10 Mar 2026","20.07","3.27","1.36"
"NIFTY SERVICES SECTOR","09 Mar 2026","19.87","3.23","1.37"
"NIFTY SERVICES SECTOR","06 Mar 2026","20.21","3.29","1.35"
"NIFTY SERVICES SECTOR","05 Mar 2026","20.58","3.35","1.32"
"NIFTY SERVICES SECTOR","04 Mar 2026","20.45","3.33","1.33"
"NIFTY SERVICES SECTOR","02 Mar 2026","20.69","3.37","1.31"
"NIFTY SERVICES SECTOR","27 Feb 2026","20.92","3.41","1.3"
"NIFTY SERVICES SECTOR","26 Feb 2026","21.17","3.45","1.28"
"NIFTY SERVICES SECTOR","25 Feb 2026","21.18","3.45","1.28"
"NIFTY SERVICES SECTOR","24 Feb 2026","21.14","3.44","1.29"
"NIFTY SERVICES SECTOR","23 Feb 2026","21.45","3.49","1.27"
