"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY SMALLCAP 100","31 Dec 2013","44.10","0.95","1.80"
"NIFTY SMALLCAP 100","30 Dec 2013","43.89","0.95","1.81"
"NIFTY SMALLCAP 100","27 Dec 2013","44.96","0.95","1.77"
"NIFTY SMALLCAP 100","26 Dec 2013","44.95","0.95","1.77"
"NIFTY SMALLCAP 100","24 Dec 2013","44.47","0.94","1.79"
"NIFTY SMALLCAP 100","23 Dec 2013","44.09","0.93","1.81"
"NIFTY SMALLCAP 100","20 Dec 2013","43.51","0.92","1.83"
"NIFTY SMALLCAP 100","19 Dec 2013","42.47","0.90","1.88"
"NIFTY SMALLCAP 100","18 Dec 2013","42.51","0.90","1.88"
"NIFTY SMALLCAP 100","17 Dec 2013","41.96","0.89","1.90"
"NIFTY SMALLCAP 100","16 Dec 2013","41.97","0.89","1.90"
"NIFTY SMALLCAP 100","13 Dec 2013","41.88","0.88","1.90"
"NIFTY SMALLCAP 100","12 Dec 2013","42.46","0.90","1.88"
"NIFTY SMALLCAP 100","11 Dec 2013","42.66","0.90","1.87"
"NIFTY SMALLCAP 100","10 Dec 2013","42.75","0.90","1.87"
"NIFTY SMALLCAP 100","09 Dec 2013","43.22","0.91","1.84"
"NIFTY SMALLCAP 100","06 Dec 2013","43.05","0.91","1.85"
"NIFTY SMALLCAP 100","05 Dec 2013","42.80","0.90","1.86"
"NIFTY SMALLCAP 100","04 Dec 2013","42.51","0.90","1.88"
"NIFTY SMALLCAP 100","03 Dec 2013","42.73","0.90","1.87"
"NIFTY SMALLCAP 100","02 Dec 2013","42.68","0.90","1.87"
"NIFTY SMALLCAP 100","29 Nov 2013","42.20","0.89","1.89"
"NIFTY SMALLCAP 100","28 Nov 2013","39.76","0.88","1.91"
"NIFTY SMALLCAP 100","27 Nov 2013","39.34","0.87","1.93"
"NIFTY SMALLCAP 100","26 Nov 2013","39.15","0.87","1.92"
"NIFTY SMALLCAP 100","25 Nov 2013","37.48","0.88","1.91"
"NIFTY SMALLCAP 100","22 Nov 2013","34.50","0.87","1.94"
"NIFTY SMALLCAP 100","21 Nov 2013","30.52","0.85","2.03"
"NIFTY SMALLCAP 100","20 Nov 2013","31.10","0.87","1.99"
"NIFTY SMALLCAP 100","19 Nov 2013","28.30","0.87","1.99"
"NIFTY SMALLCAP 100","18 Nov 2013","27.97","0.86","2.00"
"NIFTY SMALLCAP 100","14 Nov 2013","27.10","0.84","2.03"
"NIFTY SMALLCAP 100","13 Nov 2013","26.64","0.83","2.07"
"NIFTY SMALLCAP 100","12 Nov 2013","26.85","0.84","2.05"
"NIFTY SMALLCAP 100","11 Nov 2013","27.16","0.85","2.03"
"NIFTY SMALLCAP 100","08 Nov 2013","25.66","0.86","2.01"
"NIFTY SMALLCAP 100","07 Nov 2013","25.56","0.85","2.01"
"NIFTY SMALLCAP 100","06 Nov 2013","26.12","0.87","1.98"
"NIFTY SMALLCAP 100","05 Nov 2013","25.37","0.87","1.98"
"NIFTY SMALLCAP 100","03 Nov 2013","25.10","0.86","2.00"
"NIFTY SMALLCAP 100","01 Nov 2013","24.75","0.85","2.03"
"NIFTY SMALLCAP 100","31 Oct 2013","24.32","0.84","2.06"
"NIFTY SMALLCAP 100","30 Oct 2013","24.04","0.83","2.09"
"NIFTY SMALLCAP 100","29 Oct 2013","23.88","0.82","2.10"
"NIFTY SMALLCAP 100","28 Oct 2013","22.83","0.81","2.12"
"NIFTY SMALLCAP 100","25 Oct 2013","23.09","0.82","2.09"
"NIFTY SMALLCAP 100","24 Oct 2013","24.77","0.83","2.08"
"NIFTY SMALLCAP 100","23 Oct 2013","24.85","0.83","2.08"
"NIFTY SMALLCAP 100","22 Oct 2013","25.21","0.83","2.07"
"NIFTY SMALLCAP 100","21 Oct 2013","24.89","0.82","2.09"
"NIFTY SMALLCAP 100","18 Oct 2013","24.53","0.81","2.12"
"NIFTY SMALLCAP 100","17 Oct 2013","24.14","0.80","2.16"
"NIFTY SMALLCAP 100","15 Oct 2013","24.42","0.80","2.15"
"NIFTY SMALLCAP 100","14 Oct 2013","24.84","0.81","2.12"
"NIFTY SMALLCAP 100","11 Oct 2013","24.70","0.81","2.13"
"NIFTY SMALLCAP 100","10 Oct 2013","24.55","0.80","2.14"
"NIFTY SMALLCAP 100","09 Oct 2013","24.34","0.80","2.16"
"NIFTY SMALLCAP 100","08 Oct 2013","24.04","0.79","2.19"
"NIFTY SMALLCAP 100","07 Oct 2013","23.79","0.78","2.21"
"NIFTY SMALLCAP 100","04 Oct 2013","23.59","0.77","2.23"
"NIFTY SMALLCAP 100","03 Oct 2013","23.43","0.77","2.24"
"NIFTY SMALLCAP 100","01 Oct 2013","23.02","0.76","2.27"
"NIFTY SMALLCAP 100","30 Sep 2013","22.78","0.75","2.27"
"NIFTY SMALLCAP 100","27 Sep 2013","23.03","0.76","2.32"
"NIFTY SMALLCAP 100","26 Sep 2013","65.73","0.96","1.89"
"NIFTY SMALLCAP 100","25 Sep 2013","65.77","0.96","1.89"
"NIFTY SMALLCAP 100","24 Sep 2013","65.66","0.96","1.90"
"NIFTY SMALLCAP 100","23 Sep 2013","65.72","0.97","1.87"
"NIFTY SMALLCAP 100","20 Sep 2013","66.20","0.98","1.85"
"NIFTY SMALLCAP 100","19 Sep 2013","67.32","0.99","1.83"
"NIFTY SMALLCAP 100","18 Sep 2013","66.31","0.99","1.80"
"NIFTY SMALLCAP 100","17 Sep 2013","65.90","0.98","1.80"
"NIFTY SMALLCAP 100","16 Sep 2013","66.17","0.99","1.79"
"NIFTY SMALLCAP 100","13 Sep 2013","66.67","1.00","1.77"
"NIFTY SMALLCAP 100","12 Sep 2013","66.21","0.99","1.79"
"NIFTY SMALLCAP 100","11 Sep 2013","66.37","0.99","1.78"
"NIFTY SMALLCAP 100","10 Sep 2013","65.06","0.97","1.82"
"NIFTY SMALLCAP 100","06 Sep 2013","63.21","0.95","1.85"
"NIFTY SMALLCAP 100","05 Sep 2013","62.92","0.95","1.86"
"NIFTY SMALLCAP 100","04 Sep 2013","61.68","0.93","1.90"
"NIFTY SMALLCAP 100","03 Sep 2013","61.11","0.92","1.92"
"NIFTY SMALLCAP 100","02 Sep 2013","40.76","0.94","1.89"
"NIFTY SMALLCAP 100","30 Aug 2013","40.19","0.92","1.91"
"NIFTY SMALLCAP 100","29 Aug 2013","40.14","0.92","1.92"
"NIFTY SMALLCAP 100","28 Aug 2013","39.54","0.91","1.94"
"NIFTY SMALLCAP 100","27 Aug 2013","39.89","0.92","1.93"
"NIFTY SMALLCAP 100","26 Aug 2013","39.73","0.94","1.88"
"NIFTY SMALLCAP 100","23 Aug 2013","39.69","0.94","1.88"
"NIFTY SMALLCAP 100","22 Aug 2013","40.36","0.92","1.92"
"NIFTY SMALLCAP 100","21 Aug 2013","39.29","0.92","1.92"
"NIFTY SMALLCAP 100","20 Aug 2013","39.61","0.93","1.90"
"NIFTY SMALLCAP 100","19 Aug 2013","37.02","0.93","1.90"
"NIFTY SMALLCAP 100","16 Aug 2013","35.21","0.94","1.88"
"NIFTY SMALLCAP 100","14 Aug 2013","33.61","0.97","1.82"
"NIFTY SMALLCAP 100","13 Aug 2013","33.13","0.96","1.84"
"NIFTY SMALLCAP 100","12 Aug 2013","31.11","0.94","1.87"
"NIFTY SMALLCAP 100","08 Aug 2013","30.18","0.92","1.94"
"NIFTY SMALLCAP 100","07 Aug 2013","29.54","0.90","1.98"
"NIFTY SMALLCAP 100","06 Aug 2013","29.18","0.89","2.01"
"NIFTY SMALLCAP 100","05 Aug 2013","29.98","0.91","1.95"
"NIFTY SMALLCAP 100","02 Aug 2013","29.49","0.91","1.96"
"NIFTY SMALLCAP 100","01 Aug 2013","29.92","0.92","1.94"
"NIFTY SMALLCAP 100","31 Jul 2013","30.41","0.93","1.91"
"NIFTY SMALLCAP 100","30 Jul 2013","30.82","0.94","1.89"
"NIFTY SMALLCAP 100","29 Jul 2013","31.50","0.96","1.85"
"NIFTY SMALLCAP 100","26 Jul 2013","32.00","0.98","1.82"
"NIFTY SMALLCAP 100","25 Jul 2013","33.16","0.99","1.80"
"NIFTY SMALLCAP 100","24 Jul 2013","33.26","1.00","1.78"
"NIFTY SMALLCAP 100","23 Jul 2013","34.11","1.02","1.74"
"NIFTY SMALLCAP 100","22 Jul 2013","34.09","1.02","1.74"
"NIFTY SMALLCAP 100","19 Jul 2013","34.51","1.02","1.74"
"NIFTY SMALLCAP 100","18 Jul 2013","35.25","1.03","1.73"
"NIFTY SMALLCAP 100","17 Jul 2013","29.49","1.02","1.74"
"NIFTY SMALLCAP 100","16 Jul 2013","30.26","1.03","1.73"
"NIFTY SMALLCAP 100","15 Jul 2013","30.79","1.05","1.70"
"NIFTY SMALLCAP 100","12 Jul 2013","30.33","1.04","1.72"
"NIFTY SMALLCAP 100","11 Jul 2013","30.37","1.04","1.71"
"NIFTY SMALLCAP 100","10 Jul 2013","30.09","1.03","1.73"
"NIFTY SMALLCAP 100","09 Jul 2013","30.08","1.03","1.73"
"NIFTY SMALLCAP 100","08 Jul 2013","29.78","1.02","1.75"
"NIFTY SMALLCAP 100","05 Jul 2013","29.84","1.02","1.74"
"NIFTY SMALLCAP 100","04 Jul 2013","29.82","1.02","1.74"
"NIFTY SMALLCAP 100","03 Jul 2013","29.63","1.01","1.76"
"NIFTY SMALLCAP 100","02 Jul 2013","30.35","1.04","1.71"
"NIFTY SMALLCAP 100","01 Jul 2013","31.23","1.04","1.71"
"NIFTY SMALLCAP 100","28 Jun 2013","30.44","1.02","1.75"
"NIFTY SMALLCAP 100","27 Jun 2013","29.60","0.99","1.80"
"NIFTY SMALLCAP 100","26 Jun 2013","29.48","1.00","1.74"
"NIFTY SMALLCAP 100","25 Jun 2013","29.80","1.02","1.73"
"NIFTY SMALLCAP 100","24 Jun 2013","29.76","1.02","1.72"
"NIFTY SMALLCAP 100","21 Jun 2013","31.04","1.05","1.67"
"NIFTY SMALLCAP 100","20 Jun 2013","30.43","1.06","1.66"
"NIFTY SMALLCAP 100","19 Jun 2013","27.94","1.08","1.62"
"NIFTY SMALLCAP 100","18 Jun 2013","27.72","1.08","1.62"
