"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY TRANSPORTATION & LOGISTICS","29 Dec 2023","29.42","5.58","0.76"
"NIFTY TRANSPORTATION & LOGISTICS","28 Dec 2023","28.73","5.44","0.78"
"NIFTY TRANSPORTATION & LOGISTICS","27 Dec 2023","28.56","5.41","0.78"
"NIFTY TRANSPORTATION & LOGISTICS","26 Dec 2023","28.23","5.35","0.79"
"NIFTY TRANSPORTATION & LOGISTICS","22 Dec 2023","28.04","5.31","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","21 Dec 2023","27.73","5.25","0.81"
"NIFTY TRANSPORTATION & LOGISTICS","20 Dec 2023","27.60","5.23","0.81"
"NIFTY TRANSPORTATION & LOGISTICS","19 Dec 2023","28.39","5.38","0.79"
"NIFTY TRANSPORTATION & LOGISTICS","18 Dec 2023","28.56","5.41","0.78"
"NIFTY TRANSPORTATION & LOGISTICS","15 Dec 2023","28.34","5.37","0.79"
"NIFTY TRANSPORTATION & LOGISTICS","14 Dec 2023","28.38","5.38","0.79"
"NIFTY TRANSPORTATION & LOGISTICS","13 Dec 2023","28.15","5.33","0.79"
"NIFTY TRANSPORTATION & LOGISTICS","12 Dec 2023","27.84","5.27","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","11 Dec 2023","28.00","5.30","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","08 Dec 2023","27.90","5.28","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","07 Dec 2023","28.07","5.32","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","06 Dec 2023","27.85","5.28","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","05 Dec 2023","27.81","5.27","0.80"
"NIFTY TRANSPORTATION & LOGISTICS","04 Dec 2023","27.43","5.20","0.81"
"NIFTY TRANSPORTATION & LOGISTICS","01 Dec 2023","27.02","5.12","0.83"
"NIFTY TRANSPORTATION & LOGISTICS","30 Nov 2023","27.08","5.13","0.83"
"NIFTY TRANSPORTATION & LOGISTICS","29 Nov 2023","26.98","5.11","0.83"
"NIFTY TRANSPORTATION & LOGISTICS","28 Nov 2023","26.60","5.04","0.84"
"NIFTY TRANSPORTATION & LOGISTICS","24 Nov 2023","26.28","4.98","0.85"
"NIFTY TRANSPORTATION & LOGISTICS","23 Nov 2023","26.31","4.98","0.85"
"NIFTY TRANSPORTATION & LOGISTICS","22 Nov 2023","26.26","4.97","0.85"
"NIFTY TRANSPORTATION & LOGISTICS","21 Nov 2023","26.17","4.96","0.86"
"NIFTY TRANSPORTATION & LOGISTICS","20 Nov 2023","26.08","4.94","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","17 Nov 2023","26.29","4.98","0.86"
"NIFTY TRANSPORTATION & LOGISTICS","16 Nov 2023","26.13","4.95","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","15 Nov 2023","25.95","4.92","0.86"
"NIFTY TRANSPORTATION & LOGISTICS","13 Nov 2023","25.48","4.85","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","12 Nov 2023","25.75","4.86","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","10 Nov 2023","25.60","4.83","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","09 Nov 2023","25.69","4.85","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","08 Nov 2023","25.71","4.83","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","07 Nov 2023","25.56","4.80","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","06 Nov 2023","26.25","4.81","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","03 Nov 2023","27.83","4.76","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","02 Nov 2023","27.52","4.69","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","01 Nov 2023","27.43","4.65","0.91"
"NIFTY TRANSPORTATION & LOGISTICS","31 Oct 2023","27.66","4.68","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","30 Oct 2023","28.38","4.71","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","27 Oct 2023","28.55","4.74","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","26 Oct 2023","28.18","4.67","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","25 Oct 2023","28.58","4.74","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","23 Oct 2023","28.68","4.76","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","20 Oct 2023","29.20","4.84","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","19 Oct 2023","29.39","4.88","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","18 Oct 2023","29.44","4.87","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","17 Oct 2023","29.45","4.87","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","16 Oct 2023","29.40","4.86","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","13 Oct 2023","29.31","4.85","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","12 Oct 2023","29.09","4.81","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","11 Oct 2023","28.90","4.78","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","10 Oct 2023","28.67","4.74","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","09 Oct 2023","28.27","4.68","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","06 Oct 2023","28.65","4.74","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","05 Oct 2023","28.52","4.72","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","04 Oct 2023","28.26","4.67","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","03 Oct 2023","28.64","4.74","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","29 Sep 2023","28.78","4.76","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","28 Sep 2023","27.97","5.86","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","27 Sep 2023","28.27","5.93","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","26 Sep 2023","28.20","5.99","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","25 Sep 2023","28.14","5.98","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","22 Sep 2023","28.15","5.98","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","21 Sep 2023","28.13","5.97","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","20 Sep 2023","28.50","6.05","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","18 Sep 2023","28.69","6.09","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","15 Sep 2023","28.57","6.07","0.88"
"NIFTY TRANSPORTATION & LOGISTICS","14 Sep 2023","28.26","6.00","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","13 Sep 2023","28.00","5.95","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","12 Sep 2023","28.15","5.98","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","11 Sep 2023","28.76","6.09","0.87"
"NIFTY TRANSPORTATION & LOGISTICS","08 Sep 2023","28.22","6.00","0.89"
"NIFTY TRANSPORTATION & LOGISTICS","07 Sep 2023","27.99","5.95","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","06 Sep 2023","27.87","5.93","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","05 Sep 2023","27.86","6.09","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","04 Sep 2023","27.83","6.09","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","01 Sep 2023","27.75","6.08","0.91"
"NIFTY TRANSPORTATION & LOGISTICS","31 Aug 2023","27.39","6.09","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","30 Aug 2023","27.56","6.13","0.91"
"NIFTY TRANSPORTATION & LOGISTICS","29 Aug 2023","27.35","6.08","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","28 Aug 2023","27.15","6.11","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","25 Aug 2023","26.96","6.07","0.93"
"NIFTY TRANSPORTATION & LOGISTICS","24 Aug 2023","27.18","6.12","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","23 Aug 2023","27.24","6.16","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","22 Aug 2023","27.28","6.17","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","21 Aug 2023","27.25","6.17","0.93"
"NIFTY TRANSPORTATION & LOGISTICS","18 Aug 2023","27.12","6.15","0.93"
"NIFTY TRANSPORTATION & LOGISTICS","17 Aug 2023","27.08","6.14","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","16 Aug 2023","27.02","6.12","0.93"
"NIFTY TRANSPORTATION & LOGISTICS","14 Aug 2023","27.18","6.11","0.93"
"NIFTY TRANSPORTATION & LOGISTICS","11 Aug 2023","27.32","6.14","0.92"
"NIFTY TRANSPORTATION & LOGISTICS","10 Aug 2023","27.49","6.17","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","09 Aug 2023","27.84","6.18","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","08 Aug 2023","27.63","6.14","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","07 Aug 2023","28.47","6.16","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","04 Aug 2023","28.59","6.13","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","03 Aug 2023","29.66","6.11","0.90"
"NIFTY TRANSPORTATION & LOGISTICS","02 Aug 2023","29.77","6.13","0.86"
"NIFTY TRANSPORTATION & LOGISTICS","01 Aug 2023","30.78","6.22","0.85"
"NIFTY TRANSPORTATION & LOGISTICS","31 Jul 2023","30.81","6.22","0.84"
"NIFTY TRANSPORTATION & LOGISTICS","28 Jul 2023","30.53","6.16","0.85"
"NIFTY TRANSPORTATION & LOGISTICS","27 Jul 2023","35.68","6.14","0.76"
"NIFTY TRANSPORTATION & LOGISTICS","26 Jul 2023","36.00","6.20","0.76"
"NIFTY TRANSPORTATION & LOGISTICS","25 Jul 2023","36.00","6.18","0.76"
"NIFTY TRANSPORTATION & LOGISTICS","24 Jul 2023","36.05","6.20","0.77"
"NIFTY TRANSPORTATION & LOGISTICS","21 Jul 2023","35.97","6.19","0.77"
"NIFTY TRANSPORTATION & LOGISTICS","20 Jul 2023","35.95","6.19","0.77"
"NIFTY TRANSPORTATION & LOGISTICS","19 Jul 2023","35.83","6.17","0.77"
