"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY200 MOMENTUM 30","31 Dec 2021","38.56","6.50","0.92"
"NIFTY200 MOMENTUM 30","30 Dec 2021","15.69","3.67","1.44"
"NIFTY200 MOMENTUM 30","29 Dec 2021","15.78","3.69","1.43"
"NIFTY200 MOMENTUM 30","28 Dec 2021","15.87","3.71","1.42"
"NIFTY200 MOMENTUM 30","27 Dec 2021","15.69","3.67","1.44"
"NIFTY200 MOMENTUM 30","24 Dec 2021","15.66","3.66","1.44"
"NIFTY200 MOMENTUM 30","23 Dec 2021","15.74","3.68","1.43"
"NIFTY200 MOMENTUM 30","22 Dec 2021","15.63","3.65","1.44"
"NIFTY200 MOMENTUM 30","21 Dec 2021","15.39","3.60","1.47"
"NIFTY200 MOMENTUM 30","20 Dec 2021","15.06","3.52","1.50"
"NIFTY200 MOMENTUM 30","17 Dec 2021","15.56","3.64","1.45"
"NIFTY200 MOMENTUM 30","16 Dec 2021","15.92","3.72","1.20"
"NIFTY200 MOMENTUM 30","15 Dec 2021","15.88","3.71","1.20"
"NIFTY200 MOMENTUM 30","14 Dec 2021","16.05","3.75","1.19"
"NIFTY200 MOMENTUM 30","13 Dec 2021","16.07","3.76","1.10"
"NIFTY200 MOMENTUM 30","10 Dec 2021","16.13","3.77","1.10"
"NIFTY200 MOMENTUM 30","09 Dec 2021","16.06","3.75","1.10"
"NIFTY200 MOMENTUM 30","08 Dec 2021","16.00","3.74","1.11"
"NIFTY200 MOMENTUM 30","07 Dec 2021","15.69","3.67","1.13"
"NIFTY200 MOMENTUM 30","06 Dec 2021","15.37","3.59","1.15"
"NIFTY200 MOMENTUM 30","03 Dec 2021","15.64","3.66","1.13"
"NIFTY200 MOMENTUM 30","02 Dec 2021","15.71","3.67","1.13"
"NIFTY200 MOMENTUM 30","01 Dec 2021","15.47","3.62","1.14"
"NIFTY200 MOMENTUM 30","30 Nov 2021","15.23","3.56","1.16"
"NIFTY200 MOMENTUM 30","29 Nov 2021","15.34","3.59","1.15"
"NIFTY200 MOMENTUM 30","26 Nov 2021","15.40","3.60","1.15"
"NIFTY200 MOMENTUM 30","25 Nov 2021","16.10","3.76","1.10"
"NIFTY200 MOMENTUM 30","24 Nov 2021","15.97","3.73","1.11"
"NIFTY200 MOMENTUM 30","23 Nov 2021","16.06","3.75","1.10"
"NIFTY200 MOMENTUM 30","22 Nov 2021","15.77","3.69","1.12"
"NIFTY200 MOMENTUM 30","18 Nov 2021","16.05","3.75","1.10"
"NIFTY200 MOMENTUM 30","17 Nov 2021","16.38","3.83","1.08"
"NIFTY200 MOMENTUM 30","16 Nov 2021","16.31","3.81","1.08"
"NIFTY200 MOMENTUM 30","15 Nov 2021","17.65","3.82","1.08"
"NIFTY200 MOMENTUM 30","12 Nov 2021","17.81","3.82","1.08"
"NIFTY200 MOMENTUM 30","11 Nov 2021","17.59","3.77","1.10"
"NIFTY200 MOMENTUM 30","10 Nov 2021","17.74","3.79","1.09"
"NIFTY200 MOMENTUM 30","09 Nov 2021","17.83","3.81","1.08"
"NIFTY200 MOMENTUM 30","08 Nov 2021","17.88","3.79","1.00"
"NIFTY200 MOMENTUM 30","04 Nov 2021","17.82","3.74","1.01"
"NIFTY200 MOMENTUM 30","03 Nov 2021","17.76","3.73","1.01"
"NIFTY200 MOMENTUM 30","02 Nov 2021","17.23","3.70","1.02"
"NIFTY200 MOMENTUM 30","01 Nov 2021","18.72","3.72","1.02"
"NIFTY200 MOMENTUM 30","29 Oct 2021","18.35","3.64","1.04"
"NIFTY200 MOMENTUM 30","28 Oct 2021","18.30","3.64","1.04"
"NIFTY200 MOMENTUM 30","27 Oct 2021","18.88","3.74","1.16"
"NIFTY200 MOMENTUM 30","26 Oct 2021","18.97","3.76","1.15"
"NIFTY200 MOMENTUM 30","25 Oct 2021","18.53","3.68","1.14"
"NIFTY200 MOMENTUM 30","22 Oct 2021","19.20","3.71","1.17"
"NIFTY200 MOMENTUM 30","21 Oct 2021","19.60","3.79","1.14"
"NIFTY200 MOMENTUM 30","20 Oct 2021","19.88","3.84","1.12"
"NIFTY200 MOMENTUM 30","19 Oct 2021","20.18","3.90","1.10"
"NIFTY200 MOMENTUM 30","18 Oct 2021","20.60","4.04","1.08"
"NIFTY200 MOMENTUM 30","14 Oct 2021","20.21","3.95","1.10"
"NIFTY200 MOMENTUM 30","13 Oct 2021","19.86","3.88","1.12"
"NIFTY200 MOMENTUM 30","12 Oct 2021","19.24","3.76","1.16"
"NIFTY200 MOMENTUM 30","11 Oct 2021","19.08","3.73","1.17"
"NIFTY200 MOMENTUM 30","08 Oct 2021","18.87","3.69","1.18"
"NIFTY200 MOMENTUM 30","07 Oct 2021","18.74","3.66","1.19"
"NIFTY200 MOMENTUM 30","06 Oct 2021","18.47","3.61","1.21"
"NIFTY200 MOMENTUM 30","05 Oct 2021","18.78","3.67","1.19"
"NIFTY200 MOMENTUM 30","04 Oct 2021","18.69","3.66","1.19"
"NIFTY200 MOMENTUM 30","01 Oct 2021","18.32","3.58","1.22"
"NIFTY200 MOMENTUM 30","30 Sep 2021","18.36","3.59","1.22"
"NIFTY200 MOMENTUM 30","29 Sep 2021","18.41","3.60","1.21"
"NIFTY200 MOMENTUM 30","28 Sep 2021","18.20","3.56","1.23"
"NIFTY200 MOMENTUM 30","27 Sep 2021","18.39","3.60","1.21"
"NIFTY200 MOMENTUM 30","24 Sep 2021","18.45","3.61","1.21"
"NIFTY200 MOMENTUM 30","23 Sep 2021","18.63","3.67","1.20"
"NIFTY200 MOMENTUM 30","22 Sep 2021","18.34","3.61","1.22"
"NIFTY200 MOMENTUM 30","21 Sep 2021","18.18","3.58","1.23"
"NIFTY200 MOMENTUM 30","20 Sep 2021","17.83","3.51","1.25"
"NIFTY200 MOMENTUM 30","17 Sep 2021","18.49","3.64","1.16"
"NIFTY200 MOMENTUM 30","16 Sep 2021","18.71","3.68","1.15"
"NIFTY200 MOMENTUM 30","15 Sep 2021","18.71","3.68","1.15"
"NIFTY200 MOMENTUM 30","14 Sep 2021","18.52","3.64","1.16"
"NIFTY200 MOMENTUM 30","13 Sep 2021","18.51","3.64","1.16"
"NIFTY200 MOMENTUM 30","09 Sep 2021","18.38","3.61","1.17"
"NIFTY200 MOMENTUM 30","08 Sep 2021","18.33","3.61","1.18"
"NIFTY200 MOMENTUM 30","07 Sep 2021","18.37","3.61","0.85"
"NIFTY200 MOMENTUM 30","06 Sep 2021","18.47","3.63","0.85"
"NIFTY200 MOMENTUM 30","03 Sep 2021","18.36","3.61","0.85"
"NIFTY200 MOMENTUM 30","02 Sep 2021","18.24","3.59","0.87"
"NIFTY200 MOMENTUM 30","01 Sep 2021","18.07","3.55","0.88"
"NIFTY200 MOMENTUM 30","31 Aug 2021","18.07","3.55","0.88"
"NIFTY200 MOMENTUM 30","30 Aug 2021","17.79","3.50","0.89"
"NIFTY200 MOMENTUM 30","27 Aug 2021","17.52","3.45","0.91"
"NIFTY200 MOMENTUM 30","26 Aug 2021","17.31","3.41","0.92"
"NIFTY200 MOMENTUM 30","25 Aug 2021","17.43","3.43","0.92"
