"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","12 Jun 2026","13490.45","13630.95","13431.25","13618.55"
"NIFTY 200","11 Jun 2026","13333.75","13422.95","13300.9","13333.70"
"NIFTY 200","10 Jun 2026","13471.5","13532.25","13377.05","13397.80"
"NIFTY 200","09 Jun 2026","13440.3","13487.6","13391.15","13471.15"
"NIFTY 200","08 Jun 2026","13360.45","13468.8","13330.85","13362.25"
"NIFTY 200","05 Jun 2026","13591.5","13618.45","13473.55","13527.00"
"NIFTY 200","04 Jun 2026","13471.9","13586.8","13450.3","13549.85"
"NIFTY 200","03 Jun 2026","13551.65","13562.9","13379.45","13528.85"
"NIFTY 200","02 Jun 2026","13442.3","13607.65","13421.35","13577.00"
"NIFTY 200","01 Jun 2026","13725.5","13758.1","13514.55","13528.35"
"NIFTY 200","29 May 2026","13884.6","13925.6","13629.8","13663.70"
"NIFTY 200","27 May 2026","13817.65","13883.75","13813.1","13861.60"
"NIFTY 200","26 May 2026","13843.55","13891","13799.15","13823.15"
"NIFTY 200","25 May 2026","13803.2","13862.55","13794.5","13849.10"
"NIFTY 200","22 May 2026","13659","13722.65","13643.65","13675.90"
"NIFTY 200","21 May 2026","13739.95","13759.55","13612.6","13639.60"
"NIFTY 200","20 May 2026","13509.15","13651.25","13473.95","13638.00"
"NIFTY 200","19 May 2026","13598.25","13681.85","13580.8","13598.50"
"NIFTY 200","18 May 2026","13505.6","13597.15","13379.85","13575.35"
"NIFTY 200","15 May 2026","13674.9","13706.3","13578.15","13596.35"
"NIFTY 200","14 May 2026","13563.1","13686.35","13477.3","13644.95"
"NIFTY 200","13 May 2026","13431.9","13582.9","13379.55","13488.30"
"NIFTY 200","12 May 2026","13677.35","13700.7","13421.3","13438.60"
"NIFTY 200","11 May 2026","13817.7","13821.3","13711.25","13721.40"
"NIFTY 200","08 May 2026","13956.25","13962.9","13897","13920.75"
"NIFTY 200","07 May 2026","14007.45","14053.45","13949.85","13991.90"
"NIFTY 200","06 May 2026","13868.35","13968.6","13783.25","13958.85"
"NIFTY 200","05 May 2026","13760.95","13790.55","13683","13768.65"
"NIFTY 200","04 May 2026","13760","13867.15","13718.85","13786.60"
"NIFTY 200","30 Apr 2026","13735.5","13753.6","13594.45","13705.55"
"NIFTY 200","29 Apr 2026","13821.95","13922","13790.7","13825.10"
"NIFTY 200","28 Apr 2026","13781.4","13843.35","13740.4","13759.85"
"NIFTY 200","27 Apr 2026","13697.8","13815.75","13694.2","13795.50"
"NIFTY 200","24 Apr 2026","13780.95","13831.75","13598.75","13656.85"
"NIFTY 200","23 Apr 2026","13838.7","13886.6","13789.7","13801.35"
