"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","31 Dec 2018","9285.80","9304.20","9224.25","9235.55"
"NIFTY AUTO","28 Dec 2018","9227.20","9282.80","9214.20","9223.80"
"NIFTY AUTO","27 Dec 2018","9308.60","9315.65","9166.25","9184.10"
"NIFTY AUTO","26 Dec 2018","9163.65","9270.30","9058.70","9227.00"
"NIFTY AUTO","24 Dec 2018","9345.35","9345.85","9194.50","9206.75"
"NIFTY AUTO","21 Dec 2018","9545.30","9579.60","9317.00","9337.25"
"NIFTY AUTO","20 Dec 2018","9454.15","9537.40","9418.85","9524.55"
"NIFTY AUTO","19 Dec 2018","9443.05","9516.05","9418.45","9507.70"
"NIFTY AUTO","18 Dec 2018","9306.65","9416.85","9283.70","9403.80"
"NIFTY AUTO","17 Dec 2018","9304.65","9364.50","9278.30","9335.80"
"NIFTY AUTO","14 Dec 2018","9250.80","9314.40","9202.90","9271.50"
"NIFTY AUTO","13 Dec 2018","9200.00","9307.70","9188.70","9254.20"
"NIFTY AUTO","12 Dec 2018","8889.40","9175.70","8866.65","9166.15"
"NIFTY AUTO","11 Dec 2018","8671.85","8880.60","8650.95","8846.80"
"NIFTY AUTO","10 Dec 2018","8720.30","8850.10","8685.25","8784.25"
"NIFTY AUTO","07 Dec 2018","8855.80","8875.90","8788.65","8869.80"
"NIFTY AUTO","06 Dec 2018","8928.45","8933.45","8771.95","8791.40"
"NIFTY AUTO","05 Dec 2018","9164.50","9164.50","8977.75","8992.90"
"NIFTY AUTO","04 Dec 2018","9274.25","9276.85","9199.00","9212.20"
"NIFTY AUTO","03 Dec 2018","9311.65","9311.65","9214.10","9260.60"
"NIFTY AUTO","30 Nov 2018","9205.55","9292.50","9196.35","9270.20"
"NIFTY AUTO","29 Nov 2018","9166.60","9236.05","9128.05","9202.10"
"NIFTY AUTO","28 Nov 2018","9189.55","9227.60","9081.95","9096.45"
"NIFTY AUTO","27 Nov 2018","9154.15","9173.75","9098.60","9165.00"
"NIFTY AUTO","26 Nov 2018","9089.40","9174.50","9006.05","9158.80"
"NIFTY AUTO","22 Nov 2018","9126.10","9137.65","9043.40","9062.65"
"NIFTY AUTO","21 Nov 2018","9154.75","9178.75","9084.75","9119.30"
"NIFTY AUTO","20 Nov 2018","9200.80","9238.35","9114.40","9133.65"
"NIFTY AUTO","19 Nov 2018","9159.20","9225.90","9140.95","9207.65"
"NIFTY AUTO","16 Nov 2018","9128.50","9183.40","9068.45","9112.35"
"NIFTY AUTO","15 Nov 2018","9086.90","9144.10","9030.35","9108.25"
