"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","12 Jun 2026","55934.1","56867.1","55726.55","56814.80"
"NIFTY BANK","11 Jun 2026","54779.65","55600.15","54753.15","55176.75"
"NIFTY BANK","10 Jun 2026","55110.5","55555.85","55026.15","55100.30"
"NIFTY BANK","09 Jun 2026","54265","55318.35","54242.3","55194.50"
"NIFTY BANK","08 Jun 2026","53853.45","54455.2","53843.3","54063.75"
"NIFTY BANK","05 Jun 2026","54405.2","54865.5","54140.6","54496.25"
"NIFTY BANK","04 Jun 2026","53918.85","54461","53829.4","54307.85"
"NIFTY BANK","03 Jun 2026","53541.1","54299.35","53027.15","54185.95"
"NIFTY BANK","02 Jun 2026","53265.1","53933.55","53121.85","53714.65"
"NIFTY BANK","01 Jun 2026","54403.85","54582.75","53470","53643.10"
"NIFTY BANK","29 May 2026","54748.3","55184.45","54116.15","54239.20"
"NIFTY BANK","27 May 2026","54992.95","55221.7","54738.6","54853.85"
"NIFTY BANK","26 May 2026","55311.8","55536.8","54979.75","55092.90"
"NIFTY BANK","25 May 2026","54610.55","55405.2","54590.7","55293.65"
"NIFTY BANK","22 May 2026","53483.85","54213.05","53483.55","54055.35"
"NIFTY BANK","21 May 2026","53963.1","54109.15","53156.15","53439.40"
"NIFTY BANK","20 May 2026","53015.7","53640.9","52836.1","53562.20"
"NIFTY BANK","19 May 2026","53553.75","53770.65","53337.05","53409.15"
"NIFTY BANK","18 May 2026","53282.15","53667.55","52783.45","53537.00"
"NIFTY BANK","15 May 2026","54207.75","54325.45","53628.3","53710.35"
"NIFTY BANK","14 May 2026","53639.5","54393.75","53191.6","54128.95"
"NIFTY BANK","13 May 2026","53600.4","54103.9","53194.25","53456.15"
"NIFTY BANK","12 May 2026","54178.4","54365.45","53457.5","53555.20"
"NIFTY BANK","11 May 2026","54832.45","55002.45","54360.7","54439.90"
"NIFTY BANK","08 May 2026","55783.95","55797.7","55062.5","55310.55"
"NIFTY BANK","07 May 2026","56114","56334.15","55783.2","56047.40"
"NIFTY BANK","06 May 2026","55113.4","56078.8","54587.2","55981.05"
"NIFTY BANK","05 May 2026","54691.3","54888.55","54221.65","54547.05"
"NIFTY BANK","04 May 2026","54937.9","55602.3","54723.5","54878.50"
"NIFTY BANK","30 Apr 2026","54880.65","55111.6","54440.25","54863.35"
"NIFTY BANK","29 Apr 2026","55634.5","56178.75","55290.5","55403.60"
"NIFTY BANK","28 Apr 2026","55862.5","56138.05","55263.75","55400.35"
"NIFTY BANK","27 Apr 2026","56162.6","56474.95","55911.1","56264.30"
"NIFTY BANK","24 Apr 2026","56170.2","56460.5","55750.4","56089.75"
"NIFTY BANK","23 Apr 2026","56608.95","56868.7","56217.15","56305.00"
"NIFTY BANK","22 Apr 2026","57163.35","57438.2","57002.15","57124.45"
"NIFTY BANK","21 Apr 2026","56823.6","57456.3","56696.3","57371.45"
"NIFTY BANK","20 Apr 2026","56704.05","57085.1","56356.55","56582.35"
"NIFTY BANK","17 Apr 2026","56072.4","56628.7","55841.65","56565.70"
"NIFTY BANK","16 Apr 2026","56657.25","56834.25","55898.25","56086.40"
"NIFTY BANK","15 Apr 2026","56343.45","56786.25","56109.2","56301.95"
"NIFTY BANK","13 Apr 2026","54646","55752.65","54356.2","55605.05"
"NIFTY BANK","10 Apr 2026","55182.25","55978.5","55145.25","55912.75"
"NIFTY BANK","09 Apr 2026","55505.95","55583.1","54626.85","54821.70"
"NIFTY BANK","08 Apr 2026","54904.45","55778.25","54797.5","55703.90"
"NIFTY BANK","07 Apr 2026","52258.7","52778.2","51868.45","52716.25"
"NIFTY BANK","06 Apr 2026","51747.6","52704.55","51111.1","52609.10"
"NIFTY BANK","02 Apr 2026","50625.65","51731.95","49954.85","51548.75"
"NIFTY BANK","01 Apr 2026","51433.9","52025.85","51133.55","51448.65"
"NIFTY BANK","30 Mar 2026","51527.9","51624.5","50105.25","50275.35"
"NIFTY BANK","27 Mar 2026","53244.25","53292.5","52211.2","52274.60"
"NIFTY BANK","25 Mar 2026","53024.75","54146.15","53024.75","53708.10"
"NIFTY BANK","24 Mar 2026","52384.8","52949.15","51827.5","52605.65"
"NIFTY BANK","23 Mar 2026","52576.1","52665.3","51323.6","51437.75"
"NIFTY BANK","20 Mar 2026","53548.2","54382.45","53297.55","53427.05"
"NIFTY BANK","19 Mar 2026","53474.55","54150.3","53240.6","53451.00"
"NIFTY BANK","18 Mar 2026","54927.05","55554.15","54689.1","55326.05"
"NIFTY BANK","17 Mar 2026","54649.1","54996","54113.15","54876.00"
"NIFTY BANK","16 Mar 2026","53721.5","54664.15","53258.15","54413.40"
"NIFTY BANK","13 Mar 2026","54592.05","54713.75","53675.7","53757.85"
"NIFTY BANK","12 Mar 2026","55008.2","55636.95","54760.55","55100.95"
"NIFTY BANK","11 Mar 2026","56790.4","56938.4","55631.95","55735.75"
"NIFTY BANK","10 Mar 2026","56583.85","57097.05","56387.2","56950.80"
"NIFTY BANK","09 Mar 2026","56121.4","56274.15","55270.6","56019.80"
"NIFTY BANK","06 Mar 2026","58629.6","58807.15","57696.4","57783.25"
"NIFTY BANK","05 Mar 2026","59008.25","59274.35","58506.4","59055.85"
"NIFTY BANK","04 Mar 2026","58447.15","59058.4","58393.55","58755.25"
"NIFTY BANK","02 Mar 2026","59204.3","60177.5","59148","59839.65"
"NIFTY BANK","27 Feb 2026","61057.45","61086.45","60438.95","60529.00"
"NIFTY BANK","26 Feb 2026","61193.9","61284.75","60813.3","61187.70"
"NIFTY BANK","25 Feb 2026","61175.05","61317.55","60816.75","61043.35"
"NIFTY BANK","24 Feb 2026","61392.1","61435.65","60801.85","61047.30"
"NIFTY BANK","23 Feb 2026","61145.55","61517.8","61029.15","61264.25"
"NIFTY BANK","20 Feb 2026","60627.85","61360.5","60562.35","61172.00"
"NIFTY BANK","19 Feb 2026","61660.85","61678.8","60592.9","60739.55"
"NIFTY BANK","18 Feb 2026","61255.35","61596.85","61100.9","61550.80"
"NIFTY BANK","17 Feb 2026","60821.15","61241.6","60560","61174.00"
"NIFTY BANK","16 Feb 2026","59947.8","61011.3","59861.1","60949.10"
"NIFTY BANK","13 Feb 2026","60504.4","60621.9","60073.55","60186.65"
"NIFTY BANK","12 Feb 2026","60786.15","60864.4","60597.65","60739.75"
"NIFTY BANK","11 Feb 2026","60670.25","60779.95","60444.65","60745.35"
"NIFTY BANK","10 Feb 2026","60740.8","60797.55","60531.55","60626.40"
"NIFTY BANK","09 Feb 2026","60805.2","60876.2","60495.7","60669.35"
"NIFTY BANK","06 Feb 2026","59967.1","60149.9","59644.55","60120.55"
"NIFTY BANK","05 Feb 2026","60315.35","60328.3","59881.05","60063.65"
"NIFTY BANK","04 Feb 2026","60163.35","60389.4","59891.75","60238.15"
"NIFTY BANK","03 Feb 2026","61411.2","61764.85","59793.2","60041.30"
"NIFTY BANK","02 Feb 2026","58239.3","58687.05","57829.85","58619.00"
"NIFTY BANK","01 Feb 2026","59607.65","59865.7","57783.2","58417.20"
"NIFTY BANK","30 Jan 2026","59542.25","59906.9","59501.8","59610.45"
"NIFTY BANK","29 Jan 2026","59416.25","60060.7","59339","59957.85"
"NIFTY BANK","28 Jan 2026","59575.65","59699.9","59240.1","59598.80"
"NIFTY BANK","27 Jan 2026","58366.05","59436.8","58121.6","59205.45"
"NIFTY BANK","23 Jan 2026","59305.15","59400.15","58346.25","58473.10"
"NIFTY BANK","22 Jan 2026","59194.25","59573.1","58823.05","59200.10"
"NIFTY BANK","21 Jan 2026","59142","59447.35","58278.6","58800.30"
"NIFTY BANK","20 Jan 2026","59851.4","59993.5","59283.95","59404.20"
"NIFTY BANK","19 Jan 2026","60093.3","60107.5","59594.6","59891.35"
"NIFTY BANK","16 Jan 2026","59590.35","60235.15","59510.5","60095.15"
"NIFTY BANK","14 Jan 2026","59330.35","59796.65","59324.2","59580.15"
"NIFTY BANK","13 Jan 2026","59767.55","59767.55","59312.05","59578.80"
"NIFTY BANK","12 Jan 2026","59217.25","59541.1","58864.2","59450.50"
