"Index Name","Date","Open","High","Low","Close"
"NIFTY CONSUMER DURABLES","29 Dec 2017","-","-","-","14593.46"
"NIFTY CONSUMER DURABLES","28 Dec 2017","-","-","-","14428.54"
"NIFTY CONSUMER DURABLES","27 Dec 2017","-","-","-","14428.68"
"NIFTY CONSUMER DURABLES","26 Dec 2017","-","-","-","14486.04"
"NIFTY CONSUMER DURABLES","22 Dec 2017","-","-","-","14477.90"
"NIFTY CONSUMER DURABLES","21 Dec 2017","-","-","-","14508.49"
"NIFTY CONSUMER DURABLES","20 Dec 2017","-","-","-","14562.26"
"NIFTY CONSUMER DURABLES","19 Dec 2017","-","-","-","14514.53"
"NIFTY CONSUMER DURABLES","18 Dec 2017","-","-","-","14293.00"
"NIFTY CONSUMER DURABLES","15 Dec 2017","-","-","-","14185.61"
"NIFTY CONSUMER DURABLES","14 Dec 2017","-","-","-","13944.02"
"NIFTY CONSUMER DURABLES","13 Dec 2017","-","-","-","13975.88"
"NIFTY CONSUMER DURABLES","12 Dec 2017","-","-","-","14073.67"
"NIFTY CONSUMER DURABLES","11 Dec 2017","-","-","-","14048.68"
"NIFTY CONSUMER DURABLES","08 Dec 2017","-","-","-","14030.67"
"NIFTY CONSUMER DURABLES","07 Dec 2017","-","-","-","13851.98"
"NIFTY CONSUMER DURABLES","06 Dec 2017","-","-","-","13541.62"
"NIFTY CONSUMER DURABLES","05 Dec 2017","-","-","-","13601.97"
"NIFTY CONSUMER DURABLES","04 Dec 2017","-","-","-","13648.74"
"NIFTY CONSUMER DURABLES","01 Dec 2017","-","-","-","13619.78"
"NIFTY CONSUMER DURABLES","30 Nov 2017","-","-","-","13740.02"
"NIFTY CONSUMER DURABLES","29 Nov 2017","-","-","-","13780.99"
"NIFTY CONSUMER DURABLES","28 Nov 2017","-","-","-","13706.20"
"NIFTY CONSUMER DURABLES","27 Nov 2017","-","-","-","13823.59"
"NIFTY CONSUMER DURABLES","24 Nov 2017","-","-","-","13747.23"
"NIFTY CONSUMER DURABLES","23 Nov 2017","-","-","-","13402.39"
"NIFTY CONSUMER DURABLES","22 Nov 2017","-","-","-","13355.78"
"NIFTY CONSUMER DURABLES","21 Nov 2017","-","-","-","13420.91"
"NIFTY CONSUMER DURABLES","20 Nov 2017","-","-","-","13214.21"
"NIFTY CONSUMER DURABLES","17 Nov 2017","-","-","-","13179.27"
"NIFTY CONSUMER DURABLES","16 Nov 2017","-","-","-","12982.08"
"NIFTY CONSUMER DURABLES","15 Nov 2017","-","-","-","12985.67"
