"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Dec 2024","25213.25","25241.25","24974.7","25137.05"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Dec 2024","25251.15","25469.15","25074.15","25335.75"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Dec 2024","25374.5","25485.9","25232.6","25252.20"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Dec 2024","25230.85","25341.5","25164.4","25311.60"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Dec 2024","25333.6","25381.8","25137.45","25189.10"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Dec 2024","25427.85","25561.8","25216.05","25329.85"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Dec 2024","25914.7","25958.25","25228.55","25282.35"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Dec 2024","25621.55","25923.15","25518.85","25891.10"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Dec 2024","26395.75","26432.5","25953.9","26068.60"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Dec 2024","26731","26749.2","26353.05","26411.80"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Dec 2024","26729.55","26883.5","26672.8","26742.80"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Dec 2024","-","-","-","26701.29"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Dec 2024","-","-","-","26813.61"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Dec 2024","-","-","-","26953.22"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Dec 2024","-","-","-","26685.81"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Dec 2024","-","-","-","26531.27"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Dec 2024","-","-","-","26380.98"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Dec 2024","-","-","-","26186.88"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Dec 2024","-","-","-","25971.93"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Dec 2024","-","-","-","25645.18"
"NIFTY FINANCIAL SERVICES EX-BANK","02 Dec 2024","-","-","-","25409.40"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Nov 2024","-","-","-","25339.31"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Nov 2024","-","-","-","25259.09"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Nov 2024","-","-","-","25443.36"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Nov 2024","-","-","-","25322.24"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Nov 2024","-","-","-","25318.74"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Nov 2024","-","-","-","24998.70"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Nov 2024","-","-","-","24597.88"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Nov 2024","-","-","-","24992.45"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Nov 2024","-","-","-","24979.75"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Nov 2024","-","-","-","24948.54"
"NIFTY FINANCIAL SERVICES EX-BANK","13 Nov 2024","-","-","-","24748.16"
"NIFTY FINANCIAL SERVICES EX-BANK","12 Nov 2024","-","-","-","25282.39"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Nov 2024","-","-","-","25601.54"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Nov 2024","-","-","-","25664.39"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Nov 2024","-","-","-","26006.86"
"NIFTY FINANCIAL SERVICES EX-BANK","06 Nov 2024","-","-","-","26197.45"
"NIFTY FINANCIAL SERVICES EX-BANK","05 Nov 2024","-","-","-","26026.54"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Nov 2024","-","-","-","25782.29"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Nov 2024","-","-","-","26113.03"
"NIFTY FINANCIAL SERVICES EX-BANK","31 Oct 2024","-","-","-","25961.23"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Oct 2024","-","-","-","26087.03"
"NIFTY FINANCIAL SERVICES EX-BANK","29 Oct 2024","-","-","-","26340.27"
"NIFTY FINANCIAL SERVICES EX-BANK","28 Oct 2024","-","-","-","25770.00"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Oct 2024","-","-","-","25552.10"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Oct 2024","-","-","-","26054.29"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Oct 2024","-","-","-","26029.25"
"NIFTY FINANCIAL SERVICES EX-BANK","22 Oct 2024","-","-","-","25739.31"
"NIFTY FINANCIAL SERVICES EX-BANK","21 Oct 2024","-","-","-","26429.25"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Oct 2024","-","-","-","26724.00"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Oct 2024","-","-","-","26566.61"
"NIFTY FINANCIAL SERVICES EX-BANK","16 Oct 2024","-","-","-","27067.57"
"NIFTY FINANCIAL SERVICES EX-BANK","15 Oct 2024","-","-","-","27105.51"
"NIFTY FINANCIAL SERVICES EX-BANK","14 Oct 2024","-","-","-","27269.79"
"NIFTY FINANCIAL SERVICES EX-BANK","11 Oct 2024","-","-","-","27133.09"
"NIFTY FINANCIAL SERVICES EX-BANK","10 Oct 2024","-","-","-","27108.63"
"NIFTY FINANCIAL SERVICES EX-BANK","09 Oct 2024","-","-","-","27114.63"
"NIFTY FINANCIAL SERVICES EX-BANK","08 Oct 2024","-","-","-","26864.06"
"NIFTY FINANCIAL SERVICES EX-BANK","07 Oct 2024","-","-","-","26575.28"
"NIFTY FINANCIAL SERVICES EX-BANK","04 Oct 2024","-","-","-","26975.74"
"NIFTY FINANCIAL SERVICES EX-BANK","03 Oct 2024","-","-","-","27275.62"
"NIFTY FINANCIAL SERVICES EX-BANK","01 Oct 2024","-","-","-","27964.28"
"NIFTY FINANCIAL SERVICES EX-BANK","30 Sep 2024","-","-","-","27891.56"
"NIFTY FINANCIAL SERVICES EX-BANK","27 Sep 2024","-","-","-","28195.69"
"NIFTY FINANCIAL SERVICES EX-BANK","26 Sep 2024","-","-","-","28182.78"
"NIFTY FINANCIAL SERVICES EX-BANK","25 Sep 2024","-","-","-","27896.69"
"NIFTY FINANCIAL SERVICES EX-BANK","24 Sep 2024","-","-","-","27987.94"
"NIFTY FINANCIAL SERVICES EX-BANK","23 Sep 2024","-","-","-","28262.33"
"NIFTY FINANCIAL SERVICES EX-BANK","20 Sep 2024","-","-","-","28002.18"
"NIFTY FINANCIAL SERVICES EX-BANK","19 Sep 2024","-","-","-","27677.76"
"NIFTY FINANCIAL SERVICES EX-BANK","18 Sep 2024","-","-","-","27787.58"
"NIFTY FINANCIAL SERVICES EX-BANK","17 Sep 2024","-","-","-","27309.64"
