"Index Name","Date","Open","High","Low","Close"
"NIFTY FINANCIAL SERVICES","05 Jun 2026","25085.6","25355.1","24950.65","25056.80"
"NIFTY FINANCIAL SERVICES","04 Jun 2026","24824.4","25120.3","24787.35","25031.25"
"NIFTY FINANCIAL SERVICES","03 Jun 2026","24794.55","25023.7","24530.8","24955.70"
"NIFTY FINANCIAL SERVICES","02 Jun 2026","24782.45","24973.25","24663.25","24861.25"
"NIFTY FINANCIAL SERVICES","01 Jun 2026","25428.7","25488.5","24959.6","25008.45"
"NIFTY FINANCIAL SERVICES","29 May 2026","25643.6","25816.25","25288.05","25354.00"
"NIFTY FINANCIAL SERVICES","27 May 2026","25901.45","25947.3","25715.8","25752.20"
"NIFTY FINANCIAL SERVICES","26 May 2026","26092.55","26179.4","25886.25","25932.25"
"NIFTY FINANCIAL SERVICES","25 May 2026","25805.8","26145.75","25797.95","26102.15"
"NIFTY FINANCIAL SERVICES","22 May 2026","25269.9","25628.2","25265.95","25531.50"
"NIFTY FINANCIAL SERVICES","21 May 2026","25493.35","25537.9","25126.4","25237.20"
"NIFTY FINANCIAL SERVICES","20 May 2026","25078.45","25329.15","25010.3","25294.60"
"NIFTY FINANCIAL SERVICES","19 May 2026","25350.2","25460.6","25256.4","25283.40"
"NIFTY FINANCIAL SERVICES","18 May 2026","25087.65","25403.1","24911.45","25349.75"
"NIFTY FINANCIAL SERVICES","15 May 2026","25470.7","25614.75","25304.05","25343.85"
"NIFTY FINANCIAL SERVICES","14 May 2026","25200.75","25590.75","25041.5","25472.50"
"NIFTY FINANCIAL SERVICES","13 May 2026","25152.55","25375","24970.4","25116.65"
"NIFTY FINANCIAL SERVICES","12 May 2026","25539.75","25595.9","25096.25","25137.15"
"NIFTY FINANCIAL SERVICES","11 May 2026","25765.2","25903.5","25580.6","25655.45"
"NIFTY FINANCIAL SERVICES","08 May 2026","26344.35","26353.15","25953.8","26011.50"
"NIFTY FINANCIAL SERVICES","07 May 2026","26494.7","26592","26352.75","26449.50"
"NIFTY FINANCIAL SERVICES","06 May 2026","25938.35","26450.45","25828.05","26392.75"
