"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","12 Jun 2026","48829.85","49007.75","48654.8","48827.60"
"NIFTY FMCG","11 Jun 2026","48852.2","48964.45","48464.85","48521.80"
"NIFTY FMCG","10 Jun 2026","48484.15","49439.55","48390.35","48957.00"
"NIFTY FMCG","09 Jun 2026","48316.8","48506.6","48056.1","48447.40"
"NIFTY FMCG","08 Jun 2026","47935.1","48458.55","47674.7","48098.65"
"NIFTY FMCG","05 Jun 2026","48277.7","48369.25","48026.4","48302.45"
"NIFTY FMCG","04 Jun 2026","48067.95","48538.1","47851.25","48216.00"
"NIFTY FMCG","03 Jun 2026","48617.3","48617.3","47922.8","48123.95"
"NIFTY FMCG","02 Jun 2026","47996.4","48668.65","47867.65","48612.80"
"NIFTY FMCG","01 Jun 2026","49474.55","49571.65","48127.5","48247.70"
"NIFTY FMCG","29 May 2026","49956.2","50245.55","49083.45","49383.35"
"NIFTY FMCG","27 May 2026","50320.75","50467.5","50053.9","50141.90"
"NIFTY FMCG","26 May 2026","50223.8","50300.45","50030.1","50227.35"
"NIFTY FMCG","25 May 2026","50572.8","50721.1","50062.15","50157.75"
"NIFTY FMCG","22 May 2026","50308.5","50520.15","50035.25","50249.80"
"NIFTY FMCG","21 May 2026","50800.8","50901.6","50138.1","50263.55"
"NIFTY FMCG","20 May 2026","50564.7","50657.7","50313.35","50520.55"
"NIFTY FMCG","19 May 2026","50920.2","51467.65","50800.35","50883.35"
"NIFTY FMCG","18 May 2026","50973.8","50987.05","50344.1","50900.10"
"NIFTY FMCG","15 May 2026","50848.85","51440.2","50776.5","51051.35"
"NIFTY FMCG","14 May 2026","50727.5","51061.05","50513.65","50779.15"
"NIFTY FMCG","13 May 2026","50541.15","50917.1","50397","50604.85"
"NIFTY FMCG","12 May 2026","51019.8","51237.2","50396.5","50453.90"
"NIFTY FMCG","11 May 2026","51118.15","51444.15","50870.4","51205.65"
"NIFTY FMCG","08 May 2026","51107.55","51320.15","50756.85","51165.90"
"NIFTY FMCG","07 May 2026","51485.45","51504.95","51000.1","51068.45"
"NIFTY FMCG","06 May 2026","51898.85","51947.35","51194.7","51460.55"
"NIFTY FMCG","05 May 2026","51249.85","51642.7","51036.25","51593.55"
"NIFTY FMCG","04 May 2026","51383","51972.9","51129.2","51266.00"
"NIFTY FMCG","30 Apr 2026","51723.45","51829.1","50680.1","51072.10"
"NIFTY FMCG","29 Apr 2026","51065.3","52067.05","51027.75","51771.80"
"NIFTY FMCG","28 Apr 2026","51047.1","51182.3","50817.35","50882.75"
"NIFTY FMCG","27 Apr 2026","50990.9","51336.95","50878.3","51046.50"
"NIFTY FMCG","24 Apr 2026","51383.3","51383.3","50571.75","50766.25"
