"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA DEFENCE","31 Dec 2020","-","-","-","850.20"
"NIFTY INDIA DEFENCE","30 Dec 2020","-","-","-","842.86"
"NIFTY INDIA DEFENCE","29 Dec 2020","-","-","-","841.15"
"NIFTY INDIA DEFENCE","28 Dec 2020","-","-","-","833.69"
"NIFTY INDIA DEFENCE","24 Dec 2020","-","-","-","829.53"
"NIFTY INDIA DEFENCE","23 Dec 2020","-","-","-","814.44"
"NIFTY INDIA DEFENCE","22 Dec 2020","-","-","-","791.21"
"NIFTY INDIA DEFENCE","21 Dec 2020","-","-","-","790.48"
"NIFTY INDIA DEFENCE","18 Dec 2020","-","-","-","840.15"
"NIFTY INDIA DEFENCE","17 Dec 2020","-","-","-","838.62"
"NIFTY INDIA DEFENCE","16 Dec 2020","-","-","-","834.27"
"NIFTY INDIA DEFENCE","15 Dec 2020","-","-","-","820.88"
"NIFTY INDIA DEFENCE","14 Dec 2020","-","-","-","820.87"
"NIFTY INDIA DEFENCE","11 Dec 2020","-","-","-","808.91"
"NIFTY INDIA DEFENCE","10 Dec 2020","-","-","-","807.08"
"NIFTY INDIA DEFENCE","09 Dec 2020","-","-","-","816.40"
"NIFTY INDIA DEFENCE","08 Dec 2020","-","-","-","811.23"
"NIFTY INDIA DEFENCE","07 Dec 2020","-","-","-","817.28"
"NIFTY INDIA DEFENCE","04 Dec 2020","-","-","-","793.46"
"NIFTY INDIA DEFENCE","03 Dec 2020","-","-","-","792.04"
"NIFTY INDIA DEFENCE","02 Dec 2020","-","-","-","781.37"
"NIFTY INDIA DEFENCE","01 Dec 2020","-","-","-","784.00"
"NIFTY INDIA DEFENCE","27 Nov 2020","-","-","-","781.23"
"NIFTY INDIA DEFENCE","26 Nov 2020","-","-","-","771.84"
"NIFTY INDIA DEFENCE","25 Nov 2020","-","-","-","768.10"
"NIFTY INDIA DEFENCE","24 Nov 2020","-","-","-","762.71"
"NIFTY INDIA DEFENCE","23 Nov 2020","-","-","-","745.28"
"NIFTY INDIA DEFENCE","20 Nov 2020","-","-","-","737.02"
"NIFTY INDIA DEFENCE","19 Nov 2020","-","-","-","735.27"
"NIFTY INDIA DEFENCE","18 Nov 2020","-","-","-","729.24"
"NIFTY INDIA DEFENCE","17 Nov 2020","-","-","-","730.23"
"NIFTY INDIA DEFENCE","14 Nov 2020","-","-","-","735.38"
"NIFTY INDIA DEFENCE","13 Nov 2020","-","-","-","725.21"
"NIFTY INDIA DEFENCE","12 Nov 2020","-","-","-","730.21"
"NIFTY INDIA DEFENCE","11 Nov 2020","-","-","-","723.43"
"NIFTY INDIA DEFENCE","10 Nov 2020","-","-","-","720.47"
"NIFTY INDIA DEFENCE","09 Nov 2020","-","-","-","724.24"
"NIFTY INDIA DEFENCE","06 Nov 2020","-","-","-","721.00"
"NIFTY INDIA DEFENCE","05 Nov 2020","-","-","-","717.15"
"NIFTY INDIA DEFENCE","04 Nov 2020","-","-","-","700.08"
"NIFTY INDIA DEFENCE","03 Nov 2020","-","-","-","701.47"
"NIFTY INDIA DEFENCE","02 Nov 2020","-","-","-","702.96"
"NIFTY INDIA DEFENCE","30 Oct 2020","-","-","-","707.91"
"NIFTY INDIA DEFENCE","29 Oct 2020","-","-","-","711.92"
"NIFTY INDIA DEFENCE","28 Oct 2020","-","-","-","718.24"
"NIFTY INDIA DEFENCE","27 Oct 2020","-","-","-","723.18"
"NIFTY INDIA DEFENCE","26 Oct 2020","-","-","-","728.02"
"NIFTY INDIA DEFENCE","23 Oct 2020","-","-","-","732.66"
"NIFTY INDIA DEFENCE","22 Oct 2020","-","-","-","727.99"
"NIFTY INDIA DEFENCE","21 Oct 2020","-","-","-","709.78"
"NIFTY INDIA DEFENCE","20 Oct 2020","-","-","-","713.17"
"NIFTY INDIA DEFENCE","19 Oct 2020","-","-","-","722.61"
"NIFTY INDIA DEFENCE","16 Oct 2020","-","-","-","720.76"
"NIFTY INDIA DEFENCE","15 Oct 2020","-","-","-","718.45"
"NIFTY INDIA DEFENCE","14 Oct 2020","-","-","-","732.69"
"NIFTY INDIA DEFENCE","13 Oct 2020","-","-","-","737.02"
"NIFTY INDIA DEFENCE","12 Oct 2020","-","-","-","740.62"
"NIFTY INDIA DEFENCE","09 Oct 2020","-","-","-","754.61"
"NIFTY INDIA DEFENCE","08 Oct 2020","-","-","-","756.74"
"NIFTY INDIA DEFENCE","07 Oct 2020","-","-","-","761.20"
"NIFTY INDIA DEFENCE","06 Oct 2020","-","-","-","770.28"
"NIFTY INDIA DEFENCE","05 Oct 2020","-","-","-","770.50"
"NIFTY INDIA DEFENCE","01 Oct 2020","-","-","-","761.77"
"NIFTY INDIA DEFENCE","30 Sep 2020","-","-","-","754.35"
"NIFTY INDIA DEFENCE","29 Sep 2020","-","-","-","741.99"
"NIFTY INDIA DEFENCE","28 Sep 2020","-","-","-","737.95"
"NIFTY INDIA DEFENCE","25 Sep 2020","-","-","-","722.65"
"NIFTY INDIA DEFENCE","24 Sep 2020","-","-","-","719.83"
"NIFTY INDIA DEFENCE","23 Sep 2020","-","-","-","722.92"
"NIFTY INDIA DEFENCE","22 Sep 2020","-","-","-","724.58"
"NIFTY INDIA DEFENCE","21 Sep 2020","-","-","-","747.20"
"NIFTY INDIA DEFENCE","18 Sep 2020","-","-","-","767.21"
"NIFTY INDIA DEFENCE","17 Sep 2020","-","-","-","761.22"
"NIFTY INDIA DEFENCE","16 Sep 2020","-","-","-","769.10"
"NIFTY INDIA DEFENCE","15 Sep 2020","-","-","-","768.65"
"NIFTY INDIA DEFENCE","14 Sep 2020","-","-","-","761.50"
"NIFTY INDIA DEFENCE","11 Sep 2020","-","-","-","746.96"
"NIFTY INDIA DEFENCE","10 Sep 2020","-","-","-","749.97"
"NIFTY INDIA DEFENCE","09 Sep 2020","-","-","-","738.75"
"NIFTY INDIA DEFENCE","08 Sep 2020","-","-","-","753.77"
"NIFTY INDIA DEFENCE","07 Sep 2020","-","-","-","784.81"
"NIFTY INDIA DEFENCE","04 Sep 2020","-","-","-","797.63"
"NIFTY INDIA DEFENCE","03 Sep 2020","-","-","-","808.05"
"NIFTY INDIA DEFENCE","02 Sep 2020","-","-","-","801.16"
"NIFTY INDIA DEFENCE","01 Sep 2020","-","-","-","800.19"
"NIFTY INDIA DEFENCE","31 Aug 2020","-","-","-","812.58"
"NIFTY INDIA DEFENCE","28 Aug 2020","-","-","-","861.23"
"NIFTY INDIA DEFENCE","27 Aug 2020","-","-","-","859.55"
"NIFTY INDIA DEFENCE","26 Aug 2020","-","-","-","884.97"
"NIFTY INDIA DEFENCE","25 Aug 2020","-","-","-","884.05"
"NIFTY INDIA DEFENCE","24 Aug 2020","-","-","-","890.86"
"NIFTY INDIA DEFENCE","21 Aug 2020","-","-","-","891.56"
"NIFTY INDIA DEFENCE","20 Aug 2020","-","-","-","876.87"
"NIFTY INDIA DEFENCE","19 Aug 2020","-","-","-","888.32"
"NIFTY INDIA DEFENCE","18 Aug 2020","-","-","-","879.52"
"NIFTY INDIA DEFENCE","17 Aug 2020","-","-","-","870.47"
