"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA DIGITAL","29 Dec 2006","-","-","-","1899.34"
"NIFTY INDIA DIGITAL","28 Dec 2006","-","-","-","1891.20"
"NIFTY INDIA DIGITAL","27 Dec 2006","-","-","-","1892.54"
"NIFTY INDIA DIGITAL","26 Dec 2006","-","-","-","1857.60"
"NIFTY INDIA DIGITAL","22 Dec 2006","-","-","-","1825.07"
"NIFTY INDIA DIGITAL","21 Dec 2006","-","-","-","1802.59"
"NIFTY INDIA DIGITAL","20 Dec 2006","-","-","-","1789.99"
"NIFTY INDIA DIGITAL","19 Dec 2006","-","-","-","1803.61"
"NIFTY INDIA DIGITAL","18 Dec 2006","-","-","-","1849.76"
"NIFTY INDIA DIGITAL","15 Dec 2006","-","-","-","1833.75"
"NIFTY INDIA DIGITAL","14 Dec 2006","-","-","-","1811.11"
"NIFTY INDIA DIGITAL","13 Dec 2006","-","-","-","1762.55"
"NIFTY INDIA DIGITAL","12 Dec 2006","-","-","-","1715.97"
"NIFTY INDIA DIGITAL","11 Dec 2006","-","-","-","1784.60"
"NIFTY INDIA DIGITAL","08 Dec 2006","-","-","-","1831.03"
"NIFTY INDIA DIGITAL","07 Dec 2006","-","-","-","1837.37"
"NIFTY INDIA DIGITAL","06 Dec 2006","-","-","-","1843.67"
"NIFTY INDIA DIGITAL","05 Dec 2006","-","-","-","1847.67"
"NIFTY INDIA DIGITAL","04 Dec 2006","-","-","-","1829.78"
"NIFTY INDIA DIGITAL","01 Dec 2006","-","-","-","1828.53"
"NIFTY INDIA DIGITAL","30 Nov 2006","-","-","-","1798.74"
"NIFTY INDIA DIGITAL","29 Nov 2006","-","-","-","1787.44"
"NIFTY INDIA DIGITAL","28 Nov 2006","-","-","-","1783.08"
"NIFTY INDIA DIGITAL","27 Nov 2006","-","-","-","1815.84"
"NIFTY INDIA DIGITAL","24 Nov 2006","-","-","-","1803.03"
"NIFTY INDIA DIGITAL","23 Nov 2006","-","-","-","1799.23"
"NIFTY INDIA DIGITAL","22 Nov 2006","-","-","-","1808.98"
"NIFTY INDIA DIGITAL","21 Nov 2006","-","-","-","1785.10"
"NIFTY INDIA DIGITAL","20 Nov 2006","-","-","-","1743.32"
"NIFTY INDIA DIGITAL","17 Nov 2006","-","-","-","1726.40"
"NIFTY INDIA DIGITAL","16 Nov 2006","-","-","-","1742.14"
"NIFTY INDIA DIGITAL","15 Nov 2006","-","-","-","1744.37"
"NIFTY INDIA DIGITAL","14 Nov 2006","-","-","-","1738.76"
