"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","05 Jun 2026","12034.6","12064.25","11923.55","11985.85"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","04 Jun 2026","11928.75","12056.1","11913.15","11986.45"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","03 Jun 2026","11994.3","12006.7","11816.2","11951.25"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","02 Jun 2026","11873.95","11993.3","11809.8","11976.05"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","01 Jun 2026","12255.15","12282.55","11952.45","11969.50"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","29 May 2026","12403.25","12422.55","12167.95","12200.80"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 May 2026","12173.6","12381.2","12172.2","12357.15"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","26 May 2026","12149.2","12196.95","12108.5","12152.75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","25 May 2026","12111.75","12158.6","12082.55","12149.60"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","22 May 2026","12007.35","12027.15","11977.8","11989.75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","21 May 2026","11984.3","12047.25","11968.15","11983.35"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 May 2026","11714.05","11889.15","11665.7","11871.20"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","19 May 2026","11810.75","11868.2","11771.7","11793.00"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","18 May 2026","11767.5","11804","11590.85","11789.25"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","15 May 2026","11984.05","11992.2","11837.9","11856.50"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","14 May 2026","11891.25","11954.95","11754.35","11924.45"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","13 May 2026","11646.35","11862.2","11613.1","11793.75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","12 May 2026","11995.6","12034.25","11658.65","11678.15"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11 May 2026","12178.65","12179.7","11998.6","12027.10"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","08 May 2026","12313.2","12327.5","12239.75","12262.60"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","07 May 2026","12255.8","12334.2","12210.1","12315.75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","06 May 2026","12149.95","12215.5","12060.05","12205.95"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","05 May 2026","12060.1","12124.75","12000.65","12070.00"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","04 May 2026","12022.9","12166.65","12001.1","12072.55"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","30 Apr 2026","11986.65","11990.3","11812.25","11945.50"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","29 Apr 2026","12117.55","12163.45","12032.4","12051.10"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","28 Apr 2026","12074.3","12115.25","12005.2","12048.85"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 Apr 2026","11953.5","12081.75","11951.05","12035.80"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","24 Apr 2026","11993.65","12030.45","11779.25","11881.25"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","23 Apr 2026","11981.7","12021.25","11933.7","11968.10"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","22 Apr 2026","11894.6","12032.5","11872","12013.70"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","21 Apr 2026","11844.2","11981.85","11843.85","11904.00"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","20 Apr 2026","11820.75","11910.7","11705.75","11831.55"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","17 Apr 2026","11694.2","11802.05","11661.75","11792.30"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","16 Apr 2026","11648.3","11669.1","11539.95","11652.20"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","15 Apr 2026","11491.65","11572.55","11471.9","11551.50"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","13 Apr 2026","11074.65","11348.6","11021.8","11294.50"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","10 Apr 2026","11198.4","11339.9","11198.2","11330.75"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","09 Apr 2026","11091.2","11177.85","11034.55","11122.95"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","08 Apr 2026","11022.75","11127.6","10986.05","11109.05"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","07 Apr 2026","10532.05","10638.05","10459.65","10625.20"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","06 Apr 2026","10455.65","10610.8","10353.75","10596.95"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","02 Apr 2026","10316.3","10463.85","10128.55","10435.45"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","01 Apr 2026","10484.55","10563.3","10401.65","10447.15"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","30 Mar 2026","10331.15","10423.45","10177.75","10191.85"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","27 Mar 2026","10629.55","10630.15","10448.4","10461.15"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","25 Mar 2026","10545.35","10730.15","10544.95","10670.25"
