"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA MANUFACTURING","31 Dec 2024","13698.25","13864.85","13689.3","13822.55"
"NIFTY INDIA MANUFACTURING","30 Dec 2024","13853.65","13870.15","13699.65","13727.20"
"NIFTY INDIA MANUFACTURING","27 Dec 2024","13877.5","13988.95","13848.95","13860.85"
"NIFTY INDIA MANUFACTURING","26 Dec 2024","13815.95","13854.65","13764.95","13845.40"
"NIFTY INDIA MANUFACTURING","24 Dec 2024","13807.1","13878.85","13756.4","13797.50"
"NIFTY INDIA MANUFACTURING","23 Dec 2024","13858.45","13908.8","13737.3","13796.05"
"NIFTY INDIA MANUFACTURING","20 Dec 2024","14078.25","14148.5","13745.55","13771.10"
"NIFTY INDIA MANUFACTURING","19 Dec 2024","13941.85","14099.4","13923.45","14070.10"
"NIFTY INDIA MANUFACTURING","18 Dec 2024","14216.5","14250.9","14099.1","14135.60"
"NIFTY INDIA MANUFACTURING","17 Dec 2024","14397.75","14429.6","14206.1","14226.15"
"NIFTY INDIA MANUFACTURING","16 Dec 2024","14416.85","14438.25","14340.05","14411.90"
"NIFTY INDIA MANUFACTURING","13 Dec 2024","14357.6","14397.3","14134","14385.05"
"NIFTY INDIA MANUFACTURING","12 Dec 2024","14476.15","14487.85","14343.85","14374.80"
"NIFTY INDIA MANUFACTURING","11 Dec 2024","14444.75","14503.85","14420.35","14454.35"
"NIFTY INDIA MANUFACTURING","10 Dec 2024","14450.45","14460.4","14359.95","14421.60"
"NIFTY INDIA MANUFACTURING","09 Dec 2024","14427.95","14454.25","14379.2","14415.45"
"NIFTY INDIA MANUFACTURING","06 Dec 2024","14404.3","14446.4","14349.9","14432.40"
"NIFTY INDIA MANUFACTURING","05 Dec 2024","14363.1","14404.95","14212","14366.20"
"NIFTY INDIA MANUFACTURING","04 Dec 2024","14373.35","14394.75","14250.55","14313.30"
"NIFTY INDIA MANUFACTURING","03 Dec 2024","14331.65","14349.45","14274.15","14333.15"
"NIFTY INDIA MANUFACTURING","02 Dec 2024","14116.65","14253.3","14083.8","14248.25"
"NIFTY INDIA MANUFACTURING","29 Nov 2024","13978.6","14135.7","13963.85","14093.10"
"NIFTY INDIA MANUFACTURING","28 Nov 2024","14065.7","14109.45","13920.75","13946.10"
"NIFTY INDIA MANUFACTURING","27 Nov 2024","14020.05","14063.05","13940.35","14043.55"
"NIFTY INDIA MANUFACTURING","26 Nov 2024","14061.45","14096.35","13957.5","13973.10"
"NIFTY INDIA MANUFACTURING","25 Nov 2024","14057","14123.15","13989.5","14013.95"
"NIFTY INDIA MANUFACTURING","22 Nov 2024","13671","13871.6","13637.5","13841.05"
"NIFTY INDIA MANUFACTURING","21 Nov 2024","13693.25","13701.6","13549.25","13634.15"
"NIFTY INDIA MANUFACTURING","19 Nov 2024","13650.05","13890.5","13649.65","13714.60"
"NIFTY INDIA MANUFACTURING","18 Nov 2024","13699.3","13747.3","13574.1","13622.20"
"NIFTY INDIA MANUFACTURING","14 Nov 2024","13598.7","13698.7","13526.05","13608.25"
"NIFTY INDIA MANUFACTURING","13 Nov 2024","13849.1","13857.1","13539.45","13576.45"
"NIFTY INDIA MANUFACTURING","12 Nov 2024","14173","14218.4","13862.45","13900.10"
"NIFTY INDIA MANUFACTURING","11 Nov 2024","14209.25","14257.95","14109.3","14135.55"
"NIFTY INDIA MANUFACTURING","08 Nov 2024","14341.25","14351.25","14182.95","14229.60"
"NIFTY INDIA MANUFACTURING","07 Nov 2024","14560.35","14563.6","14305.95","14314.05"
"NIFTY INDIA MANUFACTURING","06 Nov 2024","14322.95","14532.85","14258.55","14513.15"
