"Index Name","Date","Open","High","Low","Close"
"NIFTY INDIA TOURISM","31 Dec 2015","-","-","-","2357.00"
"NIFTY INDIA TOURISM","30 Dec 2015","-","-","-","2333.56"
"NIFTY INDIA TOURISM","29 Dec 2015","-","-","-","2330.63"
"NIFTY INDIA TOURISM","28 Dec 2015","-","-","-","2342.28"
"NIFTY INDIA TOURISM","24 Dec 2015","-","-","-","2351.01"
"NIFTY INDIA TOURISM","23 Dec 2015","-","-","-","2303.76"
"NIFTY INDIA TOURISM","22 Dec 2015","-","-","-","2265.85"
"NIFTY INDIA TOURISM","21 Dec 2015","-","-","-","2263.85"
"NIFTY INDIA TOURISM","18 Dec 2015","-","-","-","2246.10"
"NIFTY INDIA TOURISM","17 Dec 2015","-","-","-","2266.48"
"NIFTY INDIA TOURISM","16 Dec 2015","-","-","-","2223.19"
"NIFTY INDIA TOURISM","15 Dec 2015","-","-","-","2228.60"
"NIFTY INDIA TOURISM","14 Dec 2015","-","-","-","2207.62"
"NIFTY INDIA TOURISM","11 Dec 2015","-","-","-","2204.36"
"NIFTY INDIA TOURISM","10 Dec 2015","-","-","-","2234.69"
"NIFTY INDIA TOURISM","09 Dec 2015","-","-","-","2196.41"
"NIFTY INDIA TOURISM","08 Dec 2015","-","-","-","2233.88"
"NIFTY INDIA TOURISM","07 Dec 2015","-","-","-","2259.13"
"NIFTY INDIA TOURISM","04 Dec 2015","-","-","-","2262.51"
"NIFTY INDIA TOURISM","03 Dec 2015","-","-","-","2360.41"
"NIFTY INDIA TOURISM","02 Dec 2015","-","-","-","2324.12"
"NIFTY INDIA TOURISM","01 Dec 2015","-","-","-","2234.99"
"NIFTY INDIA TOURISM","30 Nov 2015","-","-","-","2238.52"
"NIFTY INDIA TOURISM","27 Nov 2015","-","-","-","2201.24"
"NIFTY INDIA TOURISM","26 Nov 2015","-","-","-","2205.88"
"NIFTY INDIA TOURISM","24 Nov 2015","-","-","-","2174.92"
"NIFTY INDIA TOURISM","23 Nov 2015","-","-","-","2130.74"
"NIFTY INDIA TOURISM","20 Nov 2015","-","-","-","2124.52"
"NIFTY INDIA TOURISM","19 Nov 2015","-","-","-","2130.75"
"NIFTY INDIA TOURISM","18 Nov 2015","-","-","-","2112.17"
"NIFTY INDIA TOURISM","17 Nov 2015","-","-","-","2102.95"
"NIFTY INDIA TOURISM","16 Nov 2015","-","-","-","2098.29"
"NIFTY INDIA TOURISM","13 Nov 2015","-","-","-","2066.66"
"NIFTY INDIA TOURISM","11 Nov 2015","-","-","-","2102.84"
"NIFTY INDIA TOURISM","10 Nov 2015","-","-","-","2074.89"
"NIFTY INDIA TOURISM","09 Nov 2015","-","-","-","2108.16"
"NIFTY INDIA TOURISM","06 Nov 2015","-","-","-","2080.93"
"NIFTY INDIA TOURISM","05 Nov 2015","-","-","-","2083.78"
"NIFTY INDIA TOURISM","04 Nov 2015","-","-","-","2136.65"
"NIFTY INDIA TOURISM","03 Nov 2015","-","-","-","2152.21"
"NIFTY INDIA TOURISM","02 Nov 2015","-","-","-","2152.79"
"NIFTY INDIA TOURISM","30 Oct 2015","-","-","-","2170.04"
"NIFTY INDIA TOURISM","29 Oct 2015","-","-","-","2168.93"
"NIFTY INDIA TOURISM","28 Oct 2015","-","-","-","2159.45"
"NIFTY INDIA TOURISM","27 Oct 2015","-","-","-","2146.28"
"NIFTY INDIA TOURISM","26 Oct 2015","-","-","-","2119.87"
"NIFTY INDIA TOURISM","23 Oct 2015","-","-","-","2129.73"
"NIFTY INDIA TOURISM","21 Oct 2015","-","-","-","2124.63"
"NIFTY INDIA TOURISM","20 Oct 2015","-","-","-","2128.69"
"NIFTY INDIA TOURISM","19 Oct 2015","-","-","-","2111.76"
"NIFTY INDIA TOURISM","16 Oct 2015","-","-","-","2105.40"
"NIFTY INDIA TOURISM","15 Oct 2015","-","-","-","2102.03"
"NIFTY INDIA TOURISM","14 Oct 2015","-","-","-","2093.99"
"NIFTY INDIA TOURISM","13 Oct 2015","-","-","-","2074.43"
"NIFTY INDIA TOURISM","12 Oct 2015","-","-","-","2077.11"
"NIFTY INDIA TOURISM","09 Oct 2015","-","-","-","2088.18"
"NIFTY INDIA TOURISM","08 Oct 2015","-","-","-","2074.09"
"NIFTY INDIA TOURISM","07 Oct 2015","-","-","-","2093.30"
"NIFTY INDIA TOURISM","06 Oct 2015","-","-","-","2077.23"
"NIFTY INDIA TOURISM","05 Oct 2015","-","-","-","2074.83"
"NIFTY INDIA TOURISM","01 Oct 2015","-","-","-","2033.79"
"NIFTY INDIA TOURISM","30 Sep 2015","-","-","-","2011.12"
"NIFTY INDIA TOURISM","29 Sep 2015","-","-","-","2004.21"
"NIFTY INDIA TOURISM","28 Sep 2015","-","-","-","2024.77"
"NIFTY INDIA TOURISM","24 Sep 2015","-","-","-","2031.14"
"NIFTY INDIA TOURISM","23 Sep 2015","-","-","-","2031.63"
"NIFTY INDIA TOURISM","22 Sep 2015","-","-","-","2017.42"
"NIFTY INDIA TOURISM","21 Sep 2015","-","-","-","2013.11"
"NIFTY INDIA TOURISM","18 Sep 2015","-","-","-","2001.64"
"NIFTY INDIA TOURISM","16 Sep 2015","-","-","-","2015.30"
"NIFTY INDIA TOURISM","15 Sep 2015","-","-","-","2019.09"
"NIFTY INDIA TOURISM","14 Sep 2015","-","-","-","2033.44"
"NIFTY INDIA TOURISM","11 Sep 2015","-","-","-","1996.20"
"NIFTY INDIA TOURISM","10 Sep 2015","-","-","-","1993.13"
"NIFTY INDIA TOURISM","09 Sep 2015","-","-","-","1998.41"
"NIFTY INDIA TOURISM","08 Sep 2015","-","-","-","1953.02"
"NIFTY INDIA TOURISM","07 Sep 2015","-","-","-","1932.31"
"NIFTY INDIA TOURISM","04 Sep 2015","-","-","-","1975.74"
"NIFTY INDIA TOURISM","03 Sep 2015","-","-","-","2025.32"
"NIFTY INDIA TOURISM","02 Sep 2015","-","-","-","2020.58"
"NIFTY INDIA TOURISM","01 Sep 2015","-","-","-","2031.63"
"NIFTY INDIA TOURISM","31 Aug 2015","-","-","-","2058.81"
"NIFTY INDIA TOURISM","28 Aug 2015","-","-","-","2074.76"
"NIFTY INDIA TOURISM","27 Aug 2015","-","-","-","2094.24"
"NIFTY INDIA TOURISM","26 Aug 2015","-","-","-","2060.36"
"NIFTY INDIA TOURISM","25 Aug 2015","-","-","-","2026.22"
"NIFTY INDIA TOURISM","24 Aug 2015","-","-","-","1988.12"
"NIFTY INDIA TOURISM","21 Aug 2015","-","-","-","2153.96"
"NIFTY INDIA TOURISM","20 Aug 2015","-","-","-","2184.73"
"NIFTY INDIA TOURISM","19 Aug 2015","-","-","-","2190.63"
"NIFTY INDIA TOURISM","18 Aug 2015","-","-","-","2170.93"
"NIFTY INDIA TOURISM","17 Aug 2015","-","-","-","2173.94"
"NIFTY INDIA TOURISM","14 Aug 2015","-","-","-","2186.43"
"NIFTY INDIA TOURISM","13 Aug 2015","-","-","-","2149.90"
"NIFTY INDIA TOURISM","12 Aug 2015","-","-","-","2196.11"
"NIFTY INDIA TOURISM","11 Aug 2015","-","-","-","2252.92"
"NIFTY INDIA TOURISM","10 Aug 2015","-","-","-","2275.92"
"NIFTY INDIA TOURISM","07 Aug 2015","-","-","-","2314.20"
"NIFTY INDIA TOURISM","06 Aug 2015","-","-","-","2303.81"
"NIFTY INDIA TOURISM","05 Aug 2015","-","-","-","2313.40"
"NIFTY INDIA TOURISM","04 Aug 2015","-","-","-","2314.99"
"NIFTY INDIA TOURISM","03 Aug 2015","-","-","-","2296.47"
"NIFTY INDIA TOURISM","31 Jul 2015","-","-","-","2277.28"
"NIFTY INDIA TOURISM","30 Jul 2015","-","-","-","2293.64"
"NIFTY INDIA TOURISM","29 Jul 2015","-","-","-","2257.10"
"NIFTY INDIA TOURISM","28 Jul 2015","-","-","-","2249.46"
"NIFTY INDIA TOURISM","27 Jul 2015","-","-","-","2249.51"
"NIFTY INDIA TOURISM","24 Jul 2015","-","-","-","2303.20"
"NIFTY INDIA TOURISM","23 Jul 2015","-","-","-","2336.87"
"NIFTY INDIA TOURISM","22 Jul 2015","-","-","-","2316.15"
"NIFTY INDIA TOURISM","21 Jul 2015","-","-","-","2297.94"
"NIFTY INDIA TOURISM","20 Jul 2015","-","-","-","2315.85"
"NIFTY INDIA TOURISM","17 Jul 2015","-","-","-","2318.47"
"NIFTY INDIA TOURISM","16 Jul 2015","-","-","-","2291.91"
"NIFTY INDIA TOURISM","15 Jul 2015","-","-","-","2272.41"
"NIFTY INDIA TOURISM","14 Jul 2015","-","-","-","2269.47"
"NIFTY INDIA TOURISM","13 Jul 2015","-","-","-","2242.68"
"NIFTY INDIA TOURISM","10 Jul 2015","-","-","-","2215.77"
"NIFTY INDIA TOURISM","09 Jul 2015","-","-","-","2202.83"
"NIFTY INDIA TOURISM","08 Jul 2015","-","-","-","2218.16"
"NIFTY INDIA TOURISM","07 Jul 2015","-","-","-","2244.52"
"NIFTY INDIA TOURISM","06 Jul 2015","-","-","-","2220.10"
"NIFTY INDIA TOURISM","03 Jul 2015","-","-","-","2207.96"
"NIFTY INDIA TOURISM","02 Jul 2015","-","-","-","2214.50"
"NIFTY INDIA TOURISM","01 Jul 2015","-","-","-","2197.44"
"NIFTY INDIA TOURISM","30 Jun 2015","-","-","-","2141.59"
"NIFTY INDIA TOURISM","29 Jun 2015","-","-","-","2139.11"
"NIFTY INDIA TOURISM","26 Jun 2015","-","-","-","2187.06"
"NIFTY INDIA TOURISM","25 Jun 2015","-","-","-","2218.51"
"NIFTY INDIA TOURISM","24 Jun 2015","-","-","-","2182.62"
"NIFTY INDIA TOURISM","23 Jun 2015","-","-","-","2196.23"
"NIFTY INDIA TOURISM","22 Jun 2015","-","-","-","2202.18"
"NIFTY INDIA TOURISM","19 Jun 2015","-","-","-","2176.18"
"NIFTY INDIA TOURISM","18 Jun 2015","-","-","-","2172.06"
"NIFTY INDIA TOURISM","17 Jun 2015","-","-","-","2162.97"
"NIFTY INDIA TOURISM","16 Jun 2015","-","-","-","2132.19"
"NIFTY INDIA TOURISM","15 Jun 2015","-","-","-","2134.08"
"NIFTY INDIA TOURISM","12 Jun 2015","-","-","-","2118.74"
"NIFTY INDIA TOURISM","11 Jun 2015","-","-","-","2125.92"
"NIFTY INDIA TOURISM","10 Jun 2015","-","-","-","2169.55"
"NIFTY INDIA TOURISM","09 Jun 2015","-","-","-","2145.42"
"NIFTY INDIA TOURISM","08 Jun 2015","-","-","-","2160.83"
"NIFTY INDIA TOURISM","05 Jun 2015","-","-","-","2182.17"
"NIFTY INDIA TOURISM","04 Jun 2015","-","-","-","2186.67"
"NIFTY INDIA TOURISM","03 Jun 2015","-","-","-","2193.65"
"NIFTY INDIA TOURISM","02 Jun 2015","-","-","-","2235.63"
"NIFTY INDIA TOURISM","01 Jun 2015","-","-","-","2290.12"
"NIFTY INDIA TOURISM","29 May 2015","-","-","-","2283.77"
"NIFTY INDIA TOURISM","28 May 2015","-","-","-","2261.98"
"NIFTY INDIA TOURISM","27 May 2015","-","-","-","2266.07"
"NIFTY INDIA TOURISM","26 May 2015","-","-","-","2251.71"
"NIFTY INDIA TOURISM","25 May 2015","-","-","-","2249.77"
"NIFTY INDIA TOURISM","22 May 2015","-","-","-","2264.55"
"NIFTY INDIA TOURISM","21 May 2015","-","-","-","2279.55"
"NIFTY INDIA TOURISM","20 May 2015","-","-","-","2291.78"
"NIFTY INDIA TOURISM","19 May 2015","-","-","-","2309.74"
"NIFTY INDIA TOURISM","18 May 2015","-","-","-","2310.80"
"NIFTY INDIA TOURISM","15 May 2015","-","-","-","2289.48"
"NIFTY INDIA TOURISM","14 May 2015","-","-","-","2221.35"
"NIFTY INDIA TOURISM","13 May 2015","-","-","-","2230.73"
"NIFTY INDIA TOURISM","12 May 2015","-","-","-","2181.56"
"NIFTY INDIA TOURISM","11 May 2015","-","-","-","2212.87"
"NIFTY INDIA TOURISM","08 May 2015","-","-","-","2194.80"
"NIFTY INDIA TOURISM","07 May 2015","-","-","-","2166.67"
"NIFTY INDIA TOURISM","06 May 2015","-","-","-","2183.48"
"NIFTY INDIA TOURISM","05 May 2015","-","-","-","2267.17"
"NIFTY INDIA TOURISM","04 May 2015","-","-","-","2293.44"
"NIFTY INDIA TOURISM","30 Apr 2015","-","-","-","2238.79"
"NIFTY INDIA TOURISM","29 Apr 2015","-","-","-","2250.21"
"NIFTY INDIA TOURISM","28 Apr 2015","-","-","-","2235.74"
"NIFTY INDIA TOURISM","27 Apr 2015","-","-","-","2179.74"
"NIFTY INDIA TOURISM","24 Apr 2015","-","-","-","2223.91"
"NIFTY INDIA TOURISM","23 Apr 2015","-","-","-","2267.25"
"NIFTY INDIA TOURISM","22 Apr 2015","-","-","-","2287.50"
"NIFTY INDIA TOURISM","21 Apr 2015","-","-","-","2281.49"
"NIFTY INDIA TOURISM","20 Apr 2015","-","-","-","2276.69"
"NIFTY INDIA TOURISM","17 Apr 2015","-","-","-","2325.35"
"NIFTY INDIA TOURISM","16 Apr 2015","-","-","-","2362.82"
"NIFTY INDIA TOURISM","15 Apr 2015","-","-","-","2393.11"
"NIFTY INDIA TOURISM","13 Apr 2015","-","-","-","2415.18"
"NIFTY INDIA TOURISM","10 Apr 2015","-","-","-","2421.66"
"NIFTY INDIA TOURISM","09 Apr 2015","-","-","-","2409.89"
"NIFTY INDIA TOURISM","08 Apr 2015","-","-","-","2383.46"
"NIFTY INDIA TOURISM","07 Apr 2015","-","-","-","2356.38"
"NIFTY INDIA TOURISM","06 Apr 2015","-","-","-","2338.74"
"NIFTY INDIA TOURISM","01 Apr 2015","-","-","-","2309.95"
"NIFTY INDIA TOURISM","31 Mar 2015","-","-","-","2306.58"
"NIFTY INDIA TOURISM","30 Mar 2015","-","-","-","2284.41"
"NIFTY INDIA TOURISM","27 Mar 2015","-","-","-","2242.98"
"NIFTY INDIA TOURISM","26 Mar 2015","-","-","-","2234.94"
"NIFTY INDIA TOURISM","25 Mar 2015","-","-","-","2254.19"
"NIFTY INDIA TOURISM","24 Mar 2015","-","-","-","2246.68"
"NIFTY INDIA TOURISM","23 Mar 2015","-","-","-","2260.25"
"NIFTY INDIA TOURISM","20 Mar 2015","-","-","-","2277.45"
"NIFTY INDIA TOURISM","19 Mar 2015","-","-","-","2281.96"
"NIFTY INDIA TOURISM","18 Mar 2015","-","-","-","2274.05"
"NIFTY INDIA TOURISM","17 Mar 2015","-","-","-","2282.25"
"NIFTY INDIA TOURISM","16 Mar 2015","-","-","-","2278.79"
"NIFTY INDIA TOURISM","13 Mar 2015","-","-","-","2294.41"
"NIFTY INDIA TOURISM","12 Mar 2015","-","-","-","2322.53"
"NIFTY INDIA TOURISM","11 Mar 2015","-","-","-","2282.64"
"NIFTY INDIA TOURISM","10 Mar 2015","-","-","-","2308.58"
"NIFTY INDIA TOURISM","09 Mar 2015","-","-","-","2342.25"
"NIFTY INDIA TOURISM","05 Mar 2015","-","-","-","2355.04"
"NIFTY INDIA TOURISM","04 Mar 2015","-","-","-","2357.42"
"NIFTY INDIA TOURISM","03 Mar 2015","-","-","-","2378.90"
"NIFTY INDIA TOURISM","02 Mar 2015","-","-","-","2388.70"
"NIFTY INDIA TOURISM","28 Feb 2015","-","-","-","2392.56"
"NIFTY INDIA TOURISM","27 Feb 2015","-","-","-","2424.04"
"NIFTY INDIA TOURISM","26 Feb 2015","-","-","-","2374.90"
"NIFTY INDIA TOURISM","25 Feb 2015","-","-","-","2387.78"
"NIFTY INDIA TOURISM","24 Feb 2015","-","-","-","2403.50"
"NIFTY INDIA TOURISM","23 Feb 2015","-","-","-","2391.33"
"NIFTY INDIA TOURISM","20 Feb 2015","-","-","-","2424.48"
"NIFTY INDIA TOURISM","19 Feb 2015","-","-","-","2430.55"
"NIFTY INDIA TOURISM","18 Feb 2015","-","-","-","2423.46"
"NIFTY INDIA TOURISM","16 Feb 2015","-","-","-","2375.94"
"NIFTY INDIA TOURISM","13 Feb 2015","-","-","-","2387.40"
"NIFTY INDIA TOURISM","12 Feb 2015","-","-","-","2393.37"
"NIFTY INDIA TOURISM","11 Feb 2015","-","-","-","2363.36"
"NIFTY INDIA TOURISM","10 Feb 2015","-","-","-","2324.79"
"NIFTY INDIA TOURISM","09 Feb 2015","-","-","-","2321.79"
"NIFTY INDIA TOURISM","06 Feb 2015","-","-","-","2334.85"
"NIFTY INDIA TOURISM","05 Feb 2015","-","-","-","2340.46"
"NIFTY INDIA TOURISM","04 Feb 2015","-","-","-","2356.56"
"NIFTY INDIA TOURISM","03 Feb 2015","-","-","-","2353.65"
"NIFTY INDIA TOURISM","02 Feb 2015","-","-","-","2367.75"
"NIFTY INDIA TOURISM","30 Jan 2015","-","-","-","2337.93"
"NIFTY INDIA TOURISM","29 Jan 2015","-","-","-","2319.47"
"NIFTY INDIA TOURISM","28 Jan 2015","-","-","-","2320.37"
"NIFTY INDIA TOURISM","27 Jan 2015","-","-","-","2312.84"
"NIFTY INDIA TOURISM","23 Jan 2015","-","-","-","2322.65"
"NIFTY INDIA TOURISM","22 Jan 2015","-","-","-","2336.86"
"NIFTY INDIA TOURISM","21 Jan 2015","-","-","-","2340.07"
"NIFTY INDIA TOURISM","20 Jan 2015","-","-","-","2337.33"
"NIFTY INDIA TOURISM","19 Jan 2015","-","-","-","2332.91"
"NIFTY INDIA TOURISM","16 Jan 2015","-","-","-","2334.28"
"NIFTY INDIA TOURISM","15 Jan 2015","-","-","-","2345.21"
"NIFTY INDIA TOURISM","14 Jan 2015","-","-","-","2303.09"
"NIFTY INDIA TOURISM","13 Jan 2015","-","-","-","2327.88"
"NIFTY INDIA TOURISM","12 Jan 2015","-","-","-","2325.78"
