"Index Name","Date","Open","High","Low","Close"
"NIFTY INFRASTRUCTURE","30 Dec 2016","2693.15","2714.90","2692.90","2712.25"
"NIFTY INFRASTRUCTURE","29 Dec 2016","2670.85","2692.65","2668.20","2688.50"
"NIFTY INFRASTRUCTURE","28 Dec 2016","2676.90","2704.25","2669.30","2675.75"
"NIFTY INFRASTRUCTURE","27 Dec 2016","2639.20","2677.45","2622.75","2673.45"
"NIFTY INFRASTRUCTURE","26 Dec 2016","2665.05","2666.60","2629.50","2637.55"
"NIFTY INFRASTRUCTURE","23 Dec 2016","2657.15","2679.30","2628.10","2669.50"
"NIFTY INFRASTRUCTURE","22 Dec 2016","2697.25","2703.10","2649.25","2654.00"
"NIFTY INFRASTRUCTURE","21 Dec 2016","2716.00","2719.45","2700.75","2704.75"
"NIFTY INFRASTRUCTURE","20 Dec 2016","2721.35","2723.95","2698.80","2706.35"
"NIFTY INFRASTRUCTURE","19 Dec 2016","2738.25","2739.00","2714.35","2717.75"
"NIFTY INFRASTRUCTURE","16 Dec 2016","2755.00","2756.45","2731.65","2736.05"
"NIFTY INFRASTRUCTURE","15 Dec 2016","2742.40","2772.75","2737.75","2748.95"
"NIFTY INFRASTRUCTURE","14 Dec 2016","2787.70","2787.70","2754.95","2757.45"
"NIFTY INFRASTRUCTURE","13 Dec 2016","2774.95","2786.75","2766.65","2783.25"
"NIFTY INFRASTRUCTURE","12 Dec 2016","2775.90","2783.85","2763.30","2770.95"
"NIFTY INFRASTRUCTURE","09 Dec 2016","2795.85","2797.60","2769.05","2780.00"
"NIFTY INFRASTRUCTURE","08 Dec 2016","2773.80","2789.65","2769.60","2782.90"
"NIFTY INFRASTRUCTURE","07 Dec 2016","2772.30","2777.30","2744.15","2752.40"
"NIFTY INFRASTRUCTURE","06 Dec 2016","2760.65","2778.20","2752.35","2759.25"
"NIFTY INFRASTRUCTURE","05 Dec 2016","2733.80","2756.55","2728.50","2748.45"
"NIFTY INFRASTRUCTURE","02 Dec 2016","2753.15","2757.35","2730.55","2737.80"
"NIFTY INFRASTRUCTURE","01 Dec 2016","2798.15","2798.15","2762.75","2767.40"
"NIFTY INFRASTRUCTURE","30 Nov 2016","2774.50","2795.45","2755.90","2791.95"
"NIFTY INFRASTRUCTURE","29 Nov 2016","2757.30","2774.45","2750.70","2759.25"
"NIFTY INFRASTRUCTURE","28 Nov 2016","2703.45","2756.80","2698.85","2748.00"
"NIFTY INFRASTRUCTURE","25 Nov 2016","2684.55","2711.15","2669.10","2707.05"
"NIFTY INFRASTRUCTURE","24 Nov 2016","2673.50","2687.45","2655.10","2671.30"
"NIFTY INFRASTRUCTURE","23 Nov 2016","2679.95","2695.00","2661.90","2680.30"
"NIFTY INFRASTRUCTURE","22 Nov 2016","2678.30","2681.05","2623.40","2653.30"
"NIFTY INFRASTRUCTURE","21 Nov 2016","2729.30","2729.95","2656.50","2661.30"
