"Index Name","Date","Open","High","Low","Close"
"NIFTY MEDIA","31 Dec 2009","-","-","-","1602.19"
"NIFTY MEDIA","30 Dec 2009","-","-","-","1607.43"
"NIFTY MEDIA","29 Dec 2009","-","-","-","1601.43"
"NIFTY MEDIA","24 Dec 2009","-","-","-","1598.69"
"NIFTY MEDIA","23 Dec 2009","-","-","-","1585.21"
"NIFTY MEDIA","22 Dec 2009","-","-","-","1573.99"
"NIFTY MEDIA","21 Dec 2009","-","-","-","1557.68"
"NIFTY MEDIA","18 Dec 2009","-","-","-","1536.79"
"NIFTY MEDIA","17 Dec 2009","-","-","-","1555.20"
"NIFTY MEDIA","16 Dec 2009","-","-","-","1516.12"
"NIFTY MEDIA","15 Dec 2009","-","-","-","1531.56"
"NIFTY MEDIA","14 Dec 2009","-","-","-","1559.35"
"NIFTY MEDIA","11 Dec 2009","-","-","-","1562.14"
"NIFTY MEDIA","10 Dec 2009","-","-","-","1564.38"
"NIFTY MEDIA","09 Dec 2009","-","-","-","1555.92"
"NIFTY MEDIA","08 Dec 2009","-","-","-","1562.92"
"NIFTY MEDIA","07 Dec 2009","-","-","-","1543.17"
"NIFTY MEDIA","04 Dec 2009","-","-","-","1553.64"
"NIFTY MEDIA","03 Dec 2009","-","-","-","1557.65"
"NIFTY MEDIA","02 Dec 2009","-","-","-","1548.91"
"NIFTY MEDIA","01 Dec 2009","-","-","-","1576.49"
"NIFTY MEDIA","30 Nov 2009","-","-","-","1533.91"
"NIFTY MEDIA","27 Nov 2009","-","-","-","1512.41"
"NIFTY MEDIA","26 Nov 2009","-","-","-","1545.40"
"NIFTY MEDIA","25 Nov 2009","-","-","-","1549.58"
"NIFTY MEDIA","24 Nov 2009","-","-","-","1551.75"
"NIFTY MEDIA","23 Nov 2009","-","-","-","1547.81"
"NIFTY MEDIA","20 Nov 2009","-","-","-","1535.52"
"NIFTY MEDIA","19 Nov 2009","-","-","-","1509.87"
"NIFTY MEDIA","18 Nov 2009","-","-","-","1529.93"
"NIFTY MEDIA","17 Nov 2009","-","-","-","1525.83"
"NIFTY MEDIA","16 Nov 2009","-","-","-","1539.42"
"NIFTY MEDIA","13 Nov 2009","-","-","-","1507.22"
"NIFTY MEDIA","12 Nov 2009","-","-","-","1501.98"
"NIFTY MEDIA","11 Nov 2009","-","-","-","1497.34"
"NIFTY MEDIA","10 Nov 2009","-","-","-","1494.28"
"NIFTY MEDIA","09 Nov 2009","-","-","-","1514.66"
"NIFTY MEDIA","06 Nov 2009","-","-","-","1487.43"
"NIFTY MEDIA","05 Nov 2009","-","-","-","1451.93"
"NIFTY MEDIA","04 Nov 2009","-","-","-","1417.82"
"NIFTY MEDIA","03 Nov 2009","-","-","-","1389.94"
"NIFTY MEDIA","30 Oct 2009","-","-","-","1423.53"
"NIFTY MEDIA","29 Oct 2009","-","-","-","1441.42"
"NIFTY MEDIA","28 Oct 2009","-","-","-","1470.07"
"NIFTY MEDIA","27 Oct 2009","-","-","-","1457.49"
"NIFTY MEDIA","26 Oct 2009","-","-","-","1512.40"
"NIFTY MEDIA","23 Oct 2009","-","-","-","1471.70"
"NIFTY MEDIA","22 Oct 2009","-","-","-","1479.47"
"NIFTY MEDIA","21 Oct 2009","-","-","-","1499.93"
