"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","31 Dec 2014","-","-","-","3495.49"
"NIFTY MICROCAP 250","30 Dec 2014","-","-","-","3440.51"
"NIFTY MICROCAP 250","29 Dec 2014","-","-","-","3423.65"
"NIFTY MICROCAP 250","26 Dec 2014","-","-","-","3393.40"
"NIFTY MICROCAP 250","24 Dec 2014","-","-","-","3395.46"
"NIFTY MICROCAP 250","23 Dec 2014","-","-","-","3381.81"
"NIFTY MICROCAP 250","22 Dec 2014","-","-","-","3395.39"
"NIFTY MICROCAP 250","19 Dec 2014","-","-","-","3372.09"
"NIFTY MICROCAP 250","18 Dec 2014","-","-","-","3354.49"
"NIFTY MICROCAP 250","17 Dec 2014","-","-","-","3236.17"
"NIFTY MICROCAP 250","16 Dec 2014","-","-","-","3268.93"
"NIFTY MICROCAP 250","15 Dec 2014","-","-","-","3399.21"
"NIFTY MICROCAP 250","12 Dec 2014","-","-","-","3413.31"
"NIFTY MICROCAP 250","11 Dec 2014","-","-","-","3458.66"
"NIFTY MICROCAP 250","10 Dec 2014","-","-","-","3478.29"
"NIFTY MICROCAP 250","09 Dec 2014","-","-","-","3446.41"
"NIFTY MICROCAP 250","08 Dec 2014","-","-","-","3509.92"
"NIFTY MICROCAP 250","05 Dec 2014","-","-","-","3539.07"
"NIFTY MICROCAP 250","04 Dec 2014","-","-","-","3533.52"
"NIFTY MICROCAP 250","03 Dec 2014","-","-","-","3523.85"
"NIFTY MICROCAP 250","02 Dec 2014","-","-","-","3456.28"
"NIFTY MICROCAP 250","01 Dec 2014","-","-","-","3437.18"
"NIFTY MICROCAP 250","28 Nov 2014","-","-","-","3468.19"
"NIFTY MICROCAP 250","27 Nov 2014","-","-","-","3459.34"
"NIFTY MICROCAP 250","26 Nov 2014","-","-","-","3435.95"
"NIFTY MICROCAP 250","25 Nov 2014","-","-","-","3391.13"
"NIFTY MICROCAP 250","24 Nov 2014","-","-","-","3475.47"
"NIFTY MICROCAP 250","21 Nov 2014","-","-","-","3484.66"
"NIFTY MICROCAP 250","20 Nov 2014","-","-","-","3488.91"
"NIFTY MICROCAP 250","19 Nov 2014","-","-","-","3486.49"
"NIFTY MICROCAP 250","18 Nov 2014","-","-","-","3502.40"
"NIFTY MICROCAP 250","17 Nov 2014","-","-","-","3477.12"
"NIFTY MICROCAP 250","14 Nov 2014","-","-","-","3443.55"
"NIFTY MICROCAP 250","13 Nov 2014","-","-","-","3432.86"
"NIFTY MICROCAP 250","12 Nov 2014","-","-","-","3446.08"
"NIFTY MICROCAP 250","11 Nov 2014","-","-","-","3429.00"
"NIFTY MICROCAP 250","10 Nov 2014","-","-","-","3413.09"
"NIFTY MICROCAP 250","07 Nov 2014","-","-","-","3411.34"
"NIFTY MICROCAP 250","05 Nov 2014","-","-","-","3422.37"
"NIFTY MICROCAP 250","03 Nov 2014","-","-","-","3393.40"
"NIFTY MICROCAP 250","31 Oct 2014","-","-","-","3353.23"
"NIFTY MICROCAP 250","30 Oct 2014","-","-","-","3325.95"
"NIFTY MICROCAP 250","29 Oct 2014","-","-","-","3317.40"
"NIFTY MICROCAP 250","28 Oct 2014","-","-","-","3290.57"
"NIFTY MICROCAP 250","27 Oct 2014","-","-","-","3260.62"
"NIFTY MICROCAP 250","23 Oct 2014","-","-","-","3256.69"
"NIFTY MICROCAP 250","22 Oct 2014","-","-","-","3212.29"
"NIFTY MICROCAP 250","21 Oct 2014","-","-","-","3165.92"
"NIFTY MICROCAP 250","20 Oct 2014","-","-","-","3155.14"
"NIFTY MICROCAP 250","17 Oct 2014","-","-","-","3133.71"
"NIFTY MICROCAP 250","16 Oct 2014","-","-","-","3145.65"
"NIFTY MICROCAP 250","14 Oct 2014","-","-","-","3234.92"
"NIFTY MICROCAP 250","13 Oct 2014","-","-","-","3239.35"
"NIFTY MICROCAP 250","10 Oct 2014","-","-","-","3233.07"
"NIFTY MICROCAP 250","09 Oct 2014","-","-","-","3274.55"
"NIFTY MICROCAP 250","08 Oct 2014","-","-","-","3232.01"
"NIFTY MICROCAP 250","07 Oct 2014","-","-","-","3228.52"
"NIFTY MICROCAP 250","01 Oct 2014","-","-","-","3254.46"
"NIFTY MICROCAP 250","30 Sep 2014","-","-","-","3263.10"
"NIFTY MICROCAP 250","29 Sep 2014","-","-","-","3244.28"
"NIFTY MICROCAP 250","26 Sep 2014","-","-","-","3182.03"
"NIFTY MICROCAP 250","25 Sep 2014","-","-","-","3174.37"
"NIFTY MICROCAP 250","24 Sep 2014","-","-","-","3283.43"
"NIFTY MICROCAP 250","23 Sep 2014","-","-","-","3349.76"
"NIFTY MICROCAP 250","22 Sep 2014","-","-","-","3432.18"
"NIFTY MICROCAP 250","19 Sep 2014","-","-","-","3407.41"
"NIFTY MICROCAP 250","18 Sep 2014","-","-","-","3382.13"
"NIFTY MICROCAP 250","17 Sep 2014","-","-","-","3275.56"
"NIFTY MICROCAP 250","16 Sep 2014","-","-","-","3257.02"
