"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 100","31 Dec 2004","-","-","-","2984.66"
"NIFTY MIDCAP 100","30 Dec 2004","-","-","-","2927.54"
"NIFTY MIDCAP 100","29 Dec 2004","-","-","-","2925.96"
"NIFTY MIDCAP 100","28 Dec 2004","-","-","-","2956.90"
"NIFTY MIDCAP 100","27 Dec 2004","-","-","-","2915.16"
"NIFTY MIDCAP 100","24 Dec 2004","-","-","-","2882.48"
"NIFTY MIDCAP 100","23 Dec 2004","-","-","-","2865.34"
"NIFTY MIDCAP 100","22 Dec 2004","-","-","-","2823.60"
"NIFTY MIDCAP 100","21 Dec 2004","-","-","-","2837.29"
"NIFTY MIDCAP 100","20 Dec 2004","-","-","-","2808.18"
"NIFTY MIDCAP 100","17 Dec 2004","-","-","-","2781.08"
"NIFTY MIDCAP 100","16 Dec 2004","-","-","-","2773.00"
"NIFTY MIDCAP 100","15 Dec 2004","-","-","-","2757.01"
"NIFTY MIDCAP 100","14 Dec 2004","-","-","-","2742.23"
"NIFTY MIDCAP 100","13 Dec 2004","-","-","-","2715.31"
"NIFTY MIDCAP 100","10 Dec 2004","-","-","-","2690.91"
"NIFTY MIDCAP 100","09 Dec 2004","-","-","-","2700.10"
"NIFTY MIDCAP 100","08 Dec 2004","-","-","-","2692.49"
"NIFTY MIDCAP 100","07 Dec 2004","-","-","-","2696.59"
"NIFTY MIDCAP 100","06 Dec 2004","-","-","-","2697.30"
"NIFTY MIDCAP 100","03 Dec 2004","-","-","-","2697.21"
"NIFTY MIDCAP 100","02 Dec 2004","-","-","-","2695.87"
"NIFTY MIDCAP 100","01 Dec 2004","-","-","-","2643.63"
"NIFTY MIDCAP 100","30 Nov 2004","-","-","-","2635.69"
"NIFTY MIDCAP 100","29 Nov 2004","-","-","-","2648.38"
"NIFTY MIDCAP 100","25 Nov 2004","-","-","-","2608.88"
"NIFTY MIDCAP 100","24 Nov 2004","-","-","-","2609.26"
"NIFTY MIDCAP 100","23 Nov 2004","-","-","-","2596.95"
"NIFTY MIDCAP 100","22 Nov 2004","-","-","-","2557.41"
"NIFTY MIDCAP 100","19 Nov 2004","-","-","-","2532.08"
"NIFTY MIDCAP 100","18 Nov 2004","-","-","-","2561.15"
"NIFTY MIDCAP 100","17 Nov 2004","-","-","-","2527.00"
"NIFTY MIDCAP 100","16 Nov 2004","-","-","-","2473.15"
"NIFTY MIDCAP 100","12 Nov 2004","-","-","-","2453.72"
"NIFTY MIDCAP 100","11 Nov 2004","-","-","-","2437.90"
"NIFTY MIDCAP 100","10 Nov 2004","-","-","-","2437.77"
"NIFTY MIDCAP 100","09 Nov 2004","-","-","-","2415.42"
"NIFTY MIDCAP 100","08 Nov 2004","-","-","-","2427.39"
"NIFTY MIDCAP 100","05 Nov 2004","-","-","-","2424.49"
"NIFTY MIDCAP 100","04 Nov 2004","-","-","-","2418.75"
"NIFTY MIDCAP 100","03 Nov 2004","-","-","-","2408.94"
"NIFTY MIDCAP 100","02 Nov 2004","-","-","-","2367.25"
"NIFTY MIDCAP 100","01 Nov 2004","-","-","-","2339.37"
"NIFTY MIDCAP 100","29 Oct 2004","-","-","-","2335.44"
"NIFTY MIDCAP 100","28 Oct 2004","-","-","-","2341.42"
"NIFTY MIDCAP 100","27 Oct 2004","-","-","-","2335.37"
"NIFTY MIDCAP 100","26 Oct 2004","-","-","-","2299.53"
"NIFTY MIDCAP 100","25 Oct 2004","-","-","-","2290.00"
"NIFTY MIDCAP 100","21 Oct 2004","-","-","-","2327.53"
"NIFTY MIDCAP 100","20 Oct 2004","-","-","-","2339.44"
"NIFTY MIDCAP 100","19 Oct 2004","-","-","-","2351.45"
