"Index Name","Date","Open","High","Low","Close"
"NIFTY OIL & GAS","31 Dec 2021","7297.10","7375.30","7287.55","7348.80"
"NIFTY OIL & GAS","30 Dec 2021","7349.10","7365.40","7252.10","7272.45"
"NIFTY OIL & GAS","29 Dec 2021","7388.90","7419.15","7341.65","7371.60"
"NIFTY OIL & GAS","28 Dec 2021","7350.10","7402.35","7339.65","7389.35"
"NIFTY OIL & GAS","27 Dec 2021","7258.30","7317.95","7206.20","7308.70"
"NIFTY OIL & GAS","24 Dec 2021","7374.70","7379.55","7246.00","7294.40"
"NIFTY OIL & GAS","23 Dec 2021","7349.40","7379.10","7316.00","7362.55"
"NIFTY OIL & GAS","22 Dec 2021","7213.50","7306.25","7175.10","7279.60"
"NIFTY OIL & GAS","21 Dec 2021","7133.95","7260.55","7107.80","7173.05"
"NIFTY OIL & GAS","20 Dec 2021","7275.65","7279.95","7067.90","7113.80"
"NIFTY OIL & GAS","17 Dec 2021","7541.35","7554.60","7348.90","7381.25"
"NIFTY OIL & GAS","16 Dec 2021","7623.95","7626.65","7540.60","7570.85"
"NIFTY OIL & GAS","15 Dec 2021","7608.90","7632.75","7539.05","7551.70"
"NIFTY OIL & GAS","14 Dec 2021","7541.65","7622.35","7524.90","7612.95"
"NIFTY OIL & GAS","13 Dec 2021","7759.65","7764.75","7555.85","7584.15"
"NIFTY OIL & GAS","10 Dec 2021","7596.85","7701.35","7593.45","7689.55"
"NIFTY OIL & GAS","09 Dec 2021","7609.45","7653.65","7561.60","7637.90"
"NIFTY OIL & GAS","08 Dec 2021","7540.55","7609.10","7533.75","7559.45"
"NIFTY OIL & GAS","07 Dec 2021","7421.25","7498.85","7403.65","7469.90"
"NIFTY OIL & GAS","06 Dec 2021","7498.70","7503.75","7336.30","7362.05"
"NIFTY OIL & GAS","03 Dec 2021","7592.55","7617.80","7465.10","7482.60"
"NIFTY OIL & GAS","02 Dec 2021","7463.70","7572.50","7459.50","7562.05"
"NIFTY OIL & GAS","01 Dec 2021","7446.00","7473.90","7402.65","7459.75"
"NIFTY OIL & GAS","30 Nov 2021","7418.00","7561.55","7354.20","7390.10"
"NIFTY OIL & GAS","29 Nov 2021","7447.85","7509.95","7336.75","7406.30"
