"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","05 Jun 2026","26288.25","26427.65","26137.55","26299.25"
"NIFTY PRIVATE BANK","04 Jun 2026","26037","26341.8","26030.7","26238.50"
"NIFTY PRIVATE BANK","03 Jun 2026","25908.2","26260.55","25733.15","26193.40"
"NIFTY PRIVATE BANK","02 Jun 2026","25850.6","26161.35","25818.35","26011.30"
"NIFTY PRIVATE BANK","01 Jun 2026","26386.45","26465.95","25984.75","26068.00"
"NIFTY PRIVATE BANK","29 May 2026","26552.05","26840.6","26256.05","26326.40"
"NIFTY PRIVATE BANK","27 May 2026","26705.15","26836.75","26566.65","26638.80"
"NIFTY PRIVATE BANK","26 May 2026","26909.4","27023.1","26714.4","26760.80"
"NIFTY PRIVATE BANK","25 May 2026","26639.75","26978.3","26626.8","26927.10"
"NIFTY PRIVATE BANK","22 May 2026","26000.8","26462.75","26000.8","26376.20"
"NIFTY PRIVATE BANK","21 May 2026","26199.6","26268.85","25826.85","25990.05"
"NIFTY PRIVATE BANK","20 May 2026","25768","26063.6","25690.55","26029.50"
"NIFTY PRIVATE BANK","19 May 2026","26124.65","26241.4","25922.1","25965.50"
"NIFTY PRIVATE BANK","18 May 2026","25892.4","26224.95","25731.6","26159.95"
"NIFTY PRIVATE BANK","15 May 2026","26213.45","26399.55","26027.35","26100.10"
"NIFTY PRIVATE BANK","14 May 2026","25916.35","26304.85","25720.1","26155.60"
"NIFTY PRIVATE BANK","13 May 2026","25903.35","26206.55","25777.25","25854.60"
"NIFTY PRIVATE BANK","12 May 2026","26229.25","26290.4","25838.9","25891.60"
"NIFTY PRIVATE BANK","11 May 2026","26318.65","26614.65","26214.85","26357.25"
"NIFTY PRIVATE BANK","08 May 2026","26642","26649.25","26414.95","26561.70"
"NIFTY PRIVATE BANK","07 May 2026","26731.35","26919.85","26627.95","26781.85"
"NIFTY PRIVATE BANK","06 May 2026","26295.2","26766.95","26036.05","26700.75"
"NIFTY PRIVATE BANK","05 May 2026","26141.9","26239.05","25961.95","26070.50"
"NIFTY PRIVATE BANK","04 May 2026","26274.7","26513.45","26130.65","26247.30"
"NIFTY PRIVATE BANK","30 Apr 2026","26240.4","26406.7","26048.05","26281.75"
"NIFTY PRIVATE BANK","29 Apr 2026","26513.6","26830.8","26377.95","26514.60"
"NIFTY PRIVATE BANK","28 Apr 2026","26541.45","26788.15","26326.3","26399.25"
"NIFTY PRIVATE BANK","27 Apr 2026","26662.4","26798.4","26556.7","26727.20"
"NIFTY PRIVATE BANK","24 Apr 2026","26762.6","26912.4","26582.95","26717.30"
