"Index Name","Date","Open","High","Low","Close"
"NIFTY REALTY","29 Dec 2023","778.20","784.50","772.55","783.05"
"NIFTY REALTY","28 Dec 2023","772.25","779.05","766.40","777.40"
"NIFTY REALTY","27 Dec 2023","767.50","772.55","766.10","770.10"
"NIFTY REALTY","26 Dec 2023","766.60","767.15","760.40","764.90"
"NIFTY REALTY","22 Dec 2023","748.05","765.05","746.80","763.05"
"NIFTY REALTY","21 Dec 2023","731.05","745.90","722.45","744.10"
"NIFTY REALTY","20 Dec 2023","759.75","760.85","734.55","737.30"
"NIFTY REALTY","19 Dec 2023","760.25","764.55","753.80","755.65"
"NIFTY REALTY","18 Dec 2023","769.25","769.25","757.75","759.70"
"NIFTY REALTY","15 Dec 2023","775.10","777.45","765.10","767.05"
"NIFTY REALTY","14 Dec 2023","752.00","773.70","751.15","772.55"
"NIFTY REALTY","13 Dec 2023","736.00","748.60","727.95","743.70"
"NIFTY REALTY","12 Dec 2023","747.90","749.20","729.80","731.95"
"NIFTY REALTY","11 Dec 2023","739.95","747.90","739.75","744.95"
"NIFTY REALTY","08 Dec 2023","736.50","747.45","730.35","738.70"
"NIFTY REALTY","07 Dec 2023","735.20","737.35","730.35","734.80"
"NIFTY REALTY","06 Dec 2023","735.75","737.95","726.90","732.20"
"NIFTY REALTY","05 Dec 2023","742.15","742.45","727.80","734.35"
"NIFTY REALTY","04 Dec 2023","734.75","743.00","727.20","737.75"
"NIFTY REALTY","01 Dec 2023","717.85","732.05","717.30","723.05"
"NIFTY REALTY","30 Nov 2023","705.05","717.05","698.40","713.60"
"NIFTY REALTY","29 Nov 2023","712.10","712.95","701.65","703.45"
"NIFTY REALTY","28 Nov 2023","703.65","708.00","700.35","706.95"
"NIFTY REALTY","24 Nov 2023","703.60","706.65","700.55","702.95"
"NIFTY REALTY","23 Nov 2023","696.20","705.15","695.65","701.10"
"NIFTY REALTY","22 Nov 2023","699.10","699.55","684.60","693.95"
"NIFTY REALTY","21 Nov 2023","694.20","703.45","694.05","698.80"
"NIFTY REALTY","20 Nov 2023","695.50","700.75","689.80","691.00"
"NIFTY REALTY","17 Nov 2023","689.80","694.05","687.85","692.70"
"NIFTY REALTY","16 Nov 2023","684.65","690.65","682.40","689.35"
"NIFTY REALTY","15 Nov 2023","671.05","684.30","670.80","683.05"
"NIFTY REALTY","13 Nov 2023","665.90","666.50","660.25","663.45"
"NIFTY REALTY","12 Nov 2023","668.25","669.35","664.80","666.15"
"NIFTY REALTY","10 Nov 2023","659.60","666.70","656.15","662.10"
"NIFTY REALTY","09 Nov 2023","655.65","666.15","655.15","660.60"
"NIFTY REALTY","08 Nov 2023","646.55","654.65","641.80","652.55"
"NIFTY REALTY","07 Nov 2023","652.15","653.20","640.55","642.80"
"NIFTY REALTY","06 Nov 2023","651.00","656.65","647.10","651.50"
"NIFTY REALTY","03 Nov 2023","629.35","644.40","628.30","643.75"
"NIFTY REALTY","02 Nov 2023","614.10","630.75","614.10","627.80"
"NIFTY REALTY","01 Nov 2023","603.85","616.45","603.85","612.35"
"NIFTY REALTY","31 Oct 2023","598.25","607.20","597.95","603.00"
"NIFTY REALTY","30 Oct 2023","584.45","597.60","582.35","595.45"
