"Index Name","Date","Open","High","Low","Close"
"NIFTY SERVICES SECTOR","12 Jun 2026","29744.5","30129.05","29662.45","30099.65"
"NIFTY SERVICES SECTOR","11 Jun 2026","29329.55","29672.9","29314.9","29421.80"
"NIFTY SERVICES SECTOR","10 Jun 2026","29448.2","29753.75","29428.85","29489.35"
"NIFTY SERVICES SECTOR","09 Jun 2026","29473.15","29533.15","29239.95","29477.70"
"NIFTY SERVICES SECTOR","08 Jun 2026","29145.3","29440.45","29138.4","29298.35"
"NIFTY SERVICES SECTOR","05 Jun 2026","29667.7","29781.95","29402.35","29517.65"
"NIFTY SERVICES SECTOR","04 Jun 2026","29379.95","29661","29344.65","29586.00"
"NIFTY SERVICES SECTOR","03 Jun 2026","29519.8","29624.15","29176.6","29556.25"
"NIFTY SERVICES SECTOR","02 Jun 2026","29340.2","29765.65","29321.5","29659.05"
"NIFTY SERVICES SECTOR","01 Jun 2026","29809.9","29924.6","29476","29519.00"
"NIFTY SERVICES SECTOR","29 May 2026","30090.95","30229.25","29601.7","29685.15"
"NIFTY SERVICES SECTOR","27 May 2026","30149.85","30249.8","30045.8","30104.55"
"NIFTY SERVICES SECTOR","26 May 2026","30362","30488.15","30172.3","30207.10"
"NIFTY SERVICES SECTOR","25 May 2026","30222.2","30426.05","30193.85","30388.00"
"NIFTY SERVICES SECTOR","22 May 2026","29794.7","30059.05","29792.5","29932.65"
"NIFTY SERVICES SECTOR","21 May 2026","30017.8","30071.05","29696.15","29771.70"
"NIFTY SERVICES SECTOR","20 May 2026","29639.3","29863.75","29570.2","29819.40"
"NIFTY SERVICES SECTOR","19 May 2026","29826.4","30016.5","29815.9","29848.70"
"NIFTY SERVICES SECTOR","18 May 2026","29466.4","29861.3","29321.1","29801.35"
"NIFTY SERVICES SECTOR","15 May 2026","29738","29974.25","29659.7","29702.95"
"NIFTY SERVICES SECTOR","14 May 2026","29392.7","29812.1","29217.65","29684.50"
"NIFTY SERVICES SECTOR","13 May 2026","29266.6","29550.25","29108.5","29274.10"
"NIFTY SERVICES SECTOR","12 May 2026","29747.45","29781.1","29277.75","29322.95"
"NIFTY SERVICES SECTOR","11 May 2026","30130.1","30175.65","29884.6","29917.15"
"NIFTY SERVICES SECTOR","08 May 2026","30534.95","30565.55","30314.35","30371.65"
