"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","31 Dec 2004","-","-","-","1348.71"
"NIFTY SMALLCAP 100","30 Dec 2004","-","-","-","1324.69"
"NIFTY SMALLCAP 100","29 Dec 2004","-","-","-","1331.68"
"NIFTY SMALLCAP 100","28 Dec 2004","-","-","-","1343.31"
"NIFTY SMALLCAP 100","27 Dec 2004","-","-","-","1323.84"
"NIFTY SMALLCAP 100","24 Dec 2004","-","-","-","1312.31"
"NIFTY SMALLCAP 100","23 Dec 2004","-","-","-","1296.70"
"NIFTY SMALLCAP 100","22 Dec 2004","-","-","-","1280.11"
"NIFTY SMALLCAP 100","21 Dec 2004","-","-","-","1288.93"
"NIFTY SMALLCAP 100","20 Dec 2004","-","-","-","1277.01"
"NIFTY SMALLCAP 100","17 Dec 2004","-","-","-","1258.08"
"NIFTY SMALLCAP 100","16 Dec 2004","-","-","-","1255.14"
"NIFTY SMALLCAP 100","15 Dec 2004","-","-","-","1253.70"
"NIFTY SMALLCAP 100","14 Dec 2004","-","-","-","1250.84"
"NIFTY SMALLCAP 100","13 Dec 2004","-","-","-","1235.59"
"NIFTY SMALLCAP 100","10 Dec 2004","-","-","-","1217.35"
"NIFTY SMALLCAP 100","09 Dec 2004","-","-","-","1214.06"
"NIFTY SMALLCAP 100","08 Dec 2004","-","-","-","1205.14"
"NIFTY SMALLCAP 100","07 Dec 2004","-","-","-","1206.80"
"NIFTY SMALLCAP 100","06 Dec 2004","-","-","-","1200.98"
"NIFTY SMALLCAP 100","03 Dec 2004","-","-","-","1188.94"
"NIFTY SMALLCAP 100","02 Dec 2004","-","-","-","1189.08"
"NIFTY SMALLCAP 100","01 Dec 2004","-","-","-","1180.15"
"NIFTY SMALLCAP 100","30 Nov 2004","-","-","-","1181.04"
"NIFTY SMALLCAP 100","29 Nov 2004","-","-","-","1197.64"
"NIFTY SMALLCAP 100","25 Nov 2004","-","-","-","1181.77"
"NIFTY SMALLCAP 100","24 Nov 2004","-","-","-","1178.87"
"NIFTY SMALLCAP 100","23 Nov 2004","-","-","-","1169.30"
"NIFTY SMALLCAP 100","22 Nov 2004","-","-","-","1152.32"
"NIFTY SMALLCAP 100","19 Nov 2004","-","-","-","1138.47"
"NIFTY SMALLCAP 100","18 Nov 2004","-","-","-","1144.25"
"NIFTY SMALLCAP 100","17 Nov 2004","-","-","-","1132.81"
"NIFTY SMALLCAP 100","16 Nov 2004","-","-","-","1122.13"
"NIFTY SMALLCAP 100","12 Nov 2004","-","-","-","1115.86"
"NIFTY SMALLCAP 100","11 Nov 2004","-","-","-","1108.09"
"NIFTY SMALLCAP 100","10 Nov 2004","-","-","-","1104.98"
"NIFTY SMALLCAP 100","09 Nov 2004","-","-","-","1086.65"
"NIFTY SMALLCAP 100","08 Nov 2004","-","-","-","1088.43"
"NIFTY SMALLCAP 100","05 Nov 2004","-","-","-","1084.20"
"NIFTY SMALLCAP 100","04 Nov 2004","-","-","-","1080.57"
"NIFTY SMALLCAP 100","03 Nov 2004","-","-","-","1077.87"
"NIFTY SMALLCAP 100","02 Nov 2004","-","-","-","1064.01"
"NIFTY SMALLCAP 100","01 Nov 2004","-","-","-","1053.56"
"NIFTY SMALLCAP 100","29 Oct 2004","-","-","-","1047.54"
"NIFTY SMALLCAP 100","28 Oct 2004","-","-","-","1046.22"
"NIFTY SMALLCAP 100","27 Oct 2004","-","-","-","1034.52"
"NIFTY SMALLCAP 100","26 Oct 2004","-","-","-","1023.83"
"NIFTY SMALLCAP 100","25 Oct 2004","-","-","-","1016.19"
"NIFTY SMALLCAP 100","21 Oct 2004","-","-","-","1039.11"
"NIFTY SMALLCAP 100","20 Oct 2004","-","-","-","1043.66"
"NIFTY SMALLCAP 100","19 Oct 2004","-","-","-","1046.01"
"NIFTY SMALLCAP 100","18 Oct 2004","-","-","-","1039.48"
"NIFTY SMALLCAP 100","15 Oct 2004","-","-","-","1043.64"
"NIFTY SMALLCAP 100","14 Oct 2004","-","-","-","1047.35"
"NIFTY SMALLCAP 100","12 Oct 2004","-","-","-","1047.67"
"NIFTY SMALLCAP 100","11 Oct 2004","-","-","-","1069.09"
"NIFTY SMALLCAP 100","09 Oct 2004","-","-","-","1081.79"
"NIFTY SMALLCAP 100","08 Oct 2004","-","-","-","1069.75"
"NIFTY SMALLCAP 100","07 Oct 2004","-","-","-","1062.06"
"NIFTY SMALLCAP 100","06 Oct 2004","-","-","-","1052.28"
"NIFTY SMALLCAP 100","05 Oct 2004","-","-","-","1053.87"
"NIFTY SMALLCAP 100","04 Oct 2004","-","-","-","1049.89"
"NIFTY SMALLCAP 100","01 Oct 2004","-","-","-","1043.00"
"NIFTY SMALLCAP 100","30 Sep 2004","-","-","-","1038.50"
"NIFTY SMALLCAP 100","29 Sep 2004","-","-","-","1029.08"
"NIFTY SMALLCAP 100","28 Sep 2004","-","-","-","1023.04"
"NIFTY SMALLCAP 100","27 Sep 2004","-","-","-","1029.79"
"NIFTY SMALLCAP 100","24 Sep 2004","-","-","-","1028.88"
"NIFTY SMALLCAP 100","23 Sep 2004","-","-","-","1018.11"
"NIFTY SMALLCAP 100","22 Sep 2004","-","-","-","1023.05"
"NIFTY SMALLCAP 100","21 Sep 2004","-","-","-","1019.68"
"NIFTY SMALLCAP 100","20 Sep 2004","-","-","-","1014.70"
"NIFTY SMALLCAP 100","17 Sep 2004","-","-","-","1015.58"
"NIFTY SMALLCAP 100","16 Sep 2004","-","-","-","1010.45"
"NIFTY SMALLCAP 100","15 Sep 2004","-","-","-","1000.62"
"NIFTY SMALLCAP 100","14 Sep 2004","-","-","-","1003.61"
"NIFTY SMALLCAP 100","13 Sep 2004","-","-","-","1010.74"
"NIFTY SMALLCAP 100","10 Sep 2004","-","-","-","1007.27"
"NIFTY SMALLCAP 100","09 Sep 2004","-","-","-","997.07"
"NIFTY SMALLCAP 100","08 Sep 2004","-","-","-","1011.70"
"NIFTY SMALLCAP 100","07 Sep 2004","-","-","-","1007.41"
"NIFTY SMALLCAP 100","06 Sep 2004","-","-","-","997.92"
"NIFTY SMALLCAP 100","03 Sep 2004","-","-","-","982.51"
"NIFTY SMALLCAP 100","02 Sep 2004","-","-","-","975.54"
"NIFTY SMALLCAP 100","01 Sep 2004","-","-","-","985.48"
"NIFTY SMALLCAP 100","31 Aug 2004","-","-","-","977.21"
"NIFTY SMALLCAP 100","30 Aug 2004","-","-","-","971.69"
"NIFTY SMALLCAP 100","27 Aug 2004","-","-","-","943.62"
"NIFTY SMALLCAP 100","26 Aug 2004","-","-","-","930.78"
"NIFTY SMALLCAP 100","25 Aug 2004","-","-","-","916.95"
"NIFTY SMALLCAP 100","24 Aug 2004","-","-","-","914.64"
"NIFTY SMALLCAP 100","23 Aug 2004","-","-","-","902.09"
"NIFTY SMALLCAP 100","20 Aug 2004","-","-","-","909.31"
"NIFTY SMALLCAP 100","19 Aug 2004","-","-","-","915.36"
"NIFTY SMALLCAP 100","18 Aug 2004","-","-","-","905.66"
"NIFTY SMALLCAP 100","17 Aug 2004","-","-","-","910.01"
"NIFTY SMALLCAP 100","16 Aug 2004","-","-","-","897.58"
"NIFTY SMALLCAP 100","13 Aug 2004","-","-","-","893.49"
"NIFTY SMALLCAP 100","12 Aug 2004","-","-","-","879.19"
"NIFTY SMALLCAP 100","11 Aug 2004","-","-","-","888.09"
"NIFTY SMALLCAP 100","10 Aug 2004","-","-","-","907.13"
"NIFTY SMALLCAP 100","09 Aug 2004","-","-","-","897.25"
"NIFTY SMALLCAP 100","06 Aug 2004","-","-","-","893.72"
"NIFTY SMALLCAP 100","05 Aug 2004","-","-","-","897.92"
"NIFTY SMALLCAP 100","04 Aug 2004","-","-","-","881.16"
"NIFTY SMALLCAP 100","03 Aug 2004","-","-","-","876.88"
"NIFTY SMALLCAP 100","02 Aug 2004","-","-","-","873.57"
"NIFTY SMALLCAP 100","30 Jul 2004","-","-","-","872.22"
"NIFTY SMALLCAP 100","29 Jul 2004","-","-","-","866.79"
"NIFTY SMALLCAP 100","28 Jul 2004","-","-","-","859.00"
"NIFTY SMALLCAP 100","27 Jul 2004","-","-","-","860.82"
"NIFTY SMALLCAP 100","26 Jul 2004","-","-","-","871.64"
"NIFTY SMALLCAP 100","23 Jul 2004","-","-","-","870.55"
"NIFTY SMALLCAP 100","22 Jul 2004","-","-","-","862.68"
"NIFTY SMALLCAP 100","21 Jul 2004","-","-","-","860.70"
"NIFTY SMALLCAP 100","20 Jul 2004","-","-","-","852.43"
"NIFTY SMALLCAP 100","19 Jul 2004","-","-","-","859.84"
"NIFTY SMALLCAP 100","16 Jul 2004","-","-","-","848.52"
"NIFTY SMALLCAP 100","15 Jul 2004","-","-","-","828.22"
"NIFTY SMALLCAP 100","14 Jul 2004","-","-","-","806.75"
"NIFTY SMALLCAP 100","13 Jul 2004","-","-","-","803.08"
"NIFTY SMALLCAP 100","12 Jul 2004","-","-","-","805.79"
"NIFTY SMALLCAP 100","09 Jul 2004","-","-","-","794.73"
"NIFTY SMALLCAP 100","08 Jul 2004","-","-","-","776.74"
"NIFTY SMALLCAP 100","07 Jul 2004","-","-","-","804.74"
"NIFTY SMALLCAP 100","06 Jul 2004","-","-","-","801.32"
"NIFTY SMALLCAP 100","05 Jul 2004","-","-","-","795.34"
"NIFTY SMALLCAP 100","02 Jul 2004","-","-","-","799.97"
"NIFTY SMALLCAP 100","01 Jul 2004","-","-","-","796.91"
"NIFTY SMALLCAP 100","30 Jun 2004","-","-","-","786.47"
"NIFTY SMALLCAP 100","29 Jun 2004","-","-","-","784.51"
"NIFTY SMALLCAP 100","28 Jun 2004","-","-","-","780.09"
"NIFTY SMALLCAP 100","25 Jun 2004","-","-","-","759.67"
"NIFTY SMALLCAP 100","24 Jun 2004","-","-","-","742.77"
"NIFTY SMALLCAP 100","23 Jun 2004","-","-","-","743.88"
"NIFTY SMALLCAP 100","22 Jun 2004","-","-","-","763.03"
"NIFTY SMALLCAP 100","21 Jun 2004","-","-","-","770.41"
"NIFTY SMALLCAP 100","18 Jun 2004","-","-","-","778.25"
"NIFTY SMALLCAP 100","17 Jun 2004","-","-","-","780.08"
"NIFTY SMALLCAP 100","16 Jun 2004","-","-","-","777.84"
"NIFTY SMALLCAP 100","15 Jun 2004","-","-","-","777.66"
"NIFTY SMALLCAP 100","14 Jun 2004","-","-","-","771.01"
"NIFTY SMALLCAP 100","11 Jun 2004","-","-","-","792.02"
"NIFTY SMALLCAP 100","10 Jun 2004","-","-","-","798.16"
"NIFTY SMALLCAP 100","09 Jun 2004","-","-","-","792.84"
"NIFTY SMALLCAP 100","08 Jun 2004","-","-","-","786.49"
"NIFTY SMALLCAP 100","07 Jun 2004","-","-","-","785.15"
"NIFTY SMALLCAP 100","04 Jun 2004","-","-","-","776.34"
"NIFTY SMALLCAP 100","03 Jun 2004","-","-","-","777.97"
"NIFTY SMALLCAP 100","02 Jun 2004","-","-","-","787.18"
"NIFTY SMALLCAP 100","01 Jun 2004","-","-","-","782.66"
"NIFTY SMALLCAP 100","31 May 2004","-","-","-","774.45"
"NIFTY SMALLCAP 100","28 May 2004","-","-","-","801.00"
"NIFTY SMALLCAP 100","27 May 2004","-","-","-","832.87"
"NIFTY SMALLCAP 100","26 May 2004","-","-","-","839.46"
"NIFTY SMALLCAP 100","25 May 2004","-","-","-","834.79"
"NIFTY SMALLCAP 100","24 May 2004","-","-","-","837.06"
"NIFTY SMALLCAP 100","21 May 2004","-","-","-","807.75"
"NIFTY SMALLCAP 100","20 May 2004","-","-","-","813.02"
"NIFTY SMALLCAP 100","19 May 2004","-","-","-","806.15"
"NIFTY SMALLCAP 100","18 May 2004","-","-","-","771.81"
"NIFTY SMALLCAP 100","17 May 2004","-","-","-","718.80"
"NIFTY SMALLCAP 100","14 May 2004","-","-","-","808.44"
"NIFTY SMALLCAP 100","13 May 2004","-","-","-","877.57"
"NIFTY SMALLCAP 100","12 May 2004","-","-","-","873.55"
"NIFTY SMALLCAP 100","11 May 2004","-","-","-","860.98"
"NIFTY SMALLCAP 100","10 May 2004","-","-","-","901.07"
"NIFTY SMALLCAP 100","07 May 2004","-","-","-","913.68"
"NIFTY SMALLCAP 100","06 May 2004","-","-","-","922.81"
"NIFTY SMALLCAP 100","05 May 2004","-","-","-","906.11"
"NIFTY SMALLCAP 100","04 May 2004","-","-","-","896.09"
"NIFTY SMALLCAP 100","03 May 2004","-","-","-","870.49"
"NIFTY SMALLCAP 100","30 Apr 2004","-","-","-","890.89"
"NIFTY SMALLCAP 100","29 Apr 2004","-","-","-","893.29"
"NIFTY SMALLCAP 100","28 Apr 2004","-","-","-","887.05"
"NIFTY SMALLCAP 100","27 Apr 2004","-","-","-","883.22"
"NIFTY SMALLCAP 100","23 Apr 2004","-","-","-","929.19"
"NIFTY SMALLCAP 100","22 Apr 2004","-","-","-","924.67"
"NIFTY SMALLCAP 100","21 Apr 2004","-","-","-","909.77"
"NIFTY SMALLCAP 100","20 Apr 2004","-","-","-","894.64"
"NIFTY SMALLCAP 100","19 Apr 2004","-","-","-","898.95"
"NIFTY SMALLCAP 100","17 Apr 2004","-","-","-","913.83"
"NIFTY SMALLCAP 100","16 Apr 2004","-","-","-","899.47"
"NIFTY SMALLCAP 100","15 Apr 2004","-","-","-","885.74"
"NIFTY SMALLCAP 100","13 Apr 2004","-","-","-","874.27"
"NIFTY SMALLCAP 100","12 Apr 2004","-","-","-","866.30"
"NIFTY SMALLCAP 100","08 Apr 2004","-","-","-","859.90"
"NIFTY SMALLCAP 100","07 Apr 2004","-","-","-","853.11"
"NIFTY SMALLCAP 100","06 Apr 2004","-","-","-","854.44"
"NIFTY SMALLCAP 100","05 Apr 2004","-","-","-","863.83"
"NIFTY SMALLCAP 100","02 Apr 2004","-","-","-","853.09"
"NIFTY SMALLCAP 100","01 Apr 2004","-","-","-","844.30"
"NIFTY SMALLCAP 100","31 Mar 2004","-","-","-","817.97"
"NIFTY SMALLCAP 100","30 Mar 2004","-","-","-","809.78"
"NIFTY SMALLCAP 100","29 Mar 2004","-","-","-","793.91"
"NIFTY SMALLCAP 100","26 Mar 2004","-","-","-","780.97"
"NIFTY SMALLCAP 100","25 Mar 2004","-","-","-","759.82"
"NIFTY SMALLCAP 100","24 Mar 2004","-","-","-","744.56"
"NIFTY SMALLCAP 100","23 Mar 2004","-","-","-","744.51"
"NIFTY SMALLCAP 100","22 Mar 2004","-","-","-","752.06"
"NIFTY SMALLCAP 100","19 Mar 2004","-","-","-","781.43"
"NIFTY SMALLCAP 100","18 Mar 2004","-","-","-","785.35"
"NIFTY SMALLCAP 100","17 Mar 2004","-","-","-","798.13"
"NIFTY SMALLCAP 100","16 Mar 2004","-","-","-","793.80"
"NIFTY SMALLCAP 100","15 Mar 2004","-","-","-","811.96"
"NIFTY SMALLCAP 100","12 Mar 2004","-","-","-","830.60"
"NIFTY SMALLCAP 100","11 Mar 2004","-","-","-","833.51"
"NIFTY SMALLCAP 100","10 Mar 2004","-","-","-","842.11"
"NIFTY SMALLCAP 100","09 Mar 2004","-","-","-","846.53"
"NIFTY SMALLCAP 100","08 Mar 2004","-","-","-","855.65"
"NIFTY SMALLCAP 100","05 Mar 2004","-","-","-","847.47"
"NIFTY SMALLCAP 100","04 Mar 2004","-","-","-","841.67"
"NIFTY SMALLCAP 100","03 Mar 2004","-","-","-","847.46"
"NIFTY SMALLCAP 100","01 Mar 2004","-","-","-","846.25"
"NIFTY SMALLCAP 100","27 Feb 2004","-","-","-","832.06"
"NIFTY SMALLCAP 100","26 Feb 2004","-","-","-","834.58"
"NIFTY SMALLCAP 100","25 Feb 2004","-","-","-","839.35"
"NIFTY SMALLCAP 100","24 Feb 2004","-","-","-","851.57"
"NIFTY SMALLCAP 100","23 Feb 2004","-","-","-","848.67"
"NIFTY SMALLCAP 100","20 Feb 2004","-","-","-","866.72"
