"Index Name","Date","Open","High","Low","Close"
"NIFTY TRANSPORTATION & LOGISTICS","31 Dec 2009","-","-","-","2324.04"
"NIFTY TRANSPORTATION & LOGISTICS","30 Dec 2009","-","-","-","2303.65"
"NIFTY TRANSPORTATION & LOGISTICS","29 Dec 2009","-","-","-","2296.29"
"NIFTY TRANSPORTATION & LOGISTICS","24 Dec 2009","-","-","-","2293.54"
"NIFTY TRANSPORTATION & LOGISTICS","23 Dec 2009","-","-","-","2262.66"
"NIFTY TRANSPORTATION & LOGISTICS","22 Dec 2009","-","-","-","2231.57"
"NIFTY TRANSPORTATION & LOGISTICS","21 Dec 2009","-","-","-","2221.53"
"NIFTY TRANSPORTATION & LOGISTICS","18 Dec 2009","-","-","-","2247.18"
"NIFTY TRANSPORTATION & LOGISTICS","17 Dec 2009","-","-","-","2249.86"
"NIFTY TRANSPORTATION & LOGISTICS","16 Dec 2009","-","-","-","2243.03"
"NIFTY TRANSPORTATION & LOGISTICS","15 Dec 2009","-","-","-","2232.59"
"NIFTY TRANSPORTATION & LOGISTICS","14 Dec 2009","-","-","-","2270.29"
"NIFTY TRANSPORTATION & LOGISTICS","11 Dec 2009","-","-","-","2260.51"
"NIFTY TRANSPORTATION & LOGISTICS","10 Dec 2009","-","-","-","2254.24"
"NIFTY TRANSPORTATION & LOGISTICS","09 Dec 2009","-","-","-","2259.30"
"NIFTY TRANSPORTATION & LOGISTICS","08 Dec 2009","-","-","-","2251.78"
"NIFTY TRANSPORTATION & LOGISTICS","07 Dec 2009","-","-","-","2232.04"
"NIFTY TRANSPORTATION & LOGISTICS","04 Dec 2009","-","-","-","2252.38"
"NIFTY TRANSPORTATION & LOGISTICS","03 Dec 2009","-","-","-","2280.69"
"NIFTY TRANSPORTATION & LOGISTICS","02 Dec 2009","-","-","-","2278.27"
"NIFTY TRANSPORTATION & LOGISTICS","01 Dec 2009","-","-","-","2236.29"
"NIFTY TRANSPORTATION & LOGISTICS","30 Nov 2009","-","-","-","2175.34"
"NIFTY TRANSPORTATION & LOGISTICS","27 Nov 2009","-","-","-","2146.15"
"NIFTY TRANSPORTATION & LOGISTICS","26 Nov 2009","-","-","-","2161.33"
"NIFTY TRANSPORTATION & LOGISTICS","25 Nov 2009","-","-","-","2183.95"
"NIFTY TRANSPORTATION & LOGISTICS","24 Nov 2009","-","-","-","2185.20"
"NIFTY TRANSPORTATION & LOGISTICS","23 Nov 2009","-","-","-","2168.06"
"NIFTY TRANSPORTATION & LOGISTICS","20 Nov 2009","-","-","-","2156.30"
"NIFTY TRANSPORTATION & LOGISTICS","19 Nov 2009","-","-","-","2143.85"
"NIFTY TRANSPORTATION & LOGISTICS","18 Nov 2009","-","-","-","2171.13"
"NIFTY TRANSPORTATION & LOGISTICS","17 Nov 2009","-","-","-","2162.26"
"NIFTY TRANSPORTATION & LOGISTICS","16 Nov 2009","-","-","-","2171.87"
"NIFTY TRANSPORTATION & LOGISTICS","13 Nov 2009","-","-","-","2122.49"
"NIFTY TRANSPORTATION & LOGISTICS","12 Nov 2009","-","-","-","2092.42"
"NIFTY TRANSPORTATION & LOGISTICS","11 Nov 2009","-","-","-","2107.62"
"NIFTY TRANSPORTATION & LOGISTICS","10 Nov 2009","-","-","-","2057.63"
"NIFTY TRANSPORTATION & LOGISTICS","09 Nov 2009","-","-","-","2067.16"
"NIFTY TRANSPORTATION & LOGISTICS","06 Nov 2009","-","-","-","2038.87"
"NIFTY TRANSPORTATION & LOGISTICS","05 Nov 2009","-","-","-","2033.07"
"NIFTY TRANSPORTATION & LOGISTICS","04 Nov 2009","-","-","-","1987.12"
"NIFTY TRANSPORTATION & LOGISTICS","03 Nov 2009","-","-","-","1940.49"
"NIFTY TRANSPORTATION & LOGISTICS","30 Oct 2009","-","-","-","1966.95"
"NIFTY TRANSPORTATION & LOGISTICS","29 Oct 2009","-","-","-","1958.64"
"NIFTY TRANSPORTATION & LOGISTICS","28 Oct 2009","-","-","-","1982.01"
"NIFTY TRANSPORTATION & LOGISTICS","27 Oct 2009","-","-","-","1986.83"
"NIFTY TRANSPORTATION & LOGISTICS","26 Oct 2009","-","-","-","2027.28"
"NIFTY TRANSPORTATION & LOGISTICS","23 Oct 2009","-","-","-","2035.92"
"NIFTY TRANSPORTATION & LOGISTICS","22 Oct 2009","-","-","-","2030.14"
"NIFTY TRANSPORTATION & LOGISTICS","21 Oct 2009","-","-","-","2057.92"
"NIFTY TRANSPORTATION & LOGISTICS","20 Oct 2009","-","-","-","2091.96"
"NIFTY TRANSPORTATION & LOGISTICS","17 Oct 2009","-","-","-","2080.08"
"NIFTY TRANSPORTATION & LOGISTICS","16 Oct 2009","-","-","-","2074.85"
"NIFTY TRANSPORTATION & LOGISTICS","15 Oct 2009","-","-","-","2092.45"
"NIFTY TRANSPORTATION & LOGISTICS","14 Oct 2009","-","-","-","2091.31"
"NIFTY TRANSPORTATION & LOGISTICS","12 Oct 2009","-","-","-","2060.09"
"NIFTY TRANSPORTATION & LOGISTICS","09 Oct 2009","-","-","-","2040.53"
"NIFTY TRANSPORTATION & LOGISTICS","08 Oct 2009","-","-","-","2065.61"
"NIFTY TRANSPORTATION & LOGISTICS","07 Oct 2009","-","-","-","2037.19"
"NIFTY TRANSPORTATION & LOGISTICS","06 Oct 2009","-","-","-","2042.55"
"NIFTY TRANSPORTATION & LOGISTICS","05 Oct 2009","-","-","-","2033.12"
"NIFTY TRANSPORTATION & LOGISTICS","01 Oct 2009","-","-","-","2067.17"
