"Index Name","Date","Open","High","Low","Close"
"NIFTY200 MOMENTUM 30","12 Jun 2026","29930.8","30441.3","29822.2","30404.75"
"NIFTY200 MOMENTUM 30","11 Jun 2026","29562.25","29685.45","29424.2","29470.15"
"NIFTY200 MOMENTUM 30","10 Jun 2026","30084.35","30133.3","29671.5","29736.55"
"NIFTY200 MOMENTUM 30","09 Jun 2026","29778.75","30148.5","29725.4","30103.65"
"NIFTY200 MOMENTUM 30","08 Jun 2026","29559.35","29826.2","29480.4","29576.50"
"NIFTY200 MOMENTUM 30","05 Jun 2026","30139.2","30316.05","29893.55","30013.05"
"NIFTY200 MOMENTUM 30","04 Jun 2026","29911.9","30153.25","29801.2","30043.20"
"NIFTY200 MOMENTUM 30","03 Jun 2026","30018.35","30060.35","29546.5","29993.05"
"NIFTY200 MOMENTUM 30","02 Jun 2026","29756","30068.3","29615.35","30001.35"
"NIFTY200 MOMENTUM 30","01 Jun 2026","30627.35","30735.6","29946.9","29995.30"
"NIFTY200 MOMENTUM 30","29 May 2026","31084.8","31145.2","30398.35","30460.80"
"NIFTY200 MOMENTUM 30","27 May 2026","30792.7","31013","30790.25","30963.95"
"NIFTY200 MOMENTUM 30","26 May 2026","30832.55","30913.9","30716.35","30773.90"
"NIFTY200 MOMENTUM 30","25 May 2026","30654.65","30847.45","30631.3","30801.00"
"NIFTY200 MOMENTUM 30","22 May 2026","30202","30327.1","30130","30286.80"
"NIFTY200 MOMENTUM 30","21 May 2026","30419.25","30507","30070.95","30106.55"
"NIFTY200 MOMENTUM 30","20 May 2026","29756.3","30192.3","29698.35","30155.35"
"NIFTY200 MOMENTUM 30","19 May 2026","30019.3","30131.55","29914","29981.15"
"NIFTY200 MOMENTUM 30","18 May 2026","29905.9","30019.5","29583.2","29958.75"
"NIFTY200 MOMENTUM 30","15 May 2026","30364.05","30450.8","30110.1","30175.95"
"NIFTY200 MOMENTUM 30","14 May 2026","30138.7","30460.6","29865.15","30383.05"
"NIFTY200 MOMENTUM 30","13 May 2026","29920.7","30186.6","29686.05","29952.00"
"NIFTY200 MOMENTUM 30","12 May 2026","30433.15","30527.85","29817.8","29863.70"
"NIFTY200 MOMENTUM 30","11 May 2026","30845.2","30856.2","30488.5","30522.95"
"NIFTY200 MOMENTUM 30","08 May 2026","31285.85","31361.5","31111","31152.20"
"NIFTY200 MOMENTUM 30","07 May 2026","31264.45","31469.45","31199.55","31351.75"
"NIFTY200 MOMENTUM 30","06 May 2026","30785.45","31149.05","30619.45","31090.90"
"NIFTY200 MOMENTUM 30","05 May 2026","30323.35","30501.05","30141.8","30412.10"
"NIFTY200 MOMENTUM 30","04 May 2026","30265.05","30694.95","30193.25","30382.20"
"NIFTY200 MOMENTUM 30","30 Apr 2026","30178.75","30294.25","29830.4","30157.90"
"NIFTY200 MOMENTUM 30","29 Apr 2026","30534","30780.2","30359.2","30410.80"
"NIFTY200 MOMENTUM 30","28 Apr 2026","30506.7","30660.65","30348.9","30380.10"
"NIFTY200 MOMENTUM 30","27 Apr 2026","30467.8","30587.6","30341.3","30532.30"
"NIFTY200 MOMENTUM 30","24 Apr 2026","30527.55","30677.3","30167.35","30378.45"
"NIFTY200 MOMENTUM 30","23 Apr 2026","30767.7","30770.6","30454.8","30525.55"
"NIFTY200 MOMENTUM 30","22 Apr 2026","30951.9","31079.4","30863.75","30926.70"
"NIFTY200 MOMENTUM 30","21 Apr 2026","30914.05","31117.8","30897","30995.15"
"NIFTY200 MOMENTUM 30","20 Apr 2026","30820.9","31001","30563.05","30868.40"
"NIFTY200 MOMENTUM 30","17 Apr 2026","30523.8","30812.5","30348.7","30788.05"
"NIFTY200 MOMENTUM 30","16 Apr 2026","30754.9","30826.4","30364.4","30533.05"
"NIFTY200 MOMENTUM 30","15 Apr 2026","30648.5","30754.8","30507.45","30536.15"
"NIFTY200 MOMENTUM 30","13 Apr 2026","29768.35","30126.65","29578.25","30007.60"
"NIFTY200 MOMENTUM 30","10 Apr 2026","30081.85","30540.25","30060.5","30515.10"
"NIFTY200 MOMENTUM 30","09 Apr 2026","29867.75","30043.8","29638.25","29840.55"
"NIFTY200 MOMENTUM 30","08 Apr 2026","29437.35","29971.7","29386.8","29917.65"
"NIFTY200 MOMENTUM 30","07 Apr 2026","28078.3","28328.15","27814.15","28295.90"
"NIFTY200 MOMENTUM 30","06 Apr 2026","27723.3","28271.15","27430.95","28231.85"
"NIFTY200 MOMENTUM 30","02 Apr 2026","27360.75","27690","26869.25","27620.65"
"NIFTY200 MOMENTUM 30","01 Apr 2026","27877.1","28087.2","27671.45","27768.75"
"NIFTY200 MOMENTUM 30","30 Mar 2026","27566.75","27719.45","27000.4","27071.65"
"NIFTY200 MOMENTUM 30","27 Mar 2026","28517.4","28521.05","27908.15","27944.50"
"NIFTY200 MOMENTUM 30","25 Mar 2026","28318.4","28931","28298.5","28747.60"
"NIFTY200 MOMENTUM 30","24 Mar 2026","27876.25","28156.3","27529.1","28003.80"
"NIFTY200 MOMENTUM 30","23 Mar 2026","28014.4","28014.4","27186.05","27324.95"
"NIFTY200 MOMENTUM 30","20 Mar 2026","28474","28762.25","28356.6","28410.95"
"NIFTY200 MOMENTUM 30","19 Mar 2026","28906.2","28932.3","28165.05","28310.70"
"NIFTY200 MOMENTUM 30","18 Mar 2026","29067.8","29469.45","29066.85","29401.95"
"NIFTY200 MOMENTUM 30","17 Mar 2026","28727.5","29035.3","28551.2","28967.20"
"NIFTY200 MOMENTUM 30","16 Mar 2026","28292.75","28750.9","28102","28613.55"
"NIFTY200 MOMENTUM 30","13 Mar 2026","28977.85","29011.1","28313.85","28396.20"
"NIFTY200 MOMENTUM 30","12 Mar 2026","29286.45","29413.8","28939.9","29163.15"
"NIFTY200 MOMENTUM 30","11 Mar 2026","30226.35","30291.05","29470.5","29511.35"
"NIFTY200 MOMENTUM 30","10 Mar 2026","29936.3","30273.05","29735.45","30189.40"
"NIFTY200 MOMENTUM 30","09 Mar 2026","29387.45","29524.6","28882.65","29476.95"
"NIFTY200 MOMENTUM 30","06 Mar 2026","30508.5","30593.35","30135.6","30175.85"
"NIFTY200 MOMENTUM 30","05 Mar 2026","30352.25","30744.9","30224.3","30625.30"
"NIFTY200 MOMENTUM 30","04 Mar 2026","30348.05","30352.4","29818.6","30112.95"
"NIFTY200 MOMENTUM 30","02 Mar 2026","30408","31228.1","30395.65","30845.60"
"NIFTY200 MOMENTUM 30","27 Feb 2026","31848.4","31854.65","31303.9","31360.95"
